"Entry","Time"
"Apply stake to all singles","13:50:19"
"$","13:50:19"
"-286 9-268","13:50:19"
"New Zealand v Australia","13:50:19"
"Markets (6)","13:50:19"
"New Zealand 1.90","13:50:19"
"New Zealand","13:50:19"
"1.90","13:50:19"
"Australia 1.90","13:50:19"
"Australia","13:50:19"
"1.90","13:50:19"
"Betting temporarily suspended - Markets are being updated","13:50:19"
"Upcoming17:05","13:50:19"
"M Minella v J Cepelova","13:50:19"
"Markets (30)","13:50:19"
"M Minella 2.49","13:50:19"
"M Minella","13:50:19"
"2.49","13:50:19"
"J Cepelova 1.49","13:50:19"
"J Cepelova","13:50:19"
