"","Entry","Time"
"1","Apply stake to all singles","17:07:56"
"2","$","17:07:56"
"3","2-131 -0","17:07:56"
"4","Hyderabad v Tamil Nadu","17:07:56"
"5","Markets (4)","17:07:56"
"6","Hyderabad 1.76","17:07:56"
"7","Hyderabad","17:07:56"
"8","1.76","17:07:56"
"9","Tamil Nadu 2.00","17:07:56"
"10","Tamil Nadu","17:07:56"
"11","2.00","17:07:56"
"12","Betting temporarily suspended - Markets are being updated","17:07:56"
"13","Upcoming20:12","17:07:56"
"14","K Siniakova v G Voskoboeva","17:07:56"
"15","Markets (29)","17:07:56"
"16","K Siniakova 1.13","17:07:56"
"17","K Siniakova","17:07:56"
"18","1.13","17:07:56"
"19","G Voskoboeva 5.40","17:07:56"
"20","G Voskoboeva","17:07:56"
