"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"11:09:26","Feb 2-10:00 PM CT","Second Half","63","126.5","1.17","4.65","8.5","NCAA"
"11:09:50","Feb 2-10:00 PM CT","Second Half","63","124.5","1.2","4.25","8.5","NCAA"
"11:10:17","Feb 2-10:00 PM CT","Second Half","63","124.5","1.2","4.25","8.5","NCAA"
"11:10:50","Feb 2-10:00 PM CT","Second Half","70","129.5","1.09","6.5","10.5","NCAA"
"11:11:24","Feb 2-10:00 PM CT","Second Half","70","129.5","1.09","6.5","10.5","NCAA"
"11:11:53","Feb 2-10:00 PM CT","Second Half","70","129.5","1.09","6.5","10.5","NCAA"
"11:12:36","Feb 2-10:00 PM CT","Second Half","73","127.5","1.06","8","11.5","NCAA"
"11:16:16","Feb 2-10:00 PM CT","Second Half","76","129.5","1.03","10","13.5","NCAA"
"11:30:23","Feb 2-10:00 PM CT","Second Half","87","122.5","101","1.81","17.5","NCAA"
"11:30:54","Feb 2-10:00 PM CT","Second Half","87","119.5",NA,NA,"17.5","NCAA"
"11:31:13","Feb 2-10:00 PM CT","Second Half","87","119.5",NA,NA,"17.5","NCAA"
"11:32:05","Feb 2-10:00 PM CT","Second Half","87","120.5","81","2","18.5","NCAA"
"11:33:27","Feb 2-10:00 PM CT","Second Half","89","119.5","101","1.77","18.5","NCAA"
"11:34:52","Feb 2-10:00 PM CT","Second Half","89","119.5",NA,NA,"20.5","NCAA"
"11:35:40","Feb 2-10:00 PM CT","Second Half","91","119.5",NA,NA,"20.5","NCAA"
"11:36:03","Feb 2-10:00 PM CT","Second Half","91","119.5",NA,NA,"20.5","NCAA"
"11:36:23","Feb 2-10:00 PM CT","Second Half","91","119.5",NA,NA,"20.5","NCAA"
"11:37:23","Feb 2-10:00 PM CT","Second Half","91","119.5",NA,NA,"20.5","NCAA"
"11:37:46","Feb 2-10:00 PM CT","Second Half","93","119.5",NA,NA,"20.5","NCAA"
"11:38:47","Feb 2-10:00 PM CT","Second Half","95","118.5",NA,NA,"20.5","NCAA"
"11:39:10","Feb 2-10:00 PM CT","Second Half","95","118.5",NA,NA,"20.5","NCAA"
"11:39:38","Feb 2-10:00 PM CT","Second Half","97","121.5",NA,NA,"18.5","NCAA"
"11:39:55","Feb 2-10:00 PM CT","Second Half","97","121.5",NA,NA,"18.5","NCAA"
"11:40:31","Feb 2-10:00 PM CT","Second Half","99","120.5",NA,NA,"19.5","NCAA"
"11:41:35","Feb 2-10:00 PM CT","Second Half","101","122.5",NA,NA,"18.5","NCAA"
"11:41:49","Feb 2-10:00 PM CT","Second Half","101","122.5",NA,NA,"18.5","NCAA"
"11:42:08","Feb 2-10:00 PM CT","Second Half","103",NA,NA,NA,"17.5","NCAA"
"11:44:11","Feb 2-10:00 PM CT","Second Half","111",NA,NA,NA,"17.5","NCAA"
"11:44:27","Feb 2-10:00 PM CT","Second Half","111",NA,NA,NA,"17.5","NCAA"
"11:44:41","Feb 2-10:00 PM CT","Second Half","112",NA,NA,NA,"18.5","NCAA"
"11:44:48","Feb 2-10:00 PM CT","Second Half","112",NA,NA,NA,"18.5","NCAA"
"11:44:56","Feb 2-10:00 PM CT","Second Half","112",NA,NA,NA,"18.5","NCAA"
"11:45:34","Pre-game","Second Half","112",NA,NA,NA,"18.5","NCAA"
"11:45:48","Pre-game","Second Half","112",NA,NA,NA,"18.5","NCAA"
"11:45:56","Pre-game","Second Half","112",NA,NA,NA,"18.5","NCAA"
"11:46:02","Pre-game","Second Half","112",NA,NA,NA,"18.5","NCAA"
"11:46:12","Pre-game","Second Half","112",NA,NA,NA,"18.5","NCAA"
"11:46:26","Pre-game","Second Half","112",NA,NA,NA,"18.5","NCAA"
"11:46:34","Pre-game","Second Half","112",NA,NA,NA,"18.5","NCAA"
"11:47:32","Pre-game","Second Half","112",NA,NA,NA,"18.5","NCAA"
"11:47:41","Pre-game","Second Half","112",NA,NA,NA,"18.5","NCAA"
"11:48:25","Pre-game","Second Half","112",NA,NA,NA,"18.5","NCAA"
"11:48:36","Pre-game","Second Half","112",NA,NA,NA,"18.5","NCAA"
"11:48:48","Pre-game","Second Half","112",NA,NA,NA,"18.5","NCAA"
"11:48:58","Pre-game","Second Half","112",NA,NA,NA,"18.5","NCAA"
"11:49:12","Pre-game","Second Half","112",NA,NA,NA,"18.5","NCAA"
"11:49:36","Pre-game","NA","NA","NA","","","","NCAA"
