"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"05:40:35 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:40:59 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:41:14 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:41:37 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:41:58 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:42:16 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:42:34 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:42:53 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:43:23 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:43:35 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:43:56 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:44:16 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:44:35 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:44:57 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:45:20 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:45:37 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:45:56 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:46:14 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:46:33 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:46:53 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:47:17 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:47:39 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:48:02 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:48:16 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:48:37 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:48:57 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:49:16 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:49:36 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:49:55 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:50:20 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:50:35 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:50:55 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:51:17 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:51:34 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:52:26 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:52:42 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:53:03 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:53:16 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:53:43 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:53:56 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:54:18 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:54:39 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:54:58 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:55:16 AM","Mar 19-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:55:40 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:55:54 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:56:19 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:56:35 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:56:55 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:57:14 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:57:41 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:57:53 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:58:15 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:58:39 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:58:55 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:59:15 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:59:35 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:59:55 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:00:16 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:00:38 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:00:53 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:01:19 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:01:33 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:01:55 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:02:17 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:02:36 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:02:54 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
