"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:10:27 AM","76ers",NA,NA,NA,NA,NA,NA,"NBA"
"08:10:52 AM","76ers",NA,NA,NA,NA,NA,NA,"NBA"
"08:11:08 AM","76ers",NA,NA,NA,NA,NA,NA,"NBA"
"08:11:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:49 AM","Cavaliers",NA,NA,NA,NA,NA,NA,"NBA"
"08:16:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:40:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:31 AM",NA,NA,NA,"212.5","2.45","1.52","5","NBA"
"08:41:55 AM","11:48 1st",NA,NA,"212.5","2.45","1.52","5","NBA"
"08:42:13 AM","11:16 1st",NA,NA,"212.5","2.45","1.52","5","NBA"
"08:42:30 AM","11:16 1st",NA,NA,"212.5","2.45","1.52","5","NBA"
"08:42:52 AM","11:06 1st",NA,NA,"212.5","2.55","1.48","5","NBA"
"08:43:11 AM","11:06 1st",NA,NA,"212.5","2.55","1.48","5","NBA"
"08:43:29 AM","10:27 1st","Q1","7","219.5","2.85","1.4","6","NBA"
"08:43:52 AM","10:27 1st","Q1","7","219.5","2.85","1.4","6","NBA"
"08:44:13 AM","9:47 1st","Q1","7","218.5","2.85","1.4","6","NBA"
"08:44:31 AM","9:24 1st","Q1","9","218.5","2.85","1.4","6","NBA"
"08:44:52 AM","9:14 1st","Q1","9","210.5","3.2","1.32","6","NBA"
"08:45:12 AM","9:14 1st","Q1","9","210.5","3.2","1.32","6","NBA"
"08:45:30 AM","9:14 1st","Q1","10","208.5","3","1.36","6","NBA"
"08:45:50 AM","9:00 1st","Q1","10","208.5","3","1.36","6","NBA"
"08:46:17 AM","8:48 1st","Q1","10","207.5","3.3","1.3","7","NBA"
"08:46:31 AM","8:48 1st","Q1","12","207.5","3.3","1.3","7","NBA"
"08:46:50 AM","8:06 1st","Q1","12","212.5","3.3","1.3","7","NBA"
"08:47:11 AM","8:06 1st","Q1","17","212.5","3.3","1.3","7","NBA"
"08:47:33 AM","7:40 1st","Q1","19","210.5","3.25","1.32","7","NBA"
"08:47:50 AM","7:22 1st","Q1","19","210.5","3.25","1.32","7","NBA"
"08:48:17 AM","7:10 1st","Q1","19","211.5","4","1.22","8","NBA"
"08:48:31 AM","6:45 1st","Q1","22","211.5","4","1.22","8","NBA"
"08:48:51 AM","6:45 1st","Q1","22","209.5","4","1.22","8","NBA"
"08:49:09 AM","6:35 1st","Q1","24","209.5","4","1.22","8","NBA"
"08:49:30 AM","6:35 1st","Q1","26","211.5","3.2","1.32","6","NBA"
"08:49:49 AM","5:59 1st","Q1","26","211.5","3.2","1.32","6","NBA"
"08:50:16 AM","5:59 1st","Q1","28","213.5","2.85","1.4","5","NBA"
"08:50:33 AM","5:59 1st","Q1","28","213.5","2.85","1.4","5","NBA"
"08:50:51 AM","5:59 1st","Q1","28","213.5","2.85","1.4","5","NBA"
"08:51:11 AM","5:59 1st","Q1","28","213.5","2.85","1.4","5","NBA"
"08:51:32 AM","5:59 1st","Q1","28","213.5","2.85","1.4","5","NBA"
"08:51:50 AM","5:59 1st","Q1","28","213.5","2.85","1.4","5","NBA"
"08:52:10 AM","5:59 1st","Q1","28","212.5","2.85","1.4","5","NBA"
"08:52:32 AM","5:41 1st","Q1","28","212.5","2.85","1.4","5","NBA"
"08:52:50 AM","5:41 1st","Q1","28","211.5","2.6","1.48","4","NBA"
"08:53:10 AM","5:07 1st","Q1","30","211.5","2.6","1.48","4","NBA"
"08:53:32 AM","4:45 1st","Q1","30","208.5","2.6","1.48","4","NBA"
"08:53:50 AM","4:25 1st","Q1","30","208.5","2.6","1.48","4","NBA"
"08:54:10 AM","4:20 1st","Q1","32","209.5","2.25","1.6","3","NBA"
"08:54:30 AM","4:20 1st","Q1","33","209.5","2.25","1.6","3","NBA"
"08:54:53 AM","4:20 1st","Q1","33","209.5","2.25","1.6","3","NBA"
"08:55:17 AM","4:05 1st","Q1","33","209.5","2.25","1.6","3","NBA"
"08:55:30 AM","3:44 1st","Q1","35","210.5","2.25","1.6","3","NBA"
"08:55:50 AM","3:25 1st","Q1","38","210.5","2.25","1.6","3","NBA"
"08:56:12 AM","3:25 1st","Q1","38","210.5","2.7","1.44","5","NBA"
"08:56:31 AM","3:25 1st","Q1","38","210.5","2.7","1.44","5","NBA"
"08:56:50 AM","3:25 1st","Q1","38","210.5","2.7","1.44","5","NBA"
"08:57:12 AM","3:25 1st","Q1","38","210.5","2.7","1.44","5","NBA"
"08:57:33 AM","3:25 1st","Q1","38","210.5","2.7","1.44","5","NBA"
"08:57:54 AM","3:25 1st","Q1","38","210.5","2.7","1.44","5","NBA"
"08:58:11 AM","3:25 1st","Q1","38","210.5","2.7","1.44","5","NBA"
"08:58:29 AM","3:25 1st","Q1","38","210.5","2.7","1.44","5","NBA"
"08:58:51 AM","2:47 1st","Q1","40","210.5","2.7","1.44","5","NBA"
"08:59:10 AM","2:47 1st","Q1","42","213.5","2.7","1.44","5","NBA"
"08:59:33 AM","2:21 1st","Q1","42","213.5","2.7","1.44","5","NBA"
"08:59:50 AM","2:15 1st","Q1","42","210.5","2.7","1.44","5","NBA"
"09:00:10 AM","2:15 1st","Q1","42","210.5","2.7","1.44","5","NBA"
"09:00:33 AM","2:08 1st","Q1","42","208.5","2.85","1.4","5","NBA"
"09:00:56 AM","1:49 1st","Q1","42","208.5","2.85","1.4","5","NBA"
"09:01:09 AM","1:49 1st","Q1","42","208.5","2.85","1.4","5","NBA"
"09:01:32 AM","1:49 1st","Q1","42","208.5","2.85","1.4","5","NBA"
"09:01:52 AM","1:33 1st","Q1","42","208.5","2.85","1.4","5","NBA"
"09:02:13 AM","1:20 1st","Q1","42","208.5","2.85","1.4","5","NBA"
"09:02:34 AM","1:20 1st","Q1","44","209.5","2.55","1.48","4","NBA"
"09:02:50 AM","1:20 1st","Q1","44","209.5","2.55","1.48","4","NBA"
"09:03:11 AM","1:12 1st","Q1","44","210.5","2.55","1.48","4","NBA"
"09:03:33 AM","1:12 1st","Q1","46","210.5","2.55","1.48","4","NBA"
"09:03:50 AM",":55.6 1st","Q1","46","211.5","2.7","1.44","5","NBA"
"09:04:16 AM",":33.9 1st","Q1","46","211.5","2.7","1.44","5","NBA"
