"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"11:10:54 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:11:13 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:11:36 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:11:56 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:12:16 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:12:33 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:12:52 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:13:13 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:13:32 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:13:53 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:14:15 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:14:38 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:14:53 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:15:15 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:15:36 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:15:53 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:16:28 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:16:37 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:16:58 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:17:14 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:17:38 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:17:53 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:18:18 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:18:33 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:18:56 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:19:11 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:19:35 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:19:54 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
"11:20:14 AM","Half",NA,NA,NA,NA,NA,NA,"NBA"
