"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:40:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
