"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"11:10:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:10:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:11:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:11:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:11:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:12:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:12:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:12:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:13:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:13:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:13:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:14:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:14:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:14:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:15:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:15:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:15:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:16:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:16:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:16:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:17:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:17:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:17:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:18:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:18:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:18:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:19:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:19:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:19:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:20:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:20:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:20:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:21:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:21:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:21:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:22:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:22:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:22:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:23:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:23:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:23:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:24:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:24:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:24:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:25:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:25:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:25:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:26:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:26:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:26:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:27:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:27:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:27:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:28:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:28:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:28:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:29:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:29:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:29:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:30:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:30:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:30:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:31:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:31:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:31:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:32:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:32:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:32:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:33:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:33:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:33:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:34:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:34:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:34:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:35:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:35:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:35:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:36:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:36:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:36:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:37:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:37:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:37:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:38:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:38:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:38:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:39:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:39:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:39:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:40:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:40:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:42:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:43:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:43:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:43:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:44:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:44:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:46:53 AM","11:14 1st",NA,NA,"217.5","2.05","1.72","2","NBA"
"11:47:12 AM","11:10 1st",NA,NA,"217.5","2.05","1.72","2","NBA"
"11:47:31 AM","11:10 1st",NA,NA,"217.5","2.05","1.72","2","NBA"
"11:47:49 AM","10:21 1st",NA,NA,"217.5","2.05","1.72","2","NBA"
"11:48:14 AM","10:09 1st",NA,NA,"217.5","2.05","1.72","2","NBA"
"11:48:30 AM","9:53 1st",NA,NA,"217.5","2.1","1.7","2","NBA"
"11:48:49 AM","9:53 1st",NA,NA,"217.5","2.1","1.7","2","NBA"
"11:49:12 AM","9:53 1st","Q1","7","220.5","2.25","1.6","3","NBA"
"11:49:33 AM","9:31 1st","Q1","7","220.5","2.25","1.6","3","NBA"
"11:49:49 AM","9:19 1st","Q1","7","219.5","2.35","1.56","3","NBA"
"11:50:15 AM","9:18 1st","Q1","9","219.5","2.35","1.56","3","NBA"
"11:50:29 AM","9:19 1st","Q1","9","210.5","2.25","1.6","3","NBA"
"11:50:50 AM","8:22 1st","Q1","9","210.5","2.25","1.6","3","NBA"
"11:51:09 AM","8:10 1st","Q1","9","209.5","2.25","1.6","3","NBA"
"11:51:30 AM","7:58 1st","Q1","9","209.5","2.05","1.72","1","NBA"
"11:51:49 AM","7:58 1st","Q1","12","209.5","2.05","1.72","1","NBA"
"11:52:09 AM","7:36 1st","Q1","17","213.5","2.35","1.56","3","NBA"
"11:52:30 AM","7:15 1st","Q1","17","213.5","2.35","1.56","3","NBA"
"11:52:52 AM","6:47 1st","Q1","19","216.5","2.1","1.7","2","NBA"
"11:53:09 AM","6:47 1st","Q1","19","216.5","2.1","1.7","2","NBA"
"11:53:30 AM","6:47 1st","Q1","21","214.5","2.1","1.7","2","NBA"
"11:53:53 AM","6:47 1st","Q1","21","212.5","2.05","1.72","2","NBA"
"11:54:12 AM","6:47 1st","Q1","21","212.5","2.05","1.72","2","NBA"
"11:54:29 AM","6:47 1st","Q1","21","212.5","2.05","1.72","2","NBA"
"11:54:50 AM","6:47 1st","Q1","22","212.5","2.05","1.72","2","NBA"
"11:55:11 AM","6:47 1st","Q1","25","218.5","2.15","1.66","2","NBA"
"11:55:30 AM","6:47 1st","Q1","25","218.5","2.15","1.66","2","NBA"
"11:55:49 AM","6:21 1st","Q1","26","217.5","2.1","1.7","2","NBA"
"11:56:12 AM","6:21 1st","Q1","27","217.5","2.1","1.7","2","NBA"
"11:56:29 AM","6:21 1st","Q1","27","216.5","2.1","1.7","2","NBA"
"11:56:49 AM","5:59 1st","Q1","27","216.5","2.1","1.7","2","NBA"
"11:57:14 AM","6:11 1st","Q1","27","216.5","2.1","1.7","2","NBA"
"11:57:30 AM","5:59 1st","Q1","27","216.5","2.1","1.7","2","NBA"
"11:57:49 AM","5:50 1st","Q1","27","216.5","2.1","1.7","2","NBA"
"11:58:10 AM","5:50 1st","Q1","27","216.5","2.1","1.7","2","NBA"
"11:58:31 AM","5:50 1st","Q1","27","216.5","2.1","1.7","2","NBA"
"11:58:53 AM","5:50 1st","Q1","27","216.5","2.1","1.7","2","NBA"
"11:59:10 AM","5:50 1st","Q1","27","216.5","2.1","1.7","2","NBA"
"11:59:30 AM","5:50 1st","Q1","27","216.5","2.1","1.7","2","NBA"
"11:59:53 AM","5:50 1st","Q1","27","216.5","2.15","1.66","2","NBA"
"12:00:12 PM","5:50 1st","Q1","27","216.5","2.15","1.66","2","NBA"
"12:00:29 PM","5:35 1st","Q1","28","216.5","2.15","1.66","2","NBA"
"12:00:50 PM","5:28 1st","Q1","28","216.5","2.15","1.66","2","NBA"
"12:01:13 PM","5:35 1st","Q1","28","216.5","2.25","1.6","3","NBA"
"12:01:29 PM","5:28 1st","Q1","30","216.5","2.25","1.6","3","NBA"
"12:01:48 PM","4:46 1st","Q1","35","218.5","2.15","1.66","2","NBA"
"12:02:14 PM","4:27 1st","Q1","35","218.5","2.15","1.66","2","NBA"
"12:02:31 PM","4:05 1st","Q1","35","216.5","2.1","1.68","2","NBA"
"12:02:48 PM","4:05 1st","Q1","35","216.5","2.1","1.68","2","NBA"
"12:03:10 PM","4:05 1st","Q1","35","216.5","2.15","1.66","2","NBA"
"12:03:28 PM","4:05 1st","Q1","36","216.5","2.15","1.66","2","NBA"
"12:03:48 PM","3:48 1st","Q1","38","218.5","2","1.76","1","NBA"
"12:04:07 PM","3:44 1st","Q1","38","218.5","2","1.76","1","NBA"
"12:04:29 PM","3:44 1st","Q1","39","219.5","1.9","1.84","1","NBA"
"12:04:47 PM","3:44 1st","Q1","39","218.5","1.84","1.9","1","NBA"
"12:05:11 PM","3:44 1st","Q1","39","218.5","1.84","1.9","1","NBA"
"12:05:28 PM","2:58 1st","Q1","39","216.5","1.84","1.9","1","NBA"
"12:05:48 PM","2:58 1st","Q1","39","216.5","1.84","1.9","1","NBA"
"12:06:09 PM","2:58 1st","Q1","39","216.5","1.84","1.9","1","NBA"
"12:06:26 PM","2:58 1st","Q1","39","216.5","1.84","1.9","1","NBA"
"12:06:51 PM","2:58 1st","Q1","39","216.5","1.84","1.9","1","NBA"
"12:07:06 PM","2:58 1st","Q1","39","216.5","1.84","1.9","1","NBA"
"12:07:25 PM","2:58 1st","Q1","39","216.5","1.84","1.9","1","NBA"
"12:07:46 PM","2:58 1st","Q1","39","216.5","1.84","1.9","1","NBA"
"12:08:06 PM","2:58 1st","Q1","39","215.5","1.9","1.84","1","NBA"
"12:08:26 PM","2:44 1st","Q1","39","215.5","1.9","1.84","1","NBA"
"12:08:46 PM","2:31 1st","Q1","39","212.5","1.9","1.84","1","NBA"
"12:09:06 PM","2:06 1st","Q1","39","212.5","1.9","1.84","1","NBA"
"12:09:26 PM","1:34 1st","Q1","39","210.5","1.9","1.84","1","NBA"
"12:09:45 PM","1:34 1st","Q1","41","208.5","2.05","1.72","2","NBA"
"12:10:09 PM","1:11 1st","Q1","41","208.5","2.05","1.72","2","NBA"
"12:10:25 PM","1:02 1st","Q1","44","209.5","2.25","1.62","3","NBA"
"12:10:46 PM",":31.6 1st","Q1","46","209.5","2.25","1.62","3","NBA"
"12:11:13 PM",":31.6 1st","Q1","49","210.5","2.45","1.52","4","NBA"
"12:11:27 PM",":00.1 1st","Q1","49","211.5","2.85","1.4","5","NBA"
"12:11:47 PM","End 1st","Q1","49","211.5","2.85","1.4","5","NBA"
"12:12:08 PM","End 1st","Q1","49","211.5","2.85","1.4","5","NBA"
"12:12:26 PM","End 1st","Q1","49","211.5","2.85","1.4","5","NBA"
"12:12:46 PM","End 1st","Q1","49","211.5","2.85","1.4","5","NBA"
"12:13:06 PM","End 1st","Q1","49","211.5","2.85","1.4","5","NBA"
"12:13:28 PM","End 1st","Q1","49","211.5","2.85","1.4","5","NBA"
"12:13:46 PM","End 1st","Q1","49","211.5","2.85","1.4","5","NBA"
"12:14:06 PM","End 1st","Q1","49","211.5","2.85","1.4","5","NBA"
"12:14:29 PM","End 1st","Q1","49","211.5","2.85","1.4","5","NBA"
"12:14:46 PM","End 1st","Q1","49","211.5","2.85","1.4","5","NBA"
"12:15:07 PM","End 1st","Q1","49","211.5","2.85","1.4","5","NBA"
"12:15:28 PM","11:45 2nd","Q1","49","211.5","2.85","1.4","5","NBA"
"12:15:46 PM","11:37 2nd","Q1","49","209.5","2.85","1.4","5","NBA"
"12:16:08 PM","11:37 2nd","Q1","49","209.5","2.85","1.4","5","NBA"
"12:16:28 PM","11:20 2nd","Q1","49","209.5","3.3","1.3","6","NBA"
"12:16:46 PM","11:07 2nd","Q2","52","209.5","3.3","1.3","6","NBA"
"12:17:09 PM","11:07 2nd","Q2","52","208.5","3.3","1.3","7","NBA"
"12:17:27 PM","10:07 2nd","Q2","52","208.5","3.3","1.3","7","NBA"
"12:17:50 PM","10:07 2nd","Q2","57","211.5","4","1.22","8","NBA"
"12:18:06 PM","9:55 2nd","Q2","57","211.5","4","1.22","8","NBA"
"12:18:29 PM","9:55 2nd","Q2","57","208.5","4","1.22","8","NBA"
"12:18:45 PM","9:55 2nd","Q2","57","208.5","4","1.22","8","NBA"
"12:19:06 PM","9:55 2nd","Q2","57","208.5","4","1.22","8","NBA"
"12:19:25 PM","9:55 2nd","Q2","57","208.5","4","1.22","8","NBA"
"12:19:47 PM","9:55 2nd","Q2","57","208.5","4","1.22","8","NBA"
"12:20:08 PM","9:55 2nd","Q2","57","209.5","4","1.22","8","NBA"
"12:20:26 PM","9:39 2nd","Q2","57","209.5","4","1.22","8","NBA"
"12:20:46 PM","9:39 2nd","Q2","57","209.5","4","1.22","8","NBA"
"12:21:08 PM","9:39 2nd","Q2","57","209.5","4","1.22","8","NBA"
"12:21:25 PM","9:39 2nd","Q2","57","209.5","4","1.22","8","NBA"
"12:21:46 PM","9:39 2nd","Q2","58","209.5","4","1.22","8","NBA"
"12:22:08 PM","9:27 2nd","Q2","60","212.5","3.6","1.26","7","NBA"
"12:22:27 PM","9:11 2nd","Q2","60","212.5","3.6","1.26","7","NBA"
"12:22:46 PM","8:45 2nd","Q2","62","212.5","4","1.22","8","NBA"
"12:23:08 PM","8:45 2nd","Q2","63","212.5","4","1.22","8","NBA"
"12:23:25 PM","8:31 2nd","Q2","63","212.5","3.6","1.26","7","NBA"
"12:23:46 PM","8:31 2nd","Q2","64","212.5","3.6","1.26","7","NBA"
"12:24:06 PM","8:31 2nd","Q2","64","212.5","3.6","1.26","7","NBA"
"12:24:25 PM","8:31 2nd","Q2","64","212.5","3.3","1.3","7","NBA"
"12:24:45 PM","8:04 2nd","Q2","64","210.5","3.6","1.26","7","NBA"
"12:25:07 PM","8:04 2nd","Q2","64","210.5","3.6","1.26","7","NBA"
"12:25:28 PM","7:09 2nd","Q2","64","211.5","3","1.36","6","NBA"
"12:25:46 PM","7:09 2nd","Q2","67","211.5","3","1.36","6","NBA"
"12:26:06 PM","6:51 2nd","Q2","68","210.5","3.25","1.32","6","NBA"
"12:26:26 PM","6:51 2nd","Q2","68","210.5","3.25","1.32","6","NBA"
"12:26:46 PM","6:51 2nd","Q2","69","211.5","3.25","1.32","6","NBA"
"12:27:06 PM","6:39 2nd","Q2","69","211.5","3.25","1.32","6","NBA"
"12:27:28 PM","6:39 2nd","Q2","69","208.5","3.25","1.32","6","NBA"
"12:27:45 PM","6:39 2nd","Q2","69","208.5","3.25","1.32","6","NBA"
"12:28:07 PM","5:34 2nd","Q2","69","204.5","3.25","1.32","6","NBA"
"12:28:25 PM","5:19 2nd","Q2","69","204.5","3.25","1.32","6","NBA"
"12:28:48 PM","5:19 2nd","Q2","71","204.5","2.85","1.4","5","NBA"
"12:29:05 PM","5:54 2nd","Q2","71","204.5","2.85","1.4","5","NBA"
"12:29:25 PM","4:50 2nd","Q2","73","205.5","2.7","1.44","4","NBA"
"12:29:45 PM","4:50 2nd","Q2","73","205.5","2.7","1.44","4","NBA"
"12:30:10 PM","4:50 2nd","Q2","73","205.5","2.7","1.44","4","NBA"
"12:30:25 PM","4:50 2nd","Q2","73","205.5","2.7","1.44","4","NBA"
