"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"11:11:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:11:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:11:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:12:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:12:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:12:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:13:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:13:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:13:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:14:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:14:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:15:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:15:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:15:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:15:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:16:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:16:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:16:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:17:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:17:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:17:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:18:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:18:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:18:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:19:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:19:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:19:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:20:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:20:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
