"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:41:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
