"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"11:27:15 AM",NA,"First Half","0","167.5","17","1.005","22.5","NCAA"
"11:27:30 AM",NA,"First Half","0","167.5","17","1.005","22.5","NCAA"
"11:27:52 AM",NA,"First Half","0","165","34","1.005","22","NCAA"
"11:28:10 AM",NA,"First Half","5","165","34","1.005","22","NCAA"
"11:28:31 AM",NA,"First Half","5","165","67","1.85","23","NCAA"
"11:28:51 AM",NA,"First Half","5","165","67","1.85","23","NCAA"
"11:29:11 AM",NA,"First Half","5","164","34","1.002","23.5","NCAA"
"11:29:32 AM",NA,"First Half","5","164","34","1.002","23.5","NCAA"
"11:29:51 AM",NA,"First Half","7","162.5","34","1.002","23","NCAA"
"11:30:12 AM",NA,"First Half","7","162.5","34","1.002","23","NCAA"
"11:30:29 AM",NA,"First Half","7","160.5","34","1.004","23","NCAA"
"11:30:50 AM",NA,"First Half","9","160.5","34","1.004","23","NCAA"
"11:31:17 AM",NA,"First Half","9","162.5","34","1.004","22.5","NCAA"
"11:31:30 AM",NA,"First Half","9","162.5","34","1.004","22.5","NCAA"
"11:31:51 AM",NA,"First Half","9","162.5","13","1.01","23.5","NCAA"
"11:32:16 AM",NA,"First Half","13","162.5","13","1.01","23.5","NCAA"
"11:32:32 AM",NA,"First Half","13","164.5","81","1.88","26.5","NCAA"
"11:32:49 AM",NA,"First Half","13","164.5","81","1.88","26.5","NCAA"
"11:33:17 AM",NA,"First Half","13","164","81","1.84","28","NCAA"
"11:33:34 AM",NA,"First Half","13","164","81","1.84","28","NCAA"
"11:33:55 AM",NA,"First Half","18","164","81","1.84","28","NCAA"
"11:34:13 AM",NA,"First Half","18","164","81","1.84","28","NCAA"
"11:34:31 AM",NA,"First Half","18","164","81","1.84","28","NCAA"
"11:34:49 AM",NA,"First Half","18","164","81","1.84","28","NCAA"
"11:35:10 AM",NA,"First Half","18","164","81","1.84","28","NCAA"
"11:35:32 AM",NA,"First Half","18","164","81","1.84","28","NCAA"
"11:35:53 AM",NA,"First Half","18","165","101","1.88","29","NCAA"
"11:36:16 AM",NA,"First Half","20","165","101","1.88","29","NCAA"
"11:36:32 AM",NA,"First Half","20","165.5","81","1.88","28","NCAA"
"11:36:51 AM",NA,"First Half","20","165.5","81","1.88","28","NCAA"
"11:37:11 AM",NA,"First Half","20","162","67","1.89","26","NCAA"
"11:37:31 AM",NA,"First Half","22","162","67","1.89","26","NCAA"
"11:37:50 AM",NA,"First Half","22","164.5","81","1.89","26.5","NCAA"
"11:38:16 AM",NA,"First Half","22","164.5","81","1.89","26.5","NCAA"
"11:38:33 AM",NA,"First Half","22","165",NA,NA,"26","NCAA"
"11:38:52 AM",NA,"First Half","25","165",NA,NA,"26","NCAA"
