"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:41:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:10 AM","12:00 1st",NA,NA,"214","1.8","1.95","1","NBA"
"09:03:28 AM","11:29 1st",NA,NA,"214","1.8","1.95","1","NBA"
"09:03:48 AM","11:10 1st",NA,NA,"214","1.8","1.95","1","NBA"
"09:04:14 AM","10:52 1st",NA,NA,"216.5","1.84","1.9","1","NBA"
"09:04:28 AM","10:52 1st",NA,NA,"216.5","1.84","1.9","1","NBA"
"09:04:50 AM","10:27 1st","Q1","4","213.5","1.78","2","1","NBA"
"09:05:10 AM","10:05 1st","Q1","4","213.5","1.78","2","1","NBA"
"09:05:33 AM","10:05 1st","Q1","4","212.5","1.72","2.05","2","NBA"
"09:05:49 AM","9:33 1st","Q1","4","212.5","1.72","2.05","2","NBA"
"09:06:10 AM","9:33 1st","Q1","4","214.5","1.72","2.05","2","NBA"
"09:06:27 AM","9:16 1st","Q1","10","214.5","1.72","2.05","2","NBA"
"09:06:48 AM","9:16 1st","Q1","10","213.5","1.62","2.25","3","NBA"
"09:07:09 AM","8:56 1st","Q1","10","213.5","1.62","2.25","3","NBA"
"09:07:28 AM","8:56 1st","Q1","12","213.5","1.62","2.25","3","NBA"
"09:07:52 AM","8:56 1st","Q1","12","213.5","1.62","2.25","3","NBA"
"09:08:10 AM","8:56 1st","Q1","12","213.5","1.62","2.25","3","NBA"
"09:08:28 AM","8:56 1st","Q1","12","213.5","1.62","2.25","3","NBA"
"09:08:49 AM","8:56 1st","Q1","12","213.5","1.62","2.25","3","NBA"
"09:09:11 AM","8:56 1st","Q1","12","213.5","1.62","2.25","3","NBA"
"09:09:29 AM","8:56 1st","Q1","12","213.5","1.62","2.25","3","NBA"
"09:09:48 AM","8:56 1st","Q1","12","212.5","1.62","2.25","3","NBA"
"09:10:09 AM","8:39 1st","Q1","13","212.5","1.68","2.1","2","NBA"
"09:10:29 AM","8:26 1st","Q1","13","212.5","1.68","2.1","2","NBA"
"09:10:49 AM","8:05 1st","Q1","13","213.5","1.7","2.1","2","NBA"
"09:11:10 AM","8:05 1st","Q1","13","213.5","1.7","2.1","2","NBA"
"09:11:31 AM","7:25 1st","Q1","17","212.5","1.52","2.45","4","NBA"
"09:11:47 AM","7:16 1st","Q1","17","212.5","1.52","2.45","4","NBA"
"09:12:10 AM","7:16 1st","Q1","17","211.5","1.52","2.45","4","NBA"
"09:12:29 AM","6:58 1st","Q1","20","211.5","1.52","2.45","4","NBA"
"09:12:48 AM","6:58 1st","Q1","20","210.5","1.46","2.6","5","NBA"
"09:13:11 AM","6:11 1st","Q1","20","212.5","1.46","2.6","5","NBA"
"09:13:28 AM","5:59 1st","Q1","20","212.5","1.46","2.6","5","NBA"
"09:13:50 AM","5:19 1st","Q1","20","212.5","1.36","3","6","NBA"
"09:14:10 AM","5:19 1st","Q1","30","212.5","1.36","3","6","NBA"
"09:14:31 AM","4:56 1st","Q1","30","212.5","1.44","2.7","5","NBA"
"09:14:48 AM","4:56 1st","Q1","30","212.5","1.44","2.7","5","NBA"
"09:15:09 AM","4:56 1st","Q1","30","214.5","1.4","2.85","5","NBA"
"09:15:31 AM","4:35 1st","Q1","36","214.5","1.4","2.85","5","NBA"
"09:15:49 AM","4:16 1st","Q1","36","215.5","1.44","2.7","5","NBA"
"09:16:08 AM","4:16 1st","Q1","36","215.5","1.44","2.7","5","NBA"
"09:16:28 AM","3:51 1st","Q1","40","216.5","1.52","2.45","4","NBA"
"09:16:48 AM","3:51 1st","Q1","40","216.5","1.52","2.45","4","NBA"
"09:17:10 AM","3:51 1st","Q1","40","216.5","1.52","2.45","4","NBA"
"09:17:29 AM","3:51 1st","Q1","40","216.5","1.52","2.45","4","NBA"
"09:17:47 AM","3:51 1st","Q1","40","216.5","1.52","2.45","4","NBA"
