"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"06:40:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:40:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
