"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"11:11:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:11:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:11:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:12:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:12:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:12:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:13:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:13:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:13:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:14:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:14:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:14:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:15:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:15:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:16:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:16:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:16:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:17:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:17:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:17:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:17:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:18:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:18:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:18:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:19:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:19:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:19:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:20:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:20:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:20:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:21:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:21:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:21:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:22:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:22:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:22:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:23:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:23:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:23:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:24:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:24:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:24:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:25:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:25:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:25:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:26:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:26:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:26:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:27:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:27:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:27:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:28:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
