"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"10:41:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:41:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:42:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:42:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:42:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:42:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:43:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:43:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:43:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:44:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:44:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:44:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:45:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:45:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:45:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:46:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:46:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:46:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:47:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:47:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:47:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:48:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:48:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:48:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:49:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:49:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:49:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:50:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:50:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:50:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:51:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:51:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:51:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:52:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:52:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:52:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:53:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:53:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:53:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:54:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:54:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:54:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:55:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:55:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:55:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:56:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:56:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:56:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:57:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:57:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:57:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:58:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:58:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:58:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:59:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:59:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:59:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:00:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:00:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:00:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:01:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:01:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:01:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:02:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:02:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:02:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:03:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:03:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:03:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:04:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:04:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:04:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:05:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:05:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:05:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:06:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:06:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:06:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:07:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:07:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:07:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:08:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:08:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
