"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"03:00:58 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"03:01:31 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"03:01:38 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"03:02:01 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"03:02:27 AM","1st 20:00","First Half","0","158.5","6.5","1.08","12.5","NCAA"
"03:02:43 AM","1st 20:00","First Half","0","158.5","6.5","1.08","12.5","NCAA"
"03:02:58 AM","1st 20:00","First Half","0","158.5","6.5","1.08","12.5","NCAA"
"03:03:17 AM","1st 20:00","First Half","0","158.5","6.5","1.08","12.5","NCAA"
"03:03:40 AM","1st 20:00","First Half","0","158","6.5","1.08","12.5","NCAA"
"03:03:57 AM","1st 20:00","First Half","0","158","6.5","1.08","12.5","NCAA"
"03:04:23 AM","1st 20:00","First Half","0","158","6.5","1.08","12.5","NCAA"
"03:04:37 AM","1st 20:00","First Half","0","158","6.5","1.08","12.5","NCAA"
"03:04:57 AM","1st 20:00","First Half","0","158","6.5","1.08","12.5","NCAA"
"03:05:25 AM","1st 20:00","First Half","0","158","6.5","1.08","12.5","NCAA"
"03:05:37 AM","1st 20:00","First Half","0","158","6.5","1.08","12.5","NCAA"
"03:05:56 AM","1st 20:00","First Half","0","158","6.5","1.08","12.5","NCAA"
"03:06:19 AM","1st 20:00","First Half","0","158","6.5","1.08","12.5","NCAA"
"03:06:37 AM","1st 20:00","First Half","0","158","6.5","1.08","12.5","NCAA"
"03:07:01 AM","1st 20:00","First Half","0","158","6.5","1.08","12.5","NCAA"
"03:07:20 AM","1st 20:00","First Half","0","158","6.5","1.08","12.5","NCAA"
"03:07:38 AM","1st 20:00","First Half","0","158","6.5","1.08","12.5","NCAA"
"03:08:01 AM","1st 20:00","First Half","0","158","6.5","1.08","12.5","NCAA"
"03:08:25 AM","1st 20:00","First Half","0","158","6.5","1.08","12.5","NCAA"
"03:08:37 AM","1st 20:00","First Half","0","158","6.5","1.08","12.5","NCAA"
"03:09:06 AM","1st 20:00","First Half","0","158","6.5","1.08","12.5","NCAA"
"03:09:22 AM","1st 20:00","First Half","0","158","6.5","1.08","12.5","NCAA"
"03:09:38 AM","1st 20:00","First Half","0","158","6.5","1.08","12.5","NCAA"
"03:09:58 AM","1st 20:00","First Half","0","158","6.5","1.08","12.5","NCAA"
"03:10:29 AM","1st 20:00","First Half","0","158","6.5","1.08","12.5","NCAA"
"03:10:39 AM","1st 20:00","First Half","0","158","6.5","1.08","12.5","NCAA"
"03:10:57 AM","1st 20:00","First Half","0","158","6.5","1.08","12.5","NCAA"
"03:11:26 AM","1st 20:00","First Half","0","158","6.5","1.08","12.5","NCAA"
"03:11:43 AM","1st 20:00","First Half","0","158","6.5","1.08","12.5","NCAA"
"03:11:59 AM","1st 20:00","First Half","0","158","6.5","1.08","12.5","NCAA"
