"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"12:40:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:41:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:41:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:41:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:42:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:42:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:42:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:43:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:43:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:43:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:44:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:44:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:44:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:45:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:45:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:45:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:46:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:46:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:46:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:47:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:47:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:47:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:48:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:48:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:49:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:49:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:49:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:50:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:50:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:50:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:50:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:51:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:51:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:52:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:52:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:52:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:52:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:53:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
