"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:40:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
