"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:41:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:59 AM","Timberwolves",NA,NA,NA,NA,NA,NA,"NBA"
"09:07:18 AM","Timberwolves",NA,NA,NA,NA,NA,NA,"NBA"
"09:07:35 AM","Timberwolves",NA,NA,NA,NA,NA,NA,"NBA"
"09:07:58 AM","Timberwolves",NA,NA,NA,NA,NA,NA,"NBA"
"09:08:13 AM","Timberwolves",NA,NA,NA,NA,NA,NA,"NBA"
"09:08:35 AM","Timberwolves",NA,NA,NA,NA,NA,NA,"NBA"
"09:08:54 AM","Timberwolves",NA,NA,NA,NA,NA,NA,"NBA"
"09:09:15 AM","Timberwolves",NA,NA,NA,NA,NA,NA,"NBA"
"09:09:35 AM","Timberwolves",NA,NA,NA,NA,NA,NA,"NBA"
"09:09:58 AM","Timberwolves",NA,NA,NA,NA,NA,NA,"NBA"
"09:10:14 AM","Timberwolves",NA,NA,NA,NA,NA,NA,"NBA"
"09:10:41 AM","Timberwolves",NA,NA,NA,NA,NA,NA,"NBA"
"09:10:56 AM","Timberwolves",NA,NA,NA,NA,NA,NA,"NBA"
"09:11:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:48 AM",NA,NA,NA,"213","5.5","1.13","11","NBA"
"09:13:05 AM",NA,NA,NA,"213","5.5","1.13","11","NBA"
"09:13:22 AM",NA,NA,NA,"213","5.5","1.13","11","NBA"
"09:13:59 AM",NA,NA,NA,"213.5","5.7","1.12","11","NBA"
"09:14:13 AM",NA,NA,NA,"213.5","5.7","1.12","11","NBA"
"09:14:30 AM",NA,NA,NA,"216.5","6","1.11","11","NBA"
"09:14:43 AM",NA,NA,NA,"216.5","6","1.11","11","NBA"
"09:15:05 AM",NA,"Q1","5","213.5","6","1.11","11","NBA"
"09:15:25 AM",NA,"Q1","5","213.5","6","1.11","11","NBA"
"09:15:44 AM",NA,"Q1","5","217.5","4","1.22","8","NBA"
"09:16:08 AM","9:00 1st","Q1","5","217.5","4","1.22","8","NBA"
"09:16:23 AM","9:00 1st","Q1","5","214.5","4","1.22","8","NBA"
"09:16:45 AM","9:00 1st","Q1","12","214.5","4","1.22","8","NBA"
"09:17:13 AM","9:00 1st","Q1","12","212.5","3.6","1.26","7","NBA"
"09:17:20 AM","9:00 1st","Q1","12","212.5","3.6","1.26","7","NBA"
"09:17:40 AM","9:00 1st","Q1","12","209.5","3.6","1.26","7","NBA"
"09:18:02 AM","9:00 1st","Q1","13","209.5","3.6","1.26","7","NBA"
"09:18:21 AM","9:00 1st","Q1","13","214.5","4","1.22","7","NBA"
"09:18:57 AM","9:00 1st","Q1","13","213.5","4","1.22","7","NBA"
"09:19:28 AM","9:00 1st","Q1","21","209.5","3.6","1.26","7","NBA"
"09:20:04 AM","7:00 1st","Q1","21","209.5","3.6","1.26","7","NBA"
"09:20:15 AM","7:00 1st","Q1","21","209.5","3.6","1.26","7","NBA"
"09:20:34 AM","7:00 1st","Q1","23","211.5","3.3","1.3","7","NBA"
"09:20:54 AM","7:00 1st","Q1","23","211.5","3.3","1.3","7","NBA"
"09:21:14 AM","7:00 1st","Q1","23","216.5","4.5","1.18","9","NBA"
"09:21:27 AM","7:00 1st","Q1","23","216.5","4.5","1.18","9","NBA"
"09:21:55 AM","7:00 1st","Q1","29","213.5","4.5","1.18","9","NBA"
"09:22:05 AM","7:00 1st","Q1","29","213.5","4.5","1.18","9","NBA"
"09:22:25 AM","5:49 1st","Q1","29","211.5","4.3","1.18","9","NBA"
"09:22:44 AM","5:49 1st","Q1","29","211.5","4.3","1.18","9","NBA"
"09:23:06 AM","5:49 1st","Q1","29","211.5","4.3","1.18","9","NBA"
"09:23:21 AM","5:49 1st","Q1","29","211.5","4.3","1.18","9","NBA"
"09:23:44 AM","5:49 1st","Q1","29","214.5","4.5","1.18","9","NBA"
"09:24:02 AM","5:49 1st","Q1","29","214.5","4.5","1.18","9","NBA"
"09:24:19 AM","5:49 1st","Q1","29","215.5","4.8","1.16","9","NBA"
"09:24:54 AM","5:49 1st","Q1","30","215.5","5.2","1.14","10","NBA"
