"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"10:41:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:41:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:42:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:42:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:42:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:42:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:43:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:43:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:44:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:44:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:44:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:45:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:45:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:45:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:46:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:46:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:46:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:47:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:47:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:47:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:48:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:48:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:48:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:49:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:49:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:49:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:50:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:50:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:50:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:51:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:51:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:51:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:52:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:52:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:52:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:53:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:53:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:53:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:54:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:54:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:54:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:55:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:55:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:55:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:56:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:56:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:56:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:57:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:57:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:57:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:58:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:58:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:58:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:59:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:59:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:59:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:00:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:00:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:00:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:01:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:01:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:01:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:02:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:02:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:02:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:03:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:03:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:03:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:04:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:04:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:04:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:04:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:05:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:05:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:06:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:06:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:07:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:07:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:08:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:08:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:08:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:08:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:09:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:09:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:09:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:09:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:10:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:10:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:10:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:11:14 AM",NA,NA,NA,"224.5","5.2","1.14","11","NBA"
"11:11:40 AM",NA,NA,NA,"224.5","5.2","1.14","11","NBA"
"11:12:03 AM",NA,NA,NA,"224.5","5.2","1.14","11","NBA"
"11:12:25 AM",NA,NA,NA,"224.5","5.2","1.14","11","NBA"
"11:12:38 AM",NA,NA,NA,"224.5","5.2","1.14","11","NBA"
"11:13:04 AM","11:44 1st",NA,NA,"224.5","5.2","1.14","11","NBA"
"11:13:17 AM","11:42 1st",NA,NA,"224.5","5.2","1.14","10","NBA"
"11:13:33 AM","11:26 1st",NA,NA,"224.5","5.2","1.14","10","NBA"
"11:13:47 AM","11:42 1st",NA,NA,"222.5","5.2","1.14","10","NBA"
"11:14:08 AM","11:05 1st",NA,NA,"222.5","5.2","1.14","10","NBA"
"11:14:29 AM","10:35 1st",NA,NA,"219.5","5.2","1.14","10","NBA"
