"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:41:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:56:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:56:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:56:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:57:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:57:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:57:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:58:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:58:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:58:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:59:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:59:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:59:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:00:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:00:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:00:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:01:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:01:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:01:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:02:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:02:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:02:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:02:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:03:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:03:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:03:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:04:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:04:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:05:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:05:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:05:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:06:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:06:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:06:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:07:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:07:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:07:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:08:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:08:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:08:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:09:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:09:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:09:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:10:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:10:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:10:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:11:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:17:48 AM","8:54 1st",NA,NA,"206.5","7","1.08","12","NBA"
"10:18:00 AM","8:34 1st","Q1","3","206.5","7","1.08","12","NBA"
"10:18:23 AM","8:34 1st","Q1","8","211.5","9","1.05","14","NBA"
"10:18:49 AM","8:34 1st","Q1","8","210.5","9","1.05","14","NBA"
"10:18:52 AM","8:43 1st","Q1","8","210.5","9","1.05","14","NBA"
"10:19:12 AM","7:59 1st","Q1","8","210.5","9","1.05","14","NBA"
"10:19:23 AM","7:59 1st","Q1","8","207.5","9","1.05","14","NBA"
"10:19:51 AM","7:42 1st","Q1","15","212.5","8","1.06","14","NBA"
"10:20:03 AM","7:17 1st","Q1","15","212.5","8","1.06","14","NBA"
"10:20:15 AM","7:03 1st","Q1","18","213.5","9","1.05","14","NBA"
"10:20:33 AM","7:03 1st","Q1","18","213.5","9","1.05","14","NBA"
"10:20:48 AM","7:03 1st","Q1","22","214.5","9.5","1.04","16","NBA"
"10:21:06 AM","7:03 1st","Q1","22","214.5","9.5","1.04","16","NBA"
"10:21:23 AM","7:03 1st","Q1","22","213.5","10","1.03","17","NBA"
"10:21:38 AM","7:03 1st","Q1","24","213.5","10","1.03","17","NBA"
"10:22:00 AM","7:03 1st","Q1","24","211.5","10","1.03","17","NBA"
"10:22:20 AM","7:03 1st","Q1","24","211.5","10","1.03","17","NBA"
"10:22:34 AM","6:50 1st","Q1","24","207.5","10","1.03","17","NBA"
"10:22:53 AM","6:41 1st","Q1","24","207.5","10","1.03","17","NBA"
"10:23:12 AM","6:30 1st","Q1","29","210.5","10","1.03","16","NBA"
"10:23:28 AM","6:13 1st","Q1","32","210.5","10","1.03","16","NBA"
"10:23:47 AM","6:13 1st","Q1","32","214.5","10","1.03","16","NBA"
"10:24:19 AM","5:25 1st","Q1","35","211.5","10","1.03","16","NBA"
"10:24:35 AM","5:16 1st","Q1","35","211.5","10","1.03","16","NBA"
"10:24:49 AM","5:16 1st","Q1","35","209.5","10","1.03","16","NBA"
"10:25:07 AM","5:16 1st","Q1","37","209.5","10","1.03","16","NBA"
"10:25:27 AM","5:05 1st","Q1","37","210.5","9.5","1.04","15","NBA"
"10:25:44 AM","5:05 1st","Q1","37","210.5","9.5","1.04","15","NBA"
"10:26:02 AM","4:50 1st","Q1","37","210.5","9.5","1.04","15","NBA"
"10:26:22 AM","4:50 1st","Q1","37","210.5","9.5","1.04","15","NBA"
"10:26:40 AM","4:50 1st","Q1","40","213.5","9.5","1.04","15","NBA"
"10:27:06 AM","4:10 1st","Q1","40","213.5","9.5","1.04","15","NBA"
"10:27:19 AM","4:10 1st","Q1","40","211.5","9","1.05","14","NBA"
"10:27:40 AM","4:02 1st","Q1","42","211.5","9","1.05","14","NBA"
"10:27:55 AM","3:33 1st","Q1","42","208.5","9","1.05","14","NBA"
"10:28:22 AM","3:24 1st","Q1","42","208.5","9","1.05","14","NBA"
"10:28:37 AM","3:14 1st","Q1","47","212.5","9.5","1.04","15","NBA"
"10:29:05 AM","3:24 1st","Q1","47","212.5","9.5","1.04","15","NBA"
"10:29:24 AM","2:53 1st","Q1","49","211.5","9","1.05","13","NBA"
"10:29:36 AM","2:53 1st","Q1","49","211.5","9","1.05","13","NBA"
"10:29:53 AM","2:45 1st","Q1","49","211.5","9","1.05","13","NBA"
"10:30:19 AM","2:45 1st","Q1","49","211.5","9","1.05","13","NBA"
"10:30:38 AM","2:45 1st","Q1","49","215.5","9","1.05","13","NBA"
"10:31:06 AM","2:53 1st","Q1","49","215.5","9","1.05","13","NBA"
"10:31:20 AM","2:45 1st","Q1","49","215.5","9","1.05","13","NBA"
"10:31:40 AM","2:45 1st","Q1","49","215.5","9","1.05","13","NBA"
"10:32:00 AM","2:37 1st","Q1","49","215.5","9","1.05","13","NBA"
"10:32:19 AM","2:37 1st","Q1","49","215.5","9","1.05","14","NBA"
"10:32:37 AM","2:37 1st","Q1","50","215.5","9","1.05","14","NBA"
"10:32:56 AM","2:21 1st","Q1","50","212.5","9","1.05","14","NBA"
"10:33:16 AM","2:21 1st","Q1","50","212.5","9","1.05","14","NBA"
"10:33:33 AM","2:21 1st","Q1","53","215.5","9.5","1.04","15","NBA"
"10:33:50 AM","1:52 1st","Q1","53","215.5","9.5","1.04","15","NBA"
"10:34:13 AM","1:52 1st","Q1","55","217.5","10","1.03","16","NBA"
"10:34:34 AM","1:39 1st","Q1","57","217.5","10","1.03","16","NBA"
"10:34:54 AM","1:18 1st","Q1","61","217.5","9.5","1.04","15","NBA"
"10:35:12 AM",":55.8 1st","Q1","61","217.5","9.5","1.04","15","NBA"
"10:35:36 AM",":55.8 1st","Q1","61","215.5","10","1.03","15","NBA"
"10:35:54 AM",":25.7 1st","Q1","61","215.5","10","1.03","15","NBA"
"10:36:18 AM",":06.7 1st","Q1","61","215.5","10","1.03","15","NBA"
