"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"06:35:31 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:35:51 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:36:12 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:36:35 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:36:51 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:37:11 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:37:32 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:37:51 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:38:18 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:38:32 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:38:50 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:39:13 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:39:32 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:39:51 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:40:14 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:40:38 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:41:01 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:41:25 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:41:37 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:41:59 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:42:21 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:42:38 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:42:57 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:43:17 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:43:36 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:43:58 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:44:23 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:44:39 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:44:59 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:45:18 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:45:38 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:45:57 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:46:19 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:46:39 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:47:00 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:47:16 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:47:39 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:47:58 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:48:20 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:48:41 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:48:59 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:49:17 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:49:42 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:49:57 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:50:18 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:50:39 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:50:59 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:51:19 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:51:38 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:52:03 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:52:30 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:52:42 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:52:59 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:53:17 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:53:40 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:53:58 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:54:18 AM","Mar 24-6:09 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:54:38 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:54:58 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:55:18 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:55:41 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:56:02 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:56:20 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:56:39 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:57:00 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:57:18 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:57:43 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:58:05 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:58:26 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:58:42 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:59:00 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:59:24 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:59:43 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:59:59 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:00:20 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:00:42 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:00:58 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:01:21 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:01:44 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:02:00 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
