"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"04:00:25 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:00:44 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:01:09 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:01:26 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:01:48 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:02:05 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:02:26 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:02:45 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:03:09 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:03:25 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:03:46 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:04:12 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:04:26 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:04:46 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:05:07 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:05:25 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:05:45 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:06:09 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:06:25 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:06:47 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:07:05 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:07:26 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:07:45 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:08:06 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:08:28 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:08:45 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:09:07 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:09:27 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:09:48 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:10:07 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:10:26 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:10:47 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:11:29 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:11:46 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:12:08 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:12:28 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:12:47 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:13:09 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:13:27 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:13:47 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:14:07 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:14:27 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:14:47 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:15:08 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:15:27 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:15:47 AM","Feb 26-2:30 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"04:16:14 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:16:27 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:16:52 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:17:07 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:17:28 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:17:47 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:18:11 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:18:27 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:18:50 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:19:07 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:19:29 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:19:47 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:20:10 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:20:29 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:20:48 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:21:07 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:21:27 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:21:46 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:22:09 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:22:26 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:22:47 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:23:08 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:23:28 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:23:47 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:24:06 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:24:29 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:24:47 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:25:09 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:25:27 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:25:46 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:26:09 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:26:27 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:26:49 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:27:08 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:27:30 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:27:47 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:28:07 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:28:27 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:28:51 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:29:08 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:29:30 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"04:29:48 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"04:41:28 AM","1st 15:16",NA,NA,"148.5","1.5","2.46","3.5","NCAA"
"04:41:50 AM","1st 14:29",NA,NA,"148.5","1.5","2.46","3.5","NCAA"
"04:42:10 AM","1st 14:29",NA,NA,"140.5","1.55","2.35","3.5","NCAA"
"04:42:28 AM","1st 14:10",NA,NA,"140.5","1.55","2.35","3.5","NCAA"
"04:42:50 AM","1st 14:10","First Half","18","142.5","1.54","2.37","3.5","NCAA"
"04:43:08 AM","1st 13:52","First Half","18","142.5","1.54","2.37","3.5","NCAA"
"04:43:29 AM","1st 13:34","First Half","18","140.5","1.52","2.42","3.5","NCAA"
"04:43:47 AM","1st 13:34","First Half","20","140.5","1.52","2.42","3.5","NCAA"
"04:44:07 AM","1st 12:49","First Half","20","139.5","1.39","2.84","5.5","NCAA"
"04:44:28 AM","1st 12:49","First Half","20","139.5","1.39","2.84","5.5","NCAA"
"04:44:53 AM","1st 12:04","First Half","20","144.5","1.45","2.64","4.5","NCAA"
"04:45:11 AM","1st 12:04","First Half","20","144.5","1.45","2.64","4.5","NCAA"
"04:45:31 AM","1st 12:04","First Half","27","149.5","1.67","2.11","2.5","NCAA"
"04:45:47 AM","1st 11:39","First Half","27","149.5","1.67","2.11","2.5","NCAA"
"04:46:12 AM","1st 11:39","First Half","27","147.5","1.57","2.31","3.5","NCAA"
"04:46:28 AM","1st 11:22","First Half","27","147.5","1.57","2.31","3.5","NCAA"
"04:46:54 AM","1st 11:14","First Half","32","147.5","1.57","2.31","3.5","NCAA"
"04:47:07 AM","1st 11:14","First Half","32","147.5","1.57","2.31","3.5","NCAA"
"04:47:30 AM","1st 11:14","First Half","32","147.5","1.57","2.31","3.5","NCAA"
"04:47:53 AM","1st 11:14","First Half","32","147.5","1.57","2.31","3.5","NCAA"
"04:48:08 AM","1st 11:14","First Half","32","147.5","1.57","2.31","3.5","NCAA"
"04:48:27 AM","1st 11:14","First Half","32","147.5","1.57","2.31","3.5","NCAA"
"04:48:50 AM","1st 11:14","First Half","32","147.5","1.57","2.31","3.5","NCAA"
"04:49:09 AM","1st 11:14","First Half","32","147.5","1.57","2.31","3.5","NCAA"
"04:49:26 AM","1st 11:14","First Half","32","147.5","1.7","2.07","2.5","NCAA"
"04:49:47 AM","1st 11:14","First Half","32","147.5","1.7","2.07","2.5","NCAA"
"04:50:08 AM","1st 11:14","First Half","32","150.5","1.66","2.13","2.5","NCAA"
"04:50:31 AM","1st 11:14","First Half","34","150.5","1.66","2.13","2.5","NCAA"
"04:50:47 AM","1st 11:14","First Half","34","150.5","1.77","1.97","1.5","NCAA"
"04:51:08 AM","1st 10:32","First Half","34","150.5","1.77","1.97","1.5","NCAA"
"04:51:27 AM","1st 10:18","First Half","34","151.5","1.78","1.95","1.5","NCAA"
"04:51:48 AM","1st 10:18","First Half","34","151.5","1.78","1.95","1.5","NCAA"
"04:52:11 AM","1st 10:00","First Half","36","152.5","1.97","1.77","0.5","NCAA"
"04:52:27 AM","1st 10:00","First Half","36","152.5","1.97","1.77","0.5","NCAA"
"04:52:46 AM","1st 9:38","First Half","36","149.5","2.1","1.68","0.5","NCAA"
"04:53:08 AM","1st 9:38","First Half","38","149.5","2.1","1.68","0.5","NCAA"
"04:53:28 AM","1st 9:20","First Half","38","151.5","2.15","1.71","2.5","NCAA"
"04:53:47 AM","1st 9:20","First Half","38","151.5","2.15","1.71","2.5","NCAA"
