"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"12:02:30 PM","1st 20:00","First Half","0","146.5","1.41","2.78","5","NCAA"
"12:03:10 PM","1st 20:00","First Half","0","146.5","1.41","2.78","5","NCAA"
"12:03:34 PM","1st 20:00","First Half","0","146.5","1.41","2.78","5","NCAA"
"12:03:52 PM","1st 20:00","First Half","0","146.5","1.57","2.3","3","NCAA"
"12:04:10 PM","1st 20:00","First Half","0","146.5","1.57","2.3","3","NCAA"
"12:04:29 PM","1st 20:00","First Half","0","146.5","1.57","2.3","3","NCAA"
"12:04:50 PM","1st 20:00","First Half","0","146.5","1.57","2.3","3","NCAA"
"12:05:09 PM","1st 20:00","First Half","0","146.5","1.57","2.3","3","NCAA"
"12:05:27 PM","1st 20:00","First Half","0","146.5","1.57","2.3","3","NCAA"
"12:05:49 PM","1st 20:00","First Half","0","146.5","1.57","2.3","3","NCAA"
"12:06:11 PM","1st 20:00","First Half","0","146.5","1.57","2.3","3","NCAA"
"12:06:28 PM","1st 20:00","First Half","0","145.5","1.42","2.74","5","NCAA"
"12:06:52 PM","1st 20:00","First Half","0","145.5","1.42","2.74","5","NCAA"
"12:07:10 PM","1st 19:53","First Half","0","144.5","1.41","2.77","5","NCAA"
"12:07:32 PM","1st 19:53","First Half","0","144.5","1.41","2.77","5","NCAA"
"12:07:50 PM","1st 19:26","First Half","0","143.5","1.47","2.56","4.5","NCAA"
"12:08:08 PM","1st 19:31","First Half","0","143.5","1.47","2.56","4.5","NCAA"
"12:08:29 PM","1st 19:19","First Half","0","142.5","1.44","2.65","5","NCAA"
"12:08:50 PM","1st 18:53","First Half","0","142.5","1.44","2.65","5","NCAA"
"12:09:08 PM","1st 18:52","First Half","0","141.5","1.38","2.89","5.5","NCAA"
"12:09:30 PM","1st 18:52","First Half","0","141.5","1.38","2.89","5.5","NCAA"
"12:09:51 PM","1st 18:32","First Half","2","138.5","1.39","2.84","6.5","NCAA"
"12:10:10 PM","1st 17:42","First Half","2","138.5","1.39","2.84","6.5","NCAA"
"12:10:31 PM","1st 17:49","First Half","2","142.5","1.36","2.97","5.5","NCAA"
"12:10:49 PM","1st 17:06","First Half","2","142.5","1.36","2.97","5.5","NCAA"
"12:11:09 PM","1st 16:49","First Half","2","139.5","1.31","3.25","6.5","NCAA"
"12:11:30 PM","1st 16:37","First Half","7","139.5","1.31","3.25","6.5","NCAA"
"12:11:49 PM","1st 16:37","First Half","7","138.5","1.3","3.32","7.5","NCAA"
"12:12:12 PM","1st 16:37","First Half","7","138.5","1.3","3.32","7.5","NCAA"
"12:12:28 PM","1st 16:37","First Half","9","139.5","1.3","3.35","7.5","NCAA"
"12:12:47 PM","1st 16:37","First Half","9","139.5","1.3","3.35","7.5","NCAA"
"12:13:12 PM","1st 16:37","First Half","9","138.5","1.35","3.04","6","NCAA"
"12:13:28 PM","1st 16:37","First Half","9","138.5","1.35","3.04","6","NCAA"
"12:13:52 PM","1st 14:43","First Half","9","138.5","1.35","3.04","6","NCAA"
"12:14:08 PM","1st 14:43","First Half","11","138.5","1.35","3.04","6","NCAA"
"12:14:31 PM","1st 14:43","First Half","11","138.5","1.35","3.04","6","NCAA"
"12:14:49 PM","1st 14:43","First Half","11","138.5","1.35","3.04","6","NCAA"
"12:15:09 PM","1st 14:43","First Half","11","138.5","1.35","3.04","6","NCAA"
"12:15:28 PM","1st 14:43","First Half","11","138.5","1.35","3.04","6","NCAA"
"12:15:48 PM","1st 14:43","First Half","11","138.5","1.35","3.04","6","NCAA"
"12:16:09 PM","1st 14:43","First Half","11","138.5","1.35","3.04","6","NCAA"
"12:16:28 PM","1st 14:43","First Half","11","138.5","1.35","3.05","6","NCAA"
"12:16:50 PM","1st 14:35","First Half","11","138.5","1.35","3.05","6","NCAA"
"12:17:09 PM","1st 14:35","First Half","11","134.5","1.3","3.3","5.5","NCAA"
"12:17:31 PM","1st 14:35","First Half","11","134.5","1.3","3.3","5.5","NCAA"
"12:17:48 PM","1st 14:35","First Half","13","135.5","1.3","3.35","7","NCAA"
"12:18:12 PM","1st 13:14","First Half","13","135.5","1.3","3.35","7","NCAA"
"12:18:29 PM","1st 13:14","First Half","13","135.5","1.22","4","8.5","NCAA"
"12:18:49 PM","1st 12:34","First Half","13","135.5","1.22","4","8.5","NCAA"
"12:19:09 PM","1st 12:34","First Half","15","133.5","1.22","4","8","NCAA"
"12:19:28 PM","1st 12:34","First Half","15","133.5","1.22","4","8","NCAA"
"12:19:48 PM","1st 12:34","First Half","15","131.5","1.28","3.45","9","NCAA"
"12:20:09 PM","1st 12:34","First Half","15","131.5","1.28","3.45","9","NCAA"
"12:20:31 PM","1st 11:41","First Half","15","131.5","1.28","3.45","9","NCAA"
"12:20:48 PM","1st 11:25","First Half","15","131.5","1.28","3.45","9","NCAA"
"12:21:11 PM","1st 11:25","First Half","15","136.5","1.41","2.78","5","NCAA"
"12:21:28 PM","1st 11:25","First Half","18","136.5","1.41","2.78","5","NCAA"
"12:21:49 PM","1st 11:25","First Half","18","132.5","1.3","3.32","7","NCAA"
"12:22:10 PM","1st 11:25","First Half","18","132.5","1.3","3.32","7","NCAA"
"12:22:29 PM","1st 11:25","First Half","18","132.5","1.3","3.32","7","NCAA"
"12:22:47 PM","1st 11:25","First Half","18","132.5","1.3","3.32","7","NCAA"
"12:23:09 PM","1st 11:25","First Half","18","131.5","1.31","3.27","7","NCAA"
"12:23:30 PM","1st 11:25","First Half","18","131.5","1.31","3.27","7","NCAA"
"12:23:48 PM","1st 11:16","First Half","18","132.5","1.33","3.18","5.5","NCAA"
"12:24:08 PM","1st 11:16","First Half","23","132.5","1.33","3.18","5.5","NCAA"
"12:24:32 PM","1st 11:16","First Half","23","131.5","1.3","3.32","7","NCAA"
"12:24:49 PM","1st 10:27","First Half","23","131.5","1.3","3.32","7","NCAA"
"12:25:10 PM","1st 10:27","First Half","23","131.5","1.3","3.32","7","NCAA"
"12:25:28 PM","1st 10:15","First Half","23","131.5","1.3","3.32","7","NCAA"
"12:25:49 PM","1st 10:15","First Half","23","131.5","1.3","3.32","7","NCAA"
"12:26:08 PM","1st 10:15","First Half","23","131.5","1.3","3.32","7","NCAA"
"12:26:30 PM","1st 10:15","First Half","23","134.5","1.33","3.18","6.5","NCAA"
"12:26:48 PM","1st 10:12","First Half","25","134.5","1.33","3.18","6.5","NCAA"
"12:27:07 PM","1st 9:52","First Half","25","133.5","1.33","3.18","5","NCAA"
"12:27:28 PM","1st 9:52","First Half","25","133.5","1.33","3.18","5","NCAA"
"12:27:47 PM","1st 9:17","First Half","25","133.5","1.42","2.74","5","NCAA"
"12:28:10 PM","1st 9:17","First Half","27","133.5","1.42","2.74","5","NCAA"
"12:28:32 PM","1st 9:09","First Half","27","133.5","1.42","2.74","5","NCAA"
"12:28:48 PM","1st 9:09","First Half","27","133.5","1.42","2.74","5","NCAA"
"12:29:10 PM","1st 8:33","First Half","27","131.5","1.42","2.73","4.5","NCAA"
"12:29:30 PM","1st 8:16","First Half","27","131.5","1.42","2.73","4.5","NCAA"
"12:29:49 PM","1st 8:04","First Half","27","130.5","1.52","2.41","3.5","NCAA"
"12:30:09 PM","1st 8:04","First Half","27","130.5","1.52","2.41","3.5","NCAA"
"12:30:32 PM","1st 7:42","First Half","27","128.5","1.52","2.42","4","NCAA"
"12:30:49 PM","1st 7:42","First Half","27","128.5","1.52","2.42","4","NCAA"
"12:31:09 PM","1st 7:42","First Half","27","128.5","1.52","2.42","4","NCAA"
"12:31:28 PM","1st 7:42","First Half","27","128.5","1.52","2.42","4","NCAA"
"12:31:47 PM","1st 7:42","First Half","27","128.5","1.52","2.42","4","NCAA"
"12:32:09 PM","1st 7:42","First Half","27","128.5","1.52","2.42","4","NCAA"
"12:32:30 PM","1st 7:42","First Half","27","128.5","1.52","2.42","4","NCAA"
"12:32:47 PM","1st 7:42","First Half","27","128.5","1.52","2.42","4","NCAA"
"12:33:08 PM","1st 7:42","First Half","27","128.5","1.44","2.65","4.5","NCAA"
"12:33:31 PM","1st 7:42","First Half","27","128.5","1.44","2.65","4.5","NCAA"
"12:33:48 PM","1st 7:42","First Half","27","131.5","1.39","2.86","4.5","NCAA"
"12:34:08 PM","1st 7:06","First Half","27","131.5","1.39","2.86","4.5","NCAA"
"12:34:30 PM","1st 6:51","First Half","32","133.5","1.42","2.72","4.5","NCAA"
"12:34:51 PM","1st 6:51","First Half","32","133.5","1.42","2.72","4.5","NCAA"
"12:35:10 PM","1st 6:51","First Half","32","133.5","1.5","2.47","4","NCAA"
"12:35:31 PM","1st 6:27","First Half","33","133.5","1.5","2.47","4","NCAA"
"12:35:50 PM","1st 6:27","First Half","33","134.5","1.67","2.11","3.5","NCAA"
"12:36:07 PM","1st 6:18","First Half","33","134.5","1.67","2.11","3.5","NCAA"
"12:36:27 PM","1st 6:27","First Half","33","132.5","1.7","2.07","2","NCAA"
"12:36:48 PM","1st 6:11","First Half","33","132.5","1.7","2.07","2","NCAA"
"12:37:07 PM","1st 6:11","First Half","34","131.5","1.62","2.2","3","NCAA"
"12:37:28 PM","1st 6:11","First Half","34","131.5","1.62","2.2","3","NCAA"
"12:37:48 PM","1st 6:00","First Half","34","132.5","1.45","2.63","4","NCAA"
"12:38:07 PM","1st 5:45","First Half","35","132.5","1.45","2.63","4","NCAA"
"12:38:28 PM","1st 5:45","First Half","35","133.5","1.35","3.02","5.5","NCAA"
"12:38:46 PM","1st 5:45","First Half","35","133.5","1.35","3.02","5.5","NCAA"
"12:39:10 PM","1st 5:45","First Half","35","132.5","1.44","2.67","4.5","NCAA"
"12:39:27 PM","1st 5:20","First Half","35","132.5","1.44","2.67","4.5","NCAA"
"12:39:48 PM","1st 5:20","First Half","36","132.5","1.58","2.29","4.5","NCAA"
"12:40:08 PM","1st 4:52","First Half","36","132.5","1.58","2.29","4.5","NCAA"
"12:40:28 PM","1st 4:36","First Half","36","130.5","1.31","3.24","5","NCAA"
"12:40:48 PM","1st 4:17","First Half","36","130.5","1.31","3.24","5","NCAA"
"12:41:09 PM","1st 4:17","First Half","39","131.5","1.3","3.35","6.5","NCAA"
"12:41:31 PM","1st 4:17","First Half","39","131.5","1.3","3.35","6.5","NCAA"
"12:41:51 PM","1st 4:09","First Half","39","129.5","1.25","3.75","7.5","NCAA"
"12:42:07 PM","1st 3:35","First Half","41","129.5","1.25","3.75","7.5","NCAA"
"12:42:26 PM","1st 3:35","First Half","41","129.5","1.22","4","7.5","NCAA"
"12:42:46 PM","1st 3:11","First Half","41","129.5","1.22","4","7.5","NCAA"
"12:43:12 PM","1st 3:11","First Half","41","129.5","1.22","4","7.5","NCAA"
"12:43:27 PM","1st 3:11","First Half","41","129.5","1.22","4","7.5","NCAA"
"12:43:47 PM","1st 3:11","First Half","41","129.5","1.22","4","7.5","NCAA"
"12:44:10 PM","1st 3:11","First Half","41","129.5","1.22","4","7.5","NCAA"
"12:44:26 PM","1st 3:11","First Half","41","129.5","1.22","4","7.5","NCAA"
"12:44:47 PM","1st 3:11","First Half","41","129.5","1.22","4","7.5","NCAA"
"12:45:10 PM","1st 3:11","First Half","41","129.5","1.22","4","7.5","NCAA"
"12:45:27 PM","1st 3:11","First Half","41","129.5","1.22","4","7.5","NCAA"
"12:45:47 PM","1st 3:11","First Half","41","128.5","1.14","5.2","10","NCAA"
"12:46:09 PM","1st 3:11","First Half","43","128.5","1.14","5.2","10","NCAA"
"12:46:27 PM","1st 3:11","First Half","43","126.5","1.14","5.2","10","NCAA"
"12:46:47 PM","1st 3:11","First Half","43","126.5","1.14","5.2","10","NCAA"
