"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:10:27 AM","Magic",NA,NA,NA,NA,NA,NA,"NBA"
"08:10:46 AM","Magic",NA,NA,NA,NA,NA,NA,"NBA"
"08:11:12 AM","Magic",NA,NA,NA,NA,NA,NA,"NBA"
"08:11:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
