"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"10:10:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:10:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:11:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:11:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:11:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:12:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:12:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:12:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:13:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:13:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:13:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:14:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:14:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:14:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:15:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:15:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:15:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:16:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:16:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:16:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:17:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:17:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:17:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:18:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:18:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:18:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:19:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:19:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:19:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:20:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:20:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:20:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:21:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:21:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:21:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:22:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:22:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:22:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:23:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:23:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:23:49 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:24:06 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:24:26 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:24:47 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:25:16 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:25:28 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:25:46 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:26:09 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:26:30 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:26:47 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:27:07 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:27:26 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:27:47 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:28:08 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:28:26 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:28:46 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:29:06 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:29:26 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:29:48 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:30:09 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:30:27 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:30:46 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:31:09 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:31:27 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:31:47 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:32:08 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:32:29 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:32:48 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:33:06 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:33:27 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:33:47 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
"10:34:08 AM","Thunder",NA,NA,NA,NA,NA,NA,"NBA"
