"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:11:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:40:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:40:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:00 AM","11:10 1st",NA,NA,"204","2.45","1.52","4","NBA"
"08:44:19 AM","11:10 1st",NA,NA,"204","2.45","1.52","4","NBA"
"08:44:53 AM","10:48 1st",NA,NA,"204","2.45","1.52","4","NBA"
"08:44:58 AM","10:21 1st",NA,NA,"204","2.45","1.52","4","NBA"
"08:45:19 AM","10:00 1st",NA,NA,"208.5","2.5","1.5","4","NBA"
"08:45:41 AM","10:00 1st","Q1","7","208.5","2.5","1.5","4","NBA"
"08:45:57 AM","9:20 1st","Q1","7","202.5","2.45","1.52","4","NBA"
"08:46:20 AM","9:11 1st","Q1","7","202.5","2.45","1.52","4","NBA"
"08:46:36 AM","9:11 1st","Q1","7","200.5","2.45","1.52","4","NBA"
"08:46:55 AM","8:25 1st","Q1","9","200.5","2.45","1.52","4","NBA"
"08:47:15 AM","8:25 1st","Q1","9","197.5","2.45","1.52","4","NBA"
"08:47:38 AM","8:06 1st","Q1","9","199.5","2.85","1.4","5","NBA"
"08:48:01 AM","8:06 1st","Q1","9","199.5","2.85","1.4","5","NBA"
"08:48:16 AM","7:39 1st","Q1","9","198.5","2.85","1.4","5","NBA"
"08:48:32 AM","7:39 1st","Q1","12","198.5","2.85","1.4","5","NBA"
"08:49:01 AM","7:28 1st","Q1","12","197.5","2.7","1.44","5","NBA"
"08:49:14 AM","7:28 1st","Q1","12","197.5","2.7","1.44","5","NBA"
"08:49:37 AM","7:28 1st","Q1","12","197.5","2.7","1.44","5","NBA"
"08:49:55 AM","7:28 1st","Q1","14","197.5","2.7","1.44","5","NBA"
"08:50:19 AM","7:02 1st","Q1","14","198.5","2.85","1.4","5","NBA"
"08:50:40 AM","6:38 1st","Q1","14","198.5","2.85","1.4","5","NBA"
"08:51:01 AM","6:34 1st","Q1","15","197.5","2.85","1.4","5","NBA"
"08:51:18 AM","6:34 1st","Q1","15","197.5","2.85","1.4","5","NBA"
"08:51:38 AM","6:34 1st","Q1","15","197.5","2.85","1.4","5","NBA"
"08:51:59 AM","6:34 1st","Q1","15","197.5","2.85","1.4","5","NBA"
"08:52:19 AM","6:22 1st","Q1","15","194.5","2.85","1.4","5","NBA"
"08:52:41 AM","6:22 1st","Q1","15","194.5","2.85","1.4","5","NBA"
"08:53:01 AM","6:22 1st","Q1","15","195.5","2.45","1.52","4","NBA"
"08:53:18 AM","5:48 1st","Q1","15","195.5","2.45","1.52","4","NBA"
"08:53:35 AM","5:48 1st","Q1","15","195.5","2.45","1.52","4","NBA"
"08:53:54 AM","5:48 1st","Q1","18","195.5","2.45","1.52","4","NBA"
"08:54:19 AM","5:48 1st","Q1","18","195.5","2.45","1.52","4","NBA"
"08:54:38 AM","5:48 1st","Q1","18","195.5","2.45","1.52","4","NBA"
"08:55:03 AM","5:48 1st","Q1","18","195.5","2.45","1.52","4","NBA"
"08:55:21 AM","5:48 1st","Q1","18","195.5","2.45","1.52","4","NBA"
"08:55:42 AM","5:48 1st","Q1","18","196.5","2.25","1.62","3","NBA"
"08:55:54 AM","5:35 1st","Q1","18","196.5","2.25","1.62","3","NBA"
"08:56:26 AM","4:58 1st","Q1","20","195.5","2.25","1.6","3","NBA"
"08:56:37 AM","4:58 1st","Q1","20","195.5","2.25","1.6","3","NBA"
"08:57:09 AM","4:28 1st","Q1","20","196.5","2.25","1.6","3","NBA"
"08:57:19 AM","4:28 1st","Q1","20","196.5","2.25","1.6","3","NBA"
"08:57:44 AM","5:35 1st","Q1","24","193.5","2.25","1.62","3","NBA"
"08:58:09 AM","3:41 1st","Q1","24","193.5","2.25","1.62","3","NBA"
"08:58:22 AM","3:41 1st","Q1","24","190.5","2.15","1.66","2","NBA"
"08:58:46 AM","3:41 1st","Q1","24","191.5","2.05","1.72","2","NBA"
"08:59:02 AM","2:40 1st","Q1","24","191.5","2.05","1.72","2","NBA"
"08:59:14 AM","2:40 1st","Q1","24","191.5","2.05","1.72","2","NBA"
"08:59:34 AM","2:55 1st","Q1","26","189.5","2.05","1.72","2","NBA"
"09:00:00 AM","2:27 1st","Q1","26","189.5","2.05","1.72","2","NBA"
"09:00:18 AM","2:27 1st","Q1","26","189.5","2.05","1.72","2","NBA"
"09:00:40 AM","2:27 1st","Q1","26","189.5","2.05","1.72","2","NBA"
"09:00:57 AM","2:27 1st","Q1","26","189.5","2.05","1.72","2","NBA"
"09:01:14 AM","2:27 1st","Q1","26","189.5","2.05","1.72","2","NBA"
"09:01:41 AM","2:27 1st","Q1","26","189.5","2.05","1.72","2","NBA"
"09:02:00 AM","2:27 1st","Q1","26","190.5","1.88","1.88","1","NBA"
"09:02:19 AM","2:27 1st","Q1","26","190.5","1.88","1.88","1","NBA"
"09:02:38 AM","2:27 1st","Q1","26","188.5","1.88","1.88","1","NBA"
"09:02:58 AM","2:10 1st","Q1","26","188.5","1.88","1.88","1","NBA"
"09:03:20 AM","1:38 1st","Q1","32","190.5","1.88","1.88","1","NBA"
"09:03:35 AM","1:23 1st","Q1","32","190.5","1.88","1.88","1","NBA"
"09:04:10 AM","1:23 1st","Q1","32","186.5","1.8","1.95","1","NBA"
"09:04:18 AM",":51.3 1st","Q1","32","186.5","1.8","1.95","1","NBA"
"09:04:42 AM",":51.3 1st","Q1","32","188.5","1.72","2.05","2","NBA"
"09:05:03 AM","2:27 1st","Q1","32","188.5","1.72","2.05","2","NBA"
"09:05:19 AM",":31.7 1st","Q1","32","192.5","1.72","2.05","2","NBA"
"09:05:37 AM",":16.9 1st","Q1","32","192.5","1.72","2.05","2","NBA"
"09:05:58 AM",":16.9 1st","Q1","32","193.5","1.8","1.95","1","NBA"
"09:06:14 AM",":16.9 1st","Q1","38","193.5","1.8","1.95","1","NBA"
"09:06:38 AM",":16.9 1st","Q1","38","193.5","1.8","1.95","1","NBA"
"09:07:08 AM",":16.9 1st","Q1","38","192.5","2","1.78","1","NBA"
"09:07:19 AM",":16.9 1st","Q1","40","192.5","2","1.78","1","NBA"
"09:07:41 AM",":16.9 1st","Q1","40","192.5","2","1.78","1","NBA"
"09:08:07 AM",":16.9 1st","Q1","40","192.5","2","1.78","1","NBA"
"09:08:25 AM","End 1st","Q1","40","192.5","2","1.78","1","NBA"
"09:08:41 AM","End 1st","Q1","40","192.5","2","1.78","1","NBA"
"09:09:04 AM","End 1st","Q1","40","192.5","2","1.78","1","NBA"
"09:09:23 AM","End 1st","Q1","40","192.5","2","1.78","1","NBA"
"09:09:45 AM","12:00 2nd","Q1","40","190.5","1.95","1.8","1","NBA"
"09:10:03 AM","12:00 2nd","Q1","40","190.5","1.95","1.8","1","NBA"
"09:10:18 AM","11:39 2nd","Q2","42","191.5","2.15","1.66","2","NBA"
"09:10:41 AM","12:00 2nd","Q2","42","191.5","2.15","1.66","2","NBA"
"09:11:07 AM","11:39 2nd","Q2","42","191.5","2.15","1.66","2","NBA"
"09:11:11 AM","11:39 2nd","Q2","42","191.5","2.15","1.66","2","NBA"
"09:11:25 AM","11:39 2nd","Q2","42","191.5","2.15","1.66","2","NBA"
"09:11:55 AM","11:31 2nd","Q2","42","191.5","2.15","1.66","2","NBA"
"09:12:17 AM","11:31 2nd","Q2","42","191.5","2.15","1.66","2","NBA"
"09:12:54 AM","11:31 2nd","Q2","42","191.5","2.15","1.66","2","NBA"
"09:13:23 AM","11:31 2nd","Q2","42","191.5","2.15","1.66","2","NBA"
"09:13:25 AM","11:31 2nd","Q2","42","191.5","2.15","1.66","2","NBA"
"09:14:01 AM","11:31 2nd","Q2","42","191.5","2.15","1.66","2","NBA"
"09:14:18 AM","11:31 2nd","Q2","42","191.5","2.15","1.66","2","NBA"
"09:14:36 AM","11:31 2nd","Q2","42","193.5","2.25","1.6","3","NBA"
"09:15:08 AM","11:26 2nd","Q2","42","193.5","2.25","1.6","3","NBA"
"09:15:28 AM","11:22 2nd","Q2","42","194.5","2.45","1.52","4","NBA"
"09:15:51 AM","11:22 2nd","Q2","42","194.5","2.45","1.52","4","NBA"
"09:16:26 AM","10:49 2nd","Q2","45","197.5","2.85","1.4","5","NBA"
"09:16:26 AM","10:49 2nd","Q2","45","197.5","2.85","1.4","5","NBA"
"09:16:55 AM","10:49 2nd","Q2","45","197.5","2.85","1.4","5","NBA"
"09:17:07 AM","10:49 2nd","Q2","45","197.5","2.85","1.4","5","NBA"
"09:17:32 AM","10:49 2nd","Q2","48","197.5","2.85","1.4","5","NBA"
"09:17:50 AM","10:49 2nd","Q2","48","197.5","2.85","1.4","5","NBA"
"09:18:11 AM","10:49 2nd","Q2","48","197.5","2.85","1.4","5","NBA"
"09:18:30 AM","10:49 2nd","Q2","48","197.5","2.85","1.4","5","NBA"
"09:18:51 AM","10:40 2nd","Q2","48","197.5","2.85","1.4","5","NBA"
"09:19:10 AM","10:49 2nd","Q2","48","197.5","2.85","1.4","5","NBA"
"09:19:37 AM","10:00 2nd","Q2","48","194.5","2.85","1.4","5","NBA"
"09:19:51 AM","10:00 2nd","Q2","48","194.5","2.85","1.4","5","NBA"
"09:20:10 AM","9:34 2nd","Q2","48","193.5","2.85","1.4","5","NBA"
"09:20:32 AM","9:09 2nd","Q2","48","193.5","2.85","1.4","5","NBA"
"09:20:55 AM","9:34 2nd","Q2","48","197.5","4","1.22","7","NBA"
"09:21:16 AM","8:41 2nd","Q2","56","197.5","4","1.22","7","NBA"
"09:21:29 AM","8:41 2nd","Q2","56","197.5","3.5","1.28","7","NBA"
"09:21:54 AM","8:45 2nd","Q2","56","197.5","3.5","1.28","7","NBA"
"09:22:06 AM","8:41 2nd","Q2","56","199.5","3.25","1.32","6","NBA"
"09:22:28 AM","8:41 2nd","Q2","56","200.5","2.7","1.44","4","NBA"
"09:22:45 AM","8:27 2nd","Q2","62","200.5","2.7","1.44","4","NBA"
"09:23:01 AM","7:57 2nd","Q2","62","203.5","3","1.36","6","NBA"
"09:23:26 AM","7:52 2nd","Q2","62","203.5","3","1.36","6","NBA"
"09:23:38 AM","7:52 2nd","Q2","62","203.5","3","1.36","6","NBA"
"09:24:02 AM","7:52 2nd","Q2","62","203.5","3","1.36","6","NBA"
"09:24:15 AM","7:52 2nd","Q2","65","204.5","2.85","1.4","5","NBA"
"09:24:44 AM","7:52 2nd","Q2","65","204.5","2.85","1.4","5","NBA"
"09:24:57 AM","7:15 2nd","Q2","65","204.5","2.85","1.4","5","NBA"
"09:25:23 AM","7:15 2nd","Q2","65","204.5","2.85","1.4","5","NBA"
"09:25:41 AM","7:15 2nd","Q2","67","201.5","2.55","1.48","4","NBA"
"09:26:07 AM","6:54 2nd","Q2","67","201.5","2.55","1.48","4","NBA"
"09:26:24 AM","6:54 2nd","Q2","67","201.5","2.55","1.48","4","NBA"
"09:26:37 AM","6:54 2nd","Q2","69","201.5","2.55","1.48","4","NBA"
"09:26:55 AM","6:54 2nd","Q2","69","201.5","2.55","1.48","4","NBA"
"09:27:19 AM","6:54 2nd","Q2","69","201.5","2.55","1.48","4","NBA"
"09:27:38 AM","6:54 2nd","Q2","69","201.5","2.55","1.48","4","NBA"
