"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"06:40:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:57:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:57:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:57:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:58:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:58:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:58:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:59:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:59:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:59:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:00:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:00:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:00:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:01:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:01:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
