"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"10:59:52",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:00:00",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:00:09",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:04:38",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:04:48",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:04:57",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:05:05",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:05:17",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:05:27",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:05:39",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:05:47",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:06:00",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:06:06",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:06:13",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:06:23",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:06:30",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:06:38",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:06:47",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:06:59",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:07:08",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:07:16",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:07:25",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:07:32",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:07:41",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:07:50",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:07:58",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:08:06",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:08:14",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:08:21",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:08:30",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:08:37",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:08:47",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:08:56",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:09:05",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:09:10",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:09:18",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:09:24",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:09:31",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:09:38",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:09:48",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:09:54",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:10:04",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:10:14",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:10:20",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:10:27",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:10:33",NA,NA,NA,"215.5","2.45","1.52","4","NBA"
"11:10:41",NA,NA,NA,"215.5","2.45","1.52","4","NBA"
"11:10:52",NA,NA,NA,"215.5","2.45","1.52","4","NBA"
"11:11:01",NA,NA,NA,"215.5","2.45","1.52","4","NBA"
"11:11:13",NA,NA,NA,"215.5","2.45","1.52","4","NBA"
"11:11:22",NA,NA,NA,"215.5","2.45","1.52","4","NBA"
"11:11:32",NA,NA,NA,"215.5","2.45","1.52","4","NBA"
"11:11:42",NA,NA,NA,"215.5","2.45","1.52","4","NBA"
"11:11:51","12:00 1st",NA,NA,"215.5","2.45","1.52","4","NBA"
"11:12:00","12:00 1st",NA,NA,"215.5","2.45","1.52","4","NBA"
"11:12:08","12:00 1st",NA,NA,"214.5","2.45","1.52","4","NBA"
"11:12:16","11:39 1st",NA,NA,"214.5","2.45","1.52","4","NBA"
"11:12:26",NA,NA,NA,"214.5","2.45","1.52","4","NBA"
"11:12:34","11:16 1st",NA,NA,"214.5","2.45","1.52","4","NBA"
"11:12:43","11:16 1st",NA,NA,"214.5","2.35","1.56","3","NBA"
"11:12:50","10:50 1st","Q1","2","214.5","2.35","1.56","3","NBA"
"11:13:00","11:16 1st","Q1","2","214.5","2.35","1.56","3","NBA"
"11:13:08","10:50 1st","Q1","2","214.5","2.35","1.56","3","NBA"
"11:13:20","10:32 1st","Q1","2","213.5","2.15","1.66","3","NBA"
"11:13:28","10:50 1st","Q1","2","213.5","2.15","1.66","3","NBA"
"11:13:37","10:32 1st","Q1","2","213.5","2.15","1.66","3","NBA"
"11:13:45","10:08 1st","Q1","2","213.5","2.15","1.66","3","NBA"
"11:13:55","10:08 1st","Q1","2","210.5","2.15","1.66","3","NBA"
"11:14:04","10:08 1st","Q1","2","210.5","2.15","1.66","3","NBA"
"11:14:12","9:48 1st","Q1","4","210.5","2.15","1.66","3","NBA"
"11:14:23","9:48 1st","Q1","4","210.5","2.15","1.66","3","NBA"
"11:14:32","9:48 1st","Q1","4","208.5","2.15","1.66","2","NBA"
"11:14:42","9:48 1st","Q1","4","208.5","2.15","1.66","2","NBA"
"11:14:50","9:48 1st","Q1","4","208.5","2.15","1.66","2","NBA"
"11:14:58","9:48 1st","Q1","4","208.5","2.15","1.66","2","NBA"
"11:15:06","9:48 1st","Q1","4","208.5","2.15","1.66","2","NBA"
"11:15:14","9:48 1st","Q1","4","208.5","2.15","1.66","2","NBA"
"11:15:23","9:48 1st","Q1","4","208.5","2.15","1.66","2","NBA"
"11:15:31","9:48 1st","Q1","4","208.5","2.15","1.66","2","NBA"
"11:15:39","9:48 1st","Q1","4","208.5","2.15","1.66","2","NBA"
"11:15:46","9:48 1st","Q1","4","208.5","2.15","1.66","2","NBA"
"11:15:54","9:27 1st","Q1","4","208.5","2.15","1.66","2","NBA"
"11:16:03","9:27 1st","Q1","4","208.5","2.15","1.66","2","NBA"
"11:16:12","9:27 1st","Q1","4","208.5","2.15","1.66","2","NBA"
"11:16:21","8:59 1st","Q1","4","208.5","2.15","1.66","2","NBA"
"11:16:31","8:59 1st","Q1","4","208.5","2.15","1.66","2","NBA"
"11:16:41","9:08 1st","Q1","7","208.5","2.15","1.66","2","NBA"
"11:16:50","8:59 1st","Q1","7","208.5","2.35","1.56","3","NBA"
"11:17:01","8:28 1st","Q1","7","208.5","2.35","1.56","3","NBA"
"11:17:13","9:48 1st","Q1","7","208.5","2.35","1.56","3","NBA"
"11:17:20","8:59 1st","Q1","7","208.5","2.35","1.56","3","NBA"
"11:17:28","8:16 1st","Q1","7","207.5","2.25","1.6","3","NBA"
"11:17:36","8:16 1st","Q1","7","207.5","2.25","1.6","3","NBA"
"11:17:47","8:16 1st","Q1","7","207.5","2.25","1.6","3","NBA"
"11:17:56","7:50 1st","Q1","7","207.5","2.25","1.6","3","NBA"
"11:18:06","7:50 1st","Q1","10","209.5","2.85","1.4","5","NBA"
"11:18:16","7:25 1st","Q1","10","209.5","2.85","1.4","5","NBA"
"11:18:25","7:25 1st","Q1","10","209.5","2.85","1.4","5","NBA"
"11:18:38","7:25 1st","Q1","10","214.5","2.75","1.42","5","NBA"
"11:18:48","6:58 1st","Q1","10","214.5","2.75","1.42","5","NBA"
"11:18:55","6:58 1st","Q1","10","214.5","2.75","1.42","5","NBA"
"11:19:06","6:58 1st","Q1","10","214.5","2.75","1.42","5","NBA"
"11:19:15","6:30 1st","Q1","10","212.5","2.7","1.44","5","NBA"
"11:19:23","6:30 1st","Q1","10","212.5","2.7","1.44","5","NBA"
"11:19:30","6:30 1st","Q1","20","212.5","2.7","1.44","5","NBA"
"11:19:41","8:23 1st","Q1","20","212.5","2.7","1.44","5","NBA"
"11:19:51","6:16 1st","Q1","20","209.5","2.75","1.42","5","NBA"
"11:19:59","6:16 1st","Q1","20","209.5","2.75","1.42","5","NBA"
"11:20:07","5:59 1st","Q1","20","209.5","2.75","1.42","5","NBA"
"11:20:14","5:59 1st","Q1","20","209.5","2.75","1.42","5","NBA"
"11:20:23","5:59 1st","Q1","20","209.5","2.45","1.52","4","NBA"
"11:20:30","6:04 1st","Q1","23","209.5","2.45","1.52","4","NBA"
"11:20:38","5:44 1st","Q1","23","209.5","2.45","1.52","4","NBA"
"11:20:47","5:44 1st","Q1","23","209.5","2.45","1.52","4","NBA"
"11:20:58","5:44 1st","Q1","23","210.5","2.25","1.6","3","NBA"
"11:21:06","5:44 1st","Q1","23","210.5","2.25","1.6","3","NBA"
"11:21:14","5:44 1st","Q1","23","210.5","2.25","1.6","3","NBA"
"11:21:21","5:44 1st","Q1","23","210.5","2.25","1.6","3","NBA"
"11:21:30","5:44 1st","Q1","23","210.5","2.45","1.52","3","NBA"
"11:21:38","5:44 1st","Q1","23","210.5","2.45","1.52","3","NBA"
"11:21:46","5:44 1st","Q1","23","210.5","2.45","1.52","3","NBA"
"11:21:56","5:44 1st","Q1","23","210.5","2.45","1.52","3","NBA"
"11:22:04","5:44 1st","Q1","23","210.5","2.45","1.52","3","NBA"
"11:22:15","5:44 1st","Q1","23","210.5","2.45","1.52","3","NBA"
"11:22:24","5:44 1st","Q1","23","210.5","2.45","1.52","3","NBA"
"11:22:32","5:44 1st","Q1","23","210.5","2.45","1.52","3","NBA"
"11:22:39","5:44 1st","Q1","23","210.5","2.45","1.52","3","NBA"
"11:22:50","5:44 1st","Q1","23","210.5","2.45","1.52","3","NBA"
"11:22:59","5:44 1st","Q1","25","210.5","2.45","1.52","3","NBA"
"11:23:11","5:18 1st","Q1","25","210.5","2.5","1.5","4","NBA"
