"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"05:40:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:40:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:41:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:41:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:41:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:42:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:42:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:42:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:43:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:43:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:43:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:44:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:44:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:44:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:45:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:45:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:45:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:46:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:46:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:46:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:47:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:47:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:47:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:48:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:48:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:48:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:49:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:49:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:49:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:50:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:50:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:50:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:51:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:51:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:51:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:52:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:52:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:52:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:53:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:53:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:53:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:54:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:54:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:54:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:55:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:55:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:55:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:56:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:56:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:56:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:57:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:57:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:57:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:58:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:58:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:58:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:59:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:59:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"05:59:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:00:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:00:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:00:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:01:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:01:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:01:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:02:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:02:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:02:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:03:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:03:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:03:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:04:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:04:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:04:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:05:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:05:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:05:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:06:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:06:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:06:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:07:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:07:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:07:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:08:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:08:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:08:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:09:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:09:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:09:46 AM",NA,NA,NA,"208.5","1.56","2.35","4","NBA"
"06:10:11 AM",NA,NA,NA,"208.5","1.56","2.35","4","NBA"
"06:10:28 AM",NA,NA,NA,"208.5","1.56","2.35","4","NBA"
"06:10:51 AM",NA,NA,NA,"208.5","1.5","2.5","4","NBA"
"06:11:08 AM",NA,NA,NA,"208.5","1.5","2.5","4","NBA"
"06:11:28 AM",NA,NA,NA,"206.5","1.52","2.45","4","NBA"
"06:11:50 AM",NA,NA,NA,"206.5","1.52","2.45","4","NBA"
"06:12:11 AM",NA,NA,NA,"206.5","1.44","2.7","5","NBA"
"06:12:31 AM",NA,"Q1","2","206.5","1.44","2.7","5","NBA"
"06:12:52 AM","10:48 1st","Q1","2","205.5","1.36","3","6","NBA"
"06:13:12 AM","10:48 1st","Q1","2","205.5","1.36","3","6","NBA"
"06:13:30 AM","10:11 1st","Q1","2","208.5","1.3","3.3","7","NBA"
"06:13:46 AM","10:11 1st","Q1","2","208.5","1.3","3.3","7","NBA"
"06:14:11 AM","9:29 1st","Q1","7","206.5","1.3","3.3","7","NBA"
"06:14:27 AM","9:14 1st","Q1","7","206.5","1.3","3.3","7","NBA"
"06:14:47 AM","9:14 1st","Q1","7","208.5","1.22","4.5","10","NBA"
"06:15:12 AM","8:32 1st","Q1","12","208.5","1.22","4.5","10","NBA"
"06:15:25 AM","8:32 1st","Q1","12","207.5","1.18","4.5","10","NBA"
"06:15:53 AM","8:32 1st","Q1","12","207.5","1.18","4.5","10","NBA"
"06:16:06 AM","8:32 1st","Q1","12","207.5","1.18","4.5","10","NBA"
"06:16:26 AM","8:32 1st","Q1","12","207.5","1.18","4.5","10","NBA"
"06:16:46 AM","8:32 1st","Q1","12","207.5","1.18","4.5","10","NBA"
"06:17:11 AM","8:32 1st","Q1","12","207.5","1.18","4.5","10","NBA"
"06:17:32 AM","8:32 1st","Q1","12","207.5","1.18","4.5","10","NBA"
"06:17:47 AM","8:16 1st","Q1","12","209.5","1.2","4.1","8","NBA"
"06:18:06 AM","8:16 1st","Q1","15","209.5","1.2","4.1","8","NBA"
"06:18:26 AM","7:44 1st","Q1","15","206.5","1.2","4.1","8","NBA"
"06:18:54 AM","7:44 1st","Q1","15","206.5","1.2","4.1","8","NBA"
"06:19:07 AM","7:03 1st","Q1","19","207.5","1.32","3.25","7","NBA"
"06:19:31 AM","7:03 1st","Q1","19","207.5","1.32","3.25","7","NBA"
"06:19:46 AM","7:03 1st","Q1","19","207.5","1.32","3.25","7","NBA"
"06:20:11 AM","7:03 1st","Q1","19","207.5","1.32","3.25","7","NBA"
"06:20:27 AM","6:47 1st","Q1","23","209.5","1.44","2.7","5","NBA"
"06:20:50 AM","6:47 1st","Q1","23","209.5","1.44","2.7","5","NBA"
"06:21:11 AM","5:58 1st","Q1","23","206.5","1.44","2.7","5","NBA"
"06:21:27 AM","5:58 1st","Q1","23","206.5","1.44","2.7","5","NBA"
"06:21:47 AM","5:58 1st","Q1","23","206.5","1.52","2.45","4","NBA"
"06:22:10 AM","5:25 1st","Q1","25","206.5","1.52","2.45","4","NBA"
"06:22:26 AM","5:14 1st","Q1","25","205.5","1.62","2.25","3","NBA"
"06:22:47 AM","5:14 1st","Q1","25","205.5","1.62","2.25","3","NBA"
"06:23:07 AM","4:34 1st","Q1","25","205.5","1.6","2.25","3","NBA"
"06:23:30 AM","4:34 1st","Q1","29","205.5","1.6","2.25","3","NBA"
"06:23:47 AM","4:20 1st","Q1","29","205.5","1.6","2.25","3","NBA"
"06:24:12 AM","4:20 1st","Q1","29","205.5","1.6","2.25","3","NBA"
"06:24:27 AM","4:06 1st","Q1","29","205.5","1.6","2.25","3","NBA"
"06:24:46 AM","4:06 1st","Q1","29","206.5","1.5","2.5","4","NBA"
"06:25:11 AM","4:06 1st","Q1","30","206.5","1.5","2.5","4","NBA"
"06:25:29 AM","3:46 1st","Q1","30","203.5","1.48","2.55","4","NBA"
"06:25:50 AM","3:46 1st","Q1","30","203.5","1.48","2.55","4","NBA"
