"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"06:40:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:57:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:57:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:57:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:58:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:58:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:58:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:59:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:59:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:59:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:00:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:00:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:00:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:01:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:01:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:01:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:02:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:02:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:02:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:03:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:03:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:03:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:04:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:04:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:04:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:05:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:05:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:05:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:06:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:06:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:06:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:07:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:07:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:07:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:08:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:08:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:08:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:09:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:09:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:09:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:10:15 AM",NA,NA,NA,"199.5","3.3","1.3","7","NBA"
"07:10:36 AM",NA,NA,NA,"199.5","3.3","1.3","7","NBA"
"07:10:53 AM",NA,NA,NA,"199.5","3.3","1.3","7","NBA"
"07:11:15 AM",NA,NA,NA,"199.5","3.3","1.3","7","NBA"
"07:11:36 AM","11:44 1st",NA,NA,"201.5","4.2","1.2","9","NBA"
"07:11:55 AM","11:20 1st","Q1","3","201.5","4.2","1.2","9","NBA"
"07:12:15 AM","11:20 1st","Q1","6","202.5","4","1.22","8","NBA"
"07:12:36 AM","11:20 1st","Q1","6","202.5","4","1.22","8","NBA"
"07:13:02 AM","10:31 1st","Q1","8","203.5","3.3","1.3","7","NBA"
"07:13:20 AM","10:31 1st","Q1","8","203.5","3.3","1.3","7","NBA"
"07:13:44 AM","10:31 1st","Q1","8","203.5","3.3","1.3","7","NBA"
"07:13:59 AM","10:31 1st","Q1","8","203.5","3.3","1.3","7","NBA"
"07:14:15 AM","10:14 1st","Q1","10","203.5","3.5","1.28","7","NBA"
"07:14:37 AM","10:14 1st","Q1","10","203.5","3.5","1.28","7","NBA"
"07:14:59 AM","9:58 1st","Q1","11","204.5","4.2","1.2","8","NBA"
"07:15:20 AM","9:41 1st","Q1","13","204.5","4.2","1.2","8","NBA"
"07:15:38 AM","9:41 1st","Q1","15","203.5","4","1.22","8","NBA"
"07:15:55 AM","9:14 1st","Q1","15","203.5","4","1.22","8","NBA"
"07:16:17 AM","9:14 1st","Q1","17","204.5","4","1.22","8","NBA"
"07:16:40 AM","8:36 1st","Q1","19","204.5","4","1.22","8","NBA"
"07:16:57 AM","8:36 1st","Q1","19","201.5","4","1.22","8","NBA"
"07:17:16 AM","8:18 1st","Q1","19","201.5","4","1.22","8","NBA"
"07:17:35 AM","8:18 1st","Q1","19","198.5","4","1.22","8","NBA"
"07:17:56 AM","7:53 1st","Q1","19","198.5","4","1.22","8","NBA"
"07:18:16 AM","7:53 1st","Q1","22","201.5","3.25","1.32","6","NBA"
"07:18:42 AM","7:53 1st","Q1","22","203.5","2.85","1.4","5","NBA"
"07:18:58 AM","7:08 1st","Q1","24","203.5","2.85","1.4","5","NBA"
"07:19:16 AM","6:56 1st","Q1","30","211.5","2.85","1.4","6","NBA"
"07:19:39 AM","6:56 1st","Q1","30","211.5","2.85","1.4","6","NBA"
"07:19:58 AM","6:14 1st","Q1","35","214.5","2.75","1.42","5","NBA"
"07:20:24 AM","6:14 1st","Q1","37","214.5","2.85","1.4","5","NBA"
"07:20:40 AM","5:27 1st","Q1","39","214.5","2.85","1.4","5","NBA"
"07:20:59 AM","5:19 1st","Q1","39","214.5","3.2","1.32","6","NBA"
"07:21:23 AM","5:19 1st","Q1","39","214.5","3.2","1.32","6","NBA"
"07:21:40 AM","5:19 1st","Q1","39","211.5","3.2","1.32","6","NBA"
"07:21:56 AM","5:19 1st","Q1","39","211.5","3.2","1.32","6","NBA"
"07:22:18 AM","5:19 1st","Q1","39","211.5","3.2","1.32","6","NBA"
"07:22:35 AM","5:19 1st","Q1","39","211.5","3.2","1.32","6","NBA"
"07:22:55 AM","5:19 1st","Q1","39","211.5","3.2","1.32","6","NBA"
"07:23:16 AM","5:19 1st","Q1","39","211.5","3.2","1.32","6","NBA"
"07:23:35 AM","5:19 1st","Q1","41","211.5","3.2","1.32","6","NBA"
"07:23:59 AM","4:48 1st","Q1","41","209.5","3.5","1.28","7","NBA"
"07:24:19 AM","4:32 1st","Q1","41","209.5","3.5","1.28","7","NBA"
"07:24:39 AM","4:32 1st","Q1","41","207.5","3.5","1.28","7","NBA"
"07:24:56 AM","3:57 1st","Q1","41","207.5","3.5","1.28","7","NBA"
"07:25:21 AM","3:57 1st","Q1","41","206.5","4","1.22","7","NBA"
"07:25:45 AM","3:40 1st","Q1","42","206.5","4","1.22","7","NBA"
"07:26:03 AM","3:40 1st","Q1","43","207.5","4.2","1.2","8","NBA"
"07:26:26 AM","3:40 1st","Q1","43","207.5","4.2","1.2","8","NBA"
"07:26:39 AM","3:23 1st","Q1","43","204.5","4.2","1.2","8","NBA"
"07:27:01 AM","3:23 1st","Q1","43","204.5","4.2","1.2","8","NBA"
"07:27:22 AM","2:55 1st","Q1","44","204.5","4","1.22","8","NBA"
"07:27:41 AM","2:55 1st","Q1","44","204.5","4","1.22","8","NBA"
"07:27:59 AM","2:55 1st","Q1","44","204.5","4","1.22","8","NBA"
"07:28:16 AM","2:55 1st","Q1","44","204.5","4","1.22","8","NBA"
"07:28:35 AM","2:55 1st","Q1","44","204.5","4","1.22","8","NBA"
"07:28:59 AM","2:55 1st","Q1","44","204.5","4","1.22","8","NBA"
"07:29:20 AM","2:55 1st","Q1","44","204.5","4","1.22","8","NBA"
"07:29:37 AM","2:55 1st","Q1","44","204.5","4","1.22","8","NBA"
"07:29:57 AM","2:55 1st","Q1","44","204.5","4","1.22","8","NBA"
