"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"11:11:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:11:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:11:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:12:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:12:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:12:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:13:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:13:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:13:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:14:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:14:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:14:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:15:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:15:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:15:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:16:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:16:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:16:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:17:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:17:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:17:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:18:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:18:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:18:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:19:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:19:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:19:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:20:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:20:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:20:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:21:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:21:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:21:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:22:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:22:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:22:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:23:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:23:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:23:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:24:12 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:24:27 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:24:48 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:25:10 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:25:27 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:25:50 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:26:09 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:26:27 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:26:46 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:27:07 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:27:26 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:27:46 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:28:07 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:28:26 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:28:46 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:29:07 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:29:26 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:29:47 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:30:13 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:30:27 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:30:48 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:31:07 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:31:26 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:31:46 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:32:06 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:32:28 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:32:47 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:33:07 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:33:27 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:33:47 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
"11:34:07 AM","Grizzlies",NA,NA,NA,NA,NA,NA,"NBA"
