"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"03:11:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"03:11:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"03:11:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"03:11:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"03:12:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"03:12:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"03:12:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"03:13:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"03:13:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"03:14:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"03:14:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"03:14:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"03:15:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"03:15:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"03:15:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"03:16:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"03:16:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"03:16:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"03:17:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"03:17:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"03:17:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"03:17:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"03:18:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"03:18:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"03:19:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"03:19:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"03:19:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
