"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"06:40:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:57:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:57:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:57:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:58:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:58:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:58:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:59:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:59:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:59:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:00:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:00:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:00:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:01:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:01:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:01:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:02:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:02:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:02:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:03:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:03:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:03:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:04:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:04:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:04:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:05:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:05:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:05:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
