"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"06:40:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:40:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:57:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:57:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:57:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:58:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:58:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:58:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:59:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:59:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:59:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:00:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:00:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:00:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:01:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:01:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:01:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:02:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:02:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:02:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:03:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:03:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:03:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:04:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:04:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:04:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:05:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:05:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:05:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:06:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:06:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:06:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:07:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:07:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:07:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:08:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:08:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:08:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:09:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:09:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:10:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:10:14 AM",NA,NA,NA,"212","3.5","1.28","7","NBA"
"07:10:33 AM",NA,NA,NA,"212","3.5","1.28","7","NBA"
"07:10:57 AM",NA,NA,NA,"212","3.5","1.28","7","NBA"
"07:11:19 AM",NA,NA,NA,"212","3.5","1.28","7","NBA"
"07:11:38 AM","11:41 1st",NA,NA,"211.5","3.5","1.28","7","NBA"
"07:11:57 AM","11:41 1st",NA,NA,"211.5","3.5","1.28","7","NBA"
"07:12:18 AM","11:04 1st",NA,NA,"210.5","3.5","1.28","7","NBA"
"07:12:37 AM","10:41 1st",NA,NA,"210.5","3.5","1.28","7","NBA"
"07:12:56 AM","10:41 1st",NA,NA,"209.5","3.25","1.32","7","NBA"
"07:13:20 AM","10:41 1st",NA,NA,"209.5","3.25","1.32","7","NBA"
"07:13:40 AM","10:11 1st",NA,NA,"207.5","3.5","1.28","7","NBA"
"07:13:56 AM","10:11 1st",NA,NA,"207.5","3.5","1.28","7","NBA"
"07:14:20 AM","10:11 1st","Q1","4","210.5","3.6","1.26","7","NBA"
"07:14:39 AM","10:11 1st","Q1","4","210.5","3.6","1.26","7","NBA"
"07:14:57 AM","10:11 1st","Q1","4","211.5","3.25","1.32","6","NBA"
"07:15:25 AM","10:11 1st","Q1","4","211.5","3.25","1.32","6","NBA"
"07:15:42 AM","10:11 1st","Q1","14","211.5","3.25","1.32","6","NBA"
"07:15:55 AM","10:11 1st","Q1","14","211.5","3.25","1.32","6","NBA"
"07:16:21 AM","7:42 1st","Q1","14","210.5","3.25","1.32","6","NBA"
"07:16:36 AM","7:29 1st","Q1","14","210.5","3.25","1.32","6","NBA"
"07:17:00 AM","7:29 1st","Q1","19","210.5","3.6","1.26","7","NBA"
"07:17:26 AM","7:06 1st","Q1","19","210.5","3.6","1.26","7","NBA"
"07:17:39 AM","7:06 1st","Q1","19","211.5","4","1.22","8","NBA"
"07:17:56 AM","6:58 1st","Q1","19","211.5","4","1.22","8","NBA"
"07:18:21 AM","6:58 1st","Q1","21","210.5","4","1.22","8","NBA"
"07:18:39 AM","6:26 1st","Q1","21","210.5","4","1.22","8","NBA"
"07:19:00 AM","6:14 1st","Q1","21","211.5","4","1.22","8","NBA"
"07:19:17 AM","5:59 1st","Q1","21","211.5","4","1.22","8","NBA"
"07:19:38 AM","5:59 1st","Q1","21","211.5","4","1.22","8","NBA"
"07:19:59 AM","5:59 1st","Q1","25","211.5","4","1.22","8","NBA"
"07:20:16 AM","5:59 1st","Q1","25","211.5","4","1.22","8","NBA"
"07:20:36 AM","5:59 1st","Q1","25","211.5","4","1.22","8","NBA"
"07:21:00 AM","5:59 1st","Q1","25","211.5","4","1.22","8","NBA"
"07:21:18 AM","5:59 1st","Q1","25","211.5","4","1.22","8","NBA"
"07:21:43 AM","5:59 1st","Q1","25","211.5","4","1.22","8","NBA"
"07:22:03 AM","5:59 1st","Q1","25","211.5","4","1.22","8","NBA"
"07:22:23 AM","5:59 1st","Q1","25","209.5","4","1.22","7","NBA"
"07:22:38 AM","5:42 1st","Q1","25","209.5","4","1.22","7","NBA"
"07:23:02 AM","5:42 1st","Q1","25","211.5","4.2","1.2","8","NBA"
"07:23:16 AM","5:34 1st","Q1","25","211.5","4.2","1.2","8","NBA"
"07:23:41 AM","5:34 1st","Q1","25","209.5","4.2","1.2","8","NBA"
"07:24:02 AM","5:17 1st","Q1","28","209.5","4.2","1.2","8","NBA"
"07:24:15 AM","4:55 1st","Q1","28","210.5","4","1.22","8","NBA"
"07:24:39 AM","4:55 1st","Q1","28","210.5","4","1.22","8","NBA"
"07:24:54 AM","4:55 1st","Q1","31","211.5","4","1.22","7","NBA"
"07:25:17 AM","4:55 1st","Q1","31","211.5","4","1.22","7","NBA"
"07:25:39 AM","4:29 1st","Q1","31","209.5","4","1.22","7","NBA"
"07:25:55 AM","4:29 1st","Q1","31","209.5","4","1.22","7","NBA"
"07:26:17 AM","4:29 1st","Q1","31","212.5","4.2","1.2","8","NBA"
"07:26:37 AM","4:29 1st","Q1","34","212.5","4.2","1.2","8","NBA"
"07:26:56 AM","4:29 1st","Q1","34","212.5","4.2","1.2","8","NBA"
"07:27:22 AM","4:29 1st","Q1","34","212.5","4.2","1.2","8","NBA"
"07:27:36 AM","4:29 1st","Q1","34","212.5","4.2","1.2","8","NBA"
"07:27:57 AM","4:29 1st","Q1","34","212.5","4.2","1.2","8","NBA"
"07:28:21 AM","4:10 1st","Q1","34","212.5","4.5","1.18","9","NBA"
"07:28:33 AM","4:10 1st","Q1","34","212.5","4.5","1.18","9","NBA"
"07:28:58 AM","3:47 1st","Q1","34","210.5","4.5","1.18","9","NBA"
"07:29:23 AM","3:14 1st","Q1","36","210.5","4.5","1.18","9","NBA"
"07:29:36 AM","3:47 1st","Q1","36","210.5","5.5","1.13","10","NBA"
"07:29:58 AM","2:57 1st","Q1","36","210.5","5.5","1.13","10","NBA"
"07:30:15 AM","2:37 1st","Q1","36","211.5","5","1.15","10","NBA"
"07:30:40 AM","2:31 1st","Q1","40","211.5","5","1.15","10","NBA"
"07:30:58 AM","2:13 1st","Q1","40","211.5","5","1.15","10","NBA"
"07:31:15 AM","2:13 1st","Q1","40","214.5","4.3","1.19","9","NBA"
"07:31:37 AM","1:42 1st","Q1","40","214.5","4.3","1.19","9","NBA"
"07:32:01 AM","3:14 1st","Q1","40","212.5","4.3","1.19","9","NBA"
