"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:10:54 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:11:16 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:11:35 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:11:53 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:12:14 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:12:33 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:12:54 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:13:13 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:13:36 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:13:55 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:14:13 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:14:33 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:14:52 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:15:14 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:15:34 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:15:53 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:16:13 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:16:32 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:16:54 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:17:37 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:17:56 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:18:25 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:18:37 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:18:53 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:19:17 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:19:31 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:19:55 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:20:11 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"09:20:32 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:20:52 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:21:18 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:21:32 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:21:51 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:22:12 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:22:33 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:22:54 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:23:13 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:23:34 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:23:53 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:24:12 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:24:31 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:24:53 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:25:18 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:25:33 AM","Mar 19-8:40 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:25:56 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:26:12 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:26:33 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"09:26:52 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:27:13 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:27:31 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:27:54 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:28:12 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:28:37 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:28:53 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:29:13 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:29:31 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:29:55 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:30:16 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:30:33 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:30:55 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:31:14 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:31:33 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:31:54 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:32:14 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:32:35 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:32:52 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:33:19 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:33:34 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:33:54 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:34:11 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:34:31 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:34:52 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:35:18 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:35:32 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:35:56 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:36:19 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:36:31 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:36:53 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:37:11 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:37:33 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:37:56 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:38:12 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:38:34 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:38:52 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:39:12 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:39:34 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:39:51 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:40:13 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:40:30 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"09:52:53 AM","1st 20:00","First Half","0","153.5","2.42","1.52","3.5","NCAA"
"09:53:13 AM","1st 20:00","First Half","0","153.5","2.42","1.52","3.5","NCAA"
"09:53:32 AM","1st 20:00","First Half","0","153.5","2.42","1.52","3.5","NCAA"
"09:53:51 AM","1st 20:00","First Half","0","153.5","2.42","1.52","3.5","NCAA"
"09:54:15 AM","1st 20:00","First Half","0","153.5","2.42","1.52","3.5","NCAA"
"09:54:32 AM","1st 20:00","First Half","0","153.5","2.42","1.52","3.5","NCAA"
"09:54:51 AM","1st 20:00","First Half","0","153.5","2.42","1.52","3.5","NCAA"
"09:55:12 AM","1st 20:00","First Half","0","153.5","2.42","1.52","3.5","NCAA"
"09:55:31 AM","1st 20:00","First Half","0","153.5","2.42","1.52","3.5","NCAA"
"09:55:51 AM","1st 20:00","First Half","0","153.5","2.42","1.52","3.5","NCAA"
"09:56:20 AM","1st 20:00","First Half","0","151.5","2.41","1.52","4.5","NCAA"
"09:56:31 AM","1st 20:00","First Half","0","151.5","2.41","1.52","4.5","NCAA"
"09:56:50 AM","1st 20:00","First Half","2","151.5","2.13","1.66","2.5","NCAA"
"09:57:12 AM","1st 20:00","First Half","2","151.5","2.13","1.66","2.5","NCAA"
"09:57:33 AM","1st 19:47","First Half","5","153.5","2.24","1.6","3.5","NCAA"
"09:57:51 AM","1st 19:08","First Half","5","153.5","2.24","1.6","3.5","NCAA"
"09:58:11 AM","1st 19:08","First Half","8","153.5","2.73","1.42","3.5","NCAA"
"09:58:31 AM","1st 18:38","First Half","10","153.5","2.73","1.42","3.5","NCAA"
"09:58:51 AM","1st 18:29","First Half","10","153.5","3.32","1.3","6.5","NCAA"
"09:59:10 AM","1st 18:29","First Half","10","153.5","3.32","1.3","6.5","NCAA"
"09:59:30 AM","1st 17:29","First Half","10","152.5","3.28","1.31","6.5","NCAA"
"09:59:50 AM","1st 17:29","First Half","10","152.5","3.28","1.31","6.5","NCAA"
"10:00:13 AM","1st 16:52","First Half","10","151.5","3.11","1.34","6.5","NCAA"
"10:00:30 AM","1st 16:37","First Half","10","151.5","3.11","1.34","6.5","NCAA"
"10:00:51 AM","1st 16:37","First Half","11","149.5","3.05","1.35","7.5","NCAA"
"10:01:10 AM","1st 16:37","First Half","11","149.5","3.05","1.35","7.5","NCAA"
"10:01:34 AM","1st 16:37","First Half","11","152.5","2.63","1.45","4.5","NCAA"
"10:01:50 AM","1st 16:37","First Half","14","152.5","2.63","1.45","4.5","NCAA"
"10:02:10 AM","1st 15:46","First Half","14","149.5","2.53","1.48","3.5","NCAA"
