"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:40:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:57:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:57:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:57:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:58:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:58:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:58:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:59:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:59:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:03:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:04:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:05:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:06:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:07:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:07:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:08:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:08:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:08:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:08:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:09:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:09:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:09:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:10:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:10:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:31 AM","11:31 1st",NA,NA,"214.5","1.66","2.15","3","NBA"
"08:13:06 AM","11:10 1st",NA,NA,"214.5","1.66","2.15","3","NBA"
"08:13:24 AM","10:49 1st",NA,NA,"214.5","1.66","2.15","3","NBA"
"08:13:55 AM","10:49 1st",NA,NA,"214.5","1.66","2.15","3","NBA"
"08:14:04 AM","10:49 1st",NA,NA,"214.5","1.66","2.15","3","NBA"
"08:14:25 AM","10:49 1st","Q1","4","217.5","1.66","2.15","3","NBA"
"08:14:45 AM","10:49 1st","Q1","4","217.5","1.66","2.15","3","NBA"
"08:15:07 AM","10:49 1st","Q1","4","216.5","1.56","2.35","3","NBA"
"08:15:31 AM","10:49 1st","Q1","8","216.5","1.56","2.35","3","NBA"
"08:15:48 AM","9:46 1st","Q1","10","217.5","1.56","2.35","3","NBA"
"08:16:10 AM","9:23 1st","Q1","10","217.5","1.56","2.35","3","NBA"
"08:16:28 AM","8:59 1st","Q1","10","214.5","1.6","2.25","3","NBA"
"08:16:51 AM","8:59 1st","Q1","20","214.5","1.6","2.25","3","NBA"
"08:17:08 AM","8:20 1st","Q1","20","222.5","1.46","2.6","5","NBA"
"08:17:30 AM","7:55 1st","Q1","23","219.5","1.36","3","6","NBA"
"08:17:43 AM","7:55 1st","Q1","23","219.5","1.36","3","6","NBA"
"08:18:05 AM","7:26 1st","Q1","23","217.5","1.4","2.85","5","NBA"
"08:18:30 AM","7:13 1st","Q1","24","217.5","1.4","2.85","5","NBA"
"08:18:47 AM","7:13 1st","Q1","24","217.5","1.42","2.75","5","NBA"
"08:19:06 AM","7:13 1st","Q1","24","217.5","1.42","2.75","5","NBA"
