"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:11:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:20:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:21:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:22:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:23:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:24:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:25:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:26:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:27:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:28:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:29:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:30:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:31:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:32:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:33:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:34:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:35:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:36:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:37:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:38:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:39:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:40:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:40:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:40:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:28 AM","12:00 1st",NA,NA,"215.5","1.52","2.45","5","NBA"
"08:41:55 AM","12:00 1st",NA,NA,"215.5","1.48","2.55","4","NBA"
"08:42:20 AM","11:34 1st",NA,NA,"215.5","1.48","2.55","4","NBA"
"08:42:36 AM","11:34 1st",NA,NA,"213.5","1.44","2.7","5","NBA"
"08:42:49 AM","11:20 1st",NA,NA,"213.5","1.44","2.7","5","NBA"
"08:43:11 AM","11:20 1st",NA,NA,"211.5","1.44","2.7","5","NBA"
"08:43:32 AM","10:28 1st",NA,NA,"211.5","1.44","2.7","5","NBA"
"08:43:55 AM",NA,"Q1","3","214.5","1.48","2.55","4","NBA"
"08:44:09 AM","10:00 1st","Q1","3","214.5","1.48","2.55","4","NBA"
"08:44:36 AM","10:00 1st","Q1","3","215.5","1.56","2.35","3","NBA"
"08:44:51 AM","9:43 1st","Q1","11","215.5","1.56","2.35","3","NBA"
"08:45:11 AM","9:04 1st","Q1","11","216.5","1.56","2.35","3","NBA"
"08:45:36 AM","9:04 1st","Q1","13","216.5","1.56","2.35","3","NBA"
"08:45:49 AM","8:36 1st","Q1","13","213.5","1.56","2.35","3","NBA"
"08:46:09 AM","8:14 1st","Q1","13","213.5","1.56","2.35","3","NBA"
"08:46:34 AM","8:14 1st","Q1","15","213.5","1.52","2.45","4","NBA"
"08:46:53 AM","7:53 1st","Q1","17","213.5","1.52","2.45","4","NBA"
"08:47:17 AM","7:16 1st","Q1","19","215.5","1.52","2.45","4","NBA"
"08:47:34 AM","7:16 1st","Q1","19","215.5","1.52","2.45","4","NBA"
"08:47:52 AM","6:57 1st","Q1","21","214.5","1.42","2.75","5","NBA"
"08:48:09 AM","6:57 1st","Q1","21","214.5","1.42","2.75","5","NBA"
"08:48:37 AM","6:36 1st","Q1","21","211.5","1.42","2.75","5","NBA"
