"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:08:39 AM","1st 20:00","First Half","0","141.5","1.86","1.87","0.5","NCAA"
"08:09:04 AM","1st 20:00","First Half","0","141.5","1.86","1.87","0.5","NCAA"
"08:09:27 AM","1st 19:28","First Half","0","142.5","1.9","1.83","0.5","NCAA"
"08:09:41 AM","1st 19:28","First Half","0","142.5","1.9","1.83","0.5","NCAA"
"08:09:58 AM","1st 19:28","First Half","0","139.5","1.95","1.78","0.5","NCAA"
"08:10:27 AM","1st 19:28","First Half","0","139.5","1.95","1.78","0.5","NCAA"
"08:10:42 AM","1st 19:28","First Half","0","137","1.77","1.97","2.5","NCAA"
"08:11:03 AM","1st 19:28","First Half","0","137","1.77","1.97","2.5","NCAA"
"08:11:22 AM","1st 19:28","First Half","2","138.5","1.86","1.87","1","NCAA"
"08:11:47 AM","1st 17:51","First Half","2","138.5","1.86","1.87","1","NCAA"
"08:12:09 AM","1st 17:51","First Half","2","138","2.01","1.74","1.5","NCAA"
"08:12:32 AM","1st 17:51","First Half","2","138","2.01","1.74","1.5","NCAA"
"08:12:50 AM","1st 17:51","First Half","5","137","1.97","1.77","0.5","NCAA"
"08:13:11 AM","1st 16:49","First Half","5","137","1.97","1.77","0.5","NCAA"
"08:13:35 AM","1st 16:49","First Half","5","138","1.85","1.88","1","NCAA"
"08:13:50 AM","1st 16:49","First Half","5","138","1.85","1.88","1","NCAA"
"08:14:08 AM","1st 16:49","First Half","7","136.5","1.82","1.91","1","NCAA"
"08:14:36 AM","1st 16:05","First Half","7","136.5","1.82","1.91","1","NCAA"
"08:14:47 AM","1st 16:05","First Half","7","136.5","1.82","1.91","1","NCAA"
"08:15:09 AM","1st 16:05","First Half","7","136.5","1.82","1.91","1","NCAA"
"08:15:27 AM","1st 16:05","First Half","7","136.5","1.82","1.91","1","NCAA"
"08:15:48 AM","1st 16:05","First Half","7","136.5","1.82","1.91","1","NCAA"
"08:16:10 AM","1st 16:05","First Half","7","136.5","1.82","1.91","1","NCAA"
"08:16:34 AM","1st 16:05","First Half","7","136.5","1.82","1.91","1","NCAA"
"08:16:51 AM","1st 16:05","First Half","7","136.5","1.82","1.91","1","NCAA"
"08:17:08 AM","1st 16:05","First Half","7","136.5","1.82","1.91","1","NCAA"
"08:17:29 AM","1st 16:05","First Half","7","138.5","1.69","2.09","1.5","NCAA"
"08:17:52 AM","1st 16:05","First Half","7","138.5","1.69","2.09","1.5","NCAA"
"08:18:10 AM","1st 15:40","First Half","8","135","1.75","2","1.5","NCAA"
"08:18:26 AM","1st 15:40","First Half","8","135","1.75","2","1.5","NCAA"
"08:18:45 AM","1st 15:40","First Half","8","133","1.75","2","1.5","NCAA"
"08:19:07 AM","1st 15:40","First Half","8","133","1.75","2","1.5","NCAA"
"08:19:31 AM","1st 15:40","First Half","8","133.5","1.91","1.82","0.5","NCAA"
"08:19:49 AM","1st 15:40","First Half","8","133.5","1.91","1.82","0.5","NCAA"
"08:20:09 AM","1st 15:40","First Half","8","132.5","1.93","1.8","0.5","NCAA"
"08:20:32 AM","1st 13:58","First Half","8","132.5","1.93","1.8","0.5","NCAA"
"08:20:46 AM","1st 13:58","First Half","11","134.5","1.63","2.18","1","NCAA"
"08:21:04 AM","1st 13:58","First Half","11","134.5","1.63","2.18","1","NCAA"
"08:21:27 AM","1st 13:58","First Half","11","133.5","1.91","2.03","1.5","NCAA"
"08:21:50 AM","1st 13:58","First Half","11","133.5","1.91","2.03","1.5","NCAA"
"08:22:06 AM","1st 13:16","First Half","11","132.5","1.74","2.01","1.5","NCAA"
"08:22:27 AM","1st 13:16","First Half","12","132.5","1.74","2.01","1.5","NCAA"
"08:22:46 AM","1st 13:16","First Half","12","136","1.85","1.88","1","NCAA"
"08:23:04 AM","1st 13:16","First Half","12","136","1.85","1.88","1","NCAA"
"08:23:24 AM","1st 13:16","First Half","12","135","1.69","2.08","1.5","NCAA"
"08:23:48 AM","1st 13:16","First Half","16","135","1.69","2.08","1.5","NCAA"
"08:25:31 AM","1st 12:22","First Half","16","135","1.86","1.87","1","NCAA"
"08:25:32 AM","1st 13:16","First Half","16","135","1.86","1.87","1","NCAA"
"08:25:35 AM","1st 13:16","First Half","16","135","1.86","1.87","1","NCAA"
"08:25:45 AM","1st 12:22","First Half","16","135","1.86","1.87","1","NCAA"
"08:25:45 AM","1st 13:16","First Half","16","135","1.86","1.87","1","NCAA"
"08:25:58 AM","1st 12:22","First Half","16","134.5","1.79","1.95","1","NCAA"
"08:26:11 AM","1st 12:22","First Half","21","134.5","1.79","1.95","1","NCAA"
"08:26:32 AM","1st 12:22","First Half","21","135","1.86","1.87","1","NCAA"
"08:26:50 AM","1st 12:22","First Half","21","135","1.86","1.87","1","NCAA"
"08:27:13 AM","1st 12:22","First Half","21","132.5","1.75","2","2","NCAA"
"08:27:30 AM","1st 12:22","First Half","21","132.5","1.75","2","2","NCAA"
"08:27:52 AM","1st 10:45","First Half","21","132.5","1.75","2","2","NCAA"
"08:28:11 AM","1st 10:45","First Half","21","132.5","1.75","2","2","NCAA"
"08:28:27 AM","1st 10:45","First Half","21","133.5","1.82","1.91","1","NCAA"
"08:28:50 AM","1st 10:45","First Half","21","133.5","1.82","1.91","1","NCAA"
"08:29:10 AM","1st 10:45","First Half","21","131.5","1.69","2.08","2","NCAA"
