"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"05:05:26 AM","1st 17:18","First Half","2","138.5","2.32","1.56","3","NCAA"
"05:05:46 AM","1st 17:00","First Half","9","138.5","2.32","1.56","3","NCAA"
"05:06:09 AM","1st 17:00","First Half","9","132.5","1.86","1.87","0.5","NCAA"
"05:06:27 AM","1st 17:00","First Half","9","132.5","1.86","1.87","0.5","NCAA"
"05:06:46 AM","1st 17:00","First Half","9","130.5","2.15","1.65","2.5","NCAA"
"05:07:09 AM","1st 16:15","First Half","9","130.5","2.15","1.65","2.5","NCAA"
"05:07:26 AM","1st 15:54","First Half","9","129.5","2.15","1.65","2.5","NCAA"
"05:07:48 AM","1st 15:54","First Half","9","129.5","2.15","1.65","2.5","NCAA"
"05:08:11 AM","1st 15:54","First Half","12","131.5","1.88","1.85","0.5","NCAA"
"05:08:26 AM","1st 15:54","First Half","12","131.5","1.88","1.85","0.5","NCAA"
"05:08:49 AM","1st 15:54","First Half","12","131.5","1.88","1.85","0.5","NCAA"
"05:09:06 AM","1st 15:54","First Half","12","131.5","1.88","1.85","0.5","NCAA"
"05:09:26 AM","1st 15:54","First Half","12","131.5","1.88","1.85","0.5","NCAA"
"05:09:46 AM","1st 15:54","First Half","12","131.5","1.88","1.85","0.5","NCAA"
"05:10:08 AM","1st 15:54","First Half","12","133.5","1.96","1.78","0.5","NCAA"
"05:10:28 AM","1st 15:54","First Half","12","133.5","1.96","1.78","0.5","NCAA"
"05:10:51 AM","1st 15:54","First Half","15","132.5","2.35","1.55","3.5","NCAA"
"05:11:06 AM","1st 15:54","First Half","15","132.5","2.35","1.55","3.5","NCAA"
"05:11:27 AM","1st 15:34","First Half","15","131.5","2.36","1.54","3.5","NCAA"
"05:11:50 AM","1st 15:21","First Half","18","131.5","2.36","1.54","3.5","NCAA"
"05:12:08 AM","1st 15:21","First Half","18","137.5","2.55","1.47","3.5","NCAA"
"05:12:27 AM","1st 14:45","First Half","19","137.5","2.55","1.47","3.5","NCAA"
"05:12:50 AM","1st 14:45","First Half","18","138.5","2.7","1.43","5.5","NCAA"
"05:13:07 AM","1st 14:45","First Half","18","138.5","2.7","1.43","5.5","NCAA"
"05:13:26 AM","1st 14:26","First Half","21","137.5","2.67","1.44","4.5","NCAA"
"05:13:46 AM","1st 14:26","First Half","21","137.5","2.67","1.44","4.5","NCAA"
"05:14:07 AM","1st 13:59","First Half","21","136.5","2.72","1.42","5","NCAA"
"05:14:27 AM","1st 14:26","First Half","21","136.5","2.72","1.42","5","NCAA"
"05:14:48 AM","1st 13:40","First Half","21","134.5","2.79","1.4","5","NCAA"
"05:15:08 AM","1st 13:40","First Half","21","134.5","2.79","1.4","5","NCAA"
"05:15:26 AM","1st 13:17","First Half","21","133.5","2.64","1.45","4.5","NCAA"
"05:15:49 AM","1st 13:17","First Half","21","133.5","2.64","1.45","4.5","NCAA"
"05:16:09 AM","1st 12:40","First Half","21","132.5","3.04","1.35","5.5","NCAA"
"05:16:27 AM","1st 12:40","First Half","21","132.5","3.04","1.35","5.5","NCAA"
"05:16:46 AM","1st 12:40","First Half","23","134.5","2.78","1.41","4.5","NCAA"
"05:17:06 AM","1st 12:40","First Half","23","134.5","2.78","1.41","4.5","NCAA"
"05:17:27 AM","1st 12:40","First Half","23","135.5","2.71","1.43","4.5","NCAA"
"05:17:49 AM","1st 12:07","First Half","25","135.5","2.71","1.43","4.5","NCAA"
"05:18:09 AM","1st 12:01","First Half","25","136.5","2.59","1.46","4.5","NCAA"
"05:18:26 AM","1st 12:01","First Half","25","136.5","2.59","1.46","4.5","NCAA"
"05:18:46 AM","1st 12:01","First Half","25","137.5","3.07","1.34","6.5","NCAA"
"05:19:10 AM","1st 12:01","First Half","28","137.5","3.07","1.34","6.5","NCAA"
"05:19:27 AM","1st 12:01","First Half","28","135.5","3.05","1.35","6.5","NCAA"
