"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"12:00:11 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"12:00:30 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"12:00:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:01:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:01:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:01:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:02:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:02:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:02:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:03:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:03:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:03:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:04:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:04:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:04:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:05:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:05:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:05:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:06:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:06:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:06:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:07:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:07:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:07:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:08:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:08:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:08:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:09:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:09:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:09:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:10:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"12:10:43 AM",NA,NA,NA,"207.5","1.48","2.55","5","NBA"
"12:10:50 AM",NA,NA,NA,"207.5","1.48","2.55","5","NBA"
"12:11:17 AM",NA,NA,NA,"207.5","1.48","2.55","5","NBA"
"12:11:37 AM","12:00 1st",NA,NA,"207.5","1.48","2.55","5","NBA"
"12:11:56 AM",NA,NA,NA,"207.5","1.48","2.55","5","NBA"
"12:12:14 AM","12:00 1st",NA,NA,"207.5","1.48","2.55","5","NBA"
"12:12:43 AM","11:16 1st","Q1","2","208.5","1.4","2.85","6","NBA"
"12:12:52 AM","10:42 1st","Q1","2","208.5","1.4","2.85","6","NBA"
"12:13:21 AM","10:42 1st","Q1","7","211.5","1.36","3","6","NBA"
"12:13:29 AM","10:20 1st","Q1","7","211.5","1.36","3","6","NBA"
"12:13:57 AM","10:20 1st","Q1","9","211.5","1.32","3.25","7","NBA"
"12:14:10 AM","10:06 1st","Q1","9","211.5","1.32","3.25","7","NBA"
"12:14:36 AM","10:06 1st","Q1","11","211.5","1.26","3.6","7","NBA"
"12:14:50 AM","9:30 1st","Q1","11","211.5","1.26","3.6","7","NBA"
"12:15:14 AM","9:30 1st","Q1","11","208.5","1.28","3.5","7","NBA"
"12:15:38 AM","9:30 1st","Q1","11","208.5","1.28","3.5","7","NBA"
"12:15:57 AM","11:27 1st","Q1","11","205.5","1.26","3.6","8","NBA"
"12:16:17 AM","9:30 1st","Q1","11","205.5","1.26","3.6","8","NBA"
"12:16:45 AM","9:30 1st","Q1","11","205.5","1.26","3.6","8","NBA"
"12:16:52 AM","9:30 1st","Q1","11","205.5","1.26","3.6","8","NBA"
"12:17:12 AM","9:30 1st","Q1","12","207.5","1.3","3.3","7","NBA"
"12:17:33 AM","9:30 1st","Q1","12","207.5","1.3","3.3","7","NBA"
"12:17:51 AM","9:13 1st","Q1","12","208.5","1.3","3.3","7","NBA"
"12:18:25 AM","9:30 1st","Q1","13","207.5","1.3","3.3","7","NBA"
"12:18:31 AM","9:13 1st","Q1","13","207.5","1.3","3.3","7","NBA"
"12:18:57 AM","9:13 1st","Q1","15","208.5","1.26","3.6","8","NBA"
"12:19:16 AM","9:13 1st","Q1","15","208.5","1.26","3.6","8","NBA"
"12:19:30 AM","8:37 1st","Q1","15","206.5","1.22","4","8","NBA"
"12:20:07 AM","8:19 1st","Q1","15","206.5","1.2","4.1","8","NBA"
"12:20:31 AM","8:08 1st","Q1","15","206.5","1.2","4.1","8","NBA"
"12:20:39 AM","8:08 1st","Q1","15","206.5","1.22","4","8","NBA"
"12:20:51 AM","8:08 1st","Q1","17","206.5","1.22","4","8","NBA"
"12:21:16 AM","8:08 1st","Q1","17","207.5","1.19","4.3","9","NBA"
"12:21:33 AM","7:34 1st","Q1","19","207.5","1.19","4.3","9","NBA"
"12:21:52 AM","8:30 1st","Q1","19","204.5","1.16","4.8","10","NBA"
"12:22:10 AM","7:34 1st","Q1","19","204.5","1.16","4.8","10","NBA"
"12:22:29 AM","7:24 1st","Q1","21","206.5","1.19","4.3","9","NBA"
"12:22:59 AM","6:54 1st","Q1","23","206.5","1.19","4.3","9","NBA"
"12:23:10 AM","6:40 1st","Q1","23","206.5","1.18","4.5","9","NBA"
"12:23:35 AM","6:31 1st","Q1","23","206.5","1.18","4.5","9","NBA"
"12:23:54 AM","6:31 1st","Q1","23","208.5","1.19","4.3","9","NBA"
"12:24:11 AM","6:24 1st","Q1","25","206.5","1.19","4.3","9","NBA"
"12:24:31 AM","6:09 1st","Q1","25","206.5","1.19","4.3","9","NBA"
"12:24:55 AM","6:09 1st","Q1","25","204.5","1.2","4.2","8","NBA"
"12:25:10 AM","5:45 1st","Q1","25","204.5","1.2","4.2","8","NBA"
"12:25:32 AM","5:45 1st","Q1","29","206.5","1.2","4.2","9","NBA"
"12:25:58 AM","6:09 1st","Q1","29","206.5","1.2","4.2","9","NBA"
"12:26:13 AM","5:22 1st","Q1","29","206.5","1.26","3.6","7","NBA"
"12:26:35 AM","4:36 1st","Q1","29","206.5","1.26","3.6","7","NBA"
"12:26:51 AM","4:57 1st","Q1","32","206.5","1.26","3.6","7","NBA"
"12:27:15 AM","4:36 1st","Q1","32","206.5","1.26","3.6","7","NBA"
"12:27:32 AM","4:36 1st","Q1","32","206.5","1.26","3.6","7","NBA"
"12:27:56 AM","4:36 1st","Q1","32","206.5","1.26","3.6","7","NBA"
"12:28:21 AM","4:36 1st","Q1","32","206.5","1.26","3.6","7","NBA"
"12:28:30 AM","4:36 1st","Q1","32","206.5","1.26","3.6","7","NBA"
"12:28:51 AM","4:36 1st","Q1","32","206.5","1.26","3.6","7","NBA"
"12:29:10 AM","4:36 1st","Q1","32","206.5","1.26","3.6","7","NBA"
"12:29:32 AM","4:30 1st","Q1","32","207.5","1.32","3.25","6","NBA"
"12:29:52 AM","4:30 1st","Q1","35","207.5","1.32","3.25","6","NBA"
"12:30:11 AM","4:06 1st","Q1","35","208.5","1.32","3.25","7","NBA"
"12:30:31 AM","4:06 1st","Q1","35","208.5","1.32","3.25","7","NBA"
"12:30:56 AM","4:06 1st","Q1","38","209.5","1.22","4","8","NBA"
"12:31:12 AM","3:53 1st","Q1","38","209.5","1.22","4","8","NBA"
"12:31:36 AM","3:41 1st","Q1","38","208.5","1.26","3.6","7","NBA"
"12:31:52 AM","3:24 1st","Q1","39","208.5","1.26","3.6","7","NBA"
"12:32:20 AM","3:24 1st","Q1","42","210.5","1.19","4.3","9","NBA"
"12:32:31 AM","3:02 1st","Q1","42","210.5","1.19","4.3","9","NBA"
"12:32:50 AM","3:24 1st","Q1","44","212.5","1.2","4.2","8","NBA"
"12:33:21 AM","3:02 1st","Q1","47","213.5","1.3","3.3","7","NBA"
"12:33:32 AM","3:02 1st","Q1","47","213.5","1.3","3.3","7","NBA"
"12:33:49 AM","2:35 1st","Q1","47","213.5","1.3","3.3","7","NBA"
"12:34:12 AM","2:35 1st","Q1","48","211.5","1.36","3","6","NBA"
"12:34:30 AM","2:23 1st","Q1","48","211.5","1.36","3","6","NBA"
"12:34:56 AM","2:03 1st","Q1","48","212.5","1.36","3","6","NBA"
"12:35:13 AM","2:23 1st","Q1","48","212.5","1.36","3","6","NBA"
"12:35:38 AM","2:03 1st","Q1","49","212.5","1.32","3.25","6","NBA"
"12:35:56 AM","1:45 1st","Q1","51","212.5","1.32","3.25","6","NBA"
"12:36:11 AM","1:45 1st","Q1","51","212.5","1.32","3.25","6","NBA"
"12:36:35 AM","1:22 1st","Q1","51","212.5","1.32","3.25","6","NBA"
"12:36:52 AM","2:03 1st","Q1","51","214.5","1.4","2.85","5","NBA"
"12:37:14 AM",":59.8 1st","Q1","55","214.5","1.4","2.85","5","NBA"
"12:37:30 AM",":34.2 1st","Q1","56","213.5","1.36","3","6","NBA"
"12:37:56 AM",":34.2 1st","Q1","56","213.5","1.36","3","6","NBA"
"12:38:11 AM",":34.2 1st","Q1","56","212.5","1.32","3.25","6","NBA"
"12:38:31 AM",":34.2 1st","Q1","57","212.5","1.32","3.25","6","NBA"
"12:38:52 AM",":01.0 1st","Q1","57","212.5","1.3","3.3","7","NBA"
"12:39:13 AM",":01.0 1st","Q1","58","212.5","1.3","3.3","7","NBA"
"12:39:35 AM","End 1st","Q1","58","213.5","1.26","3.6","7","NBA"
"12:39:58 AM","End 1st","Q1","58","213.5","1.26","3.6","7","NBA"
"12:40:17 AM","End 1st","Q1","58","213.5","1.26","3.6","7","NBA"
"12:40:32 AM","End 1st","Q1","58","213.5","1.26","3.6","7","NBA"
"12:40:56 AM","End 1st","Q1","58","213.5","1.26","3.6","7","NBA"
"12:41:19 AM","End 1st","Q1","58","213.5","1.26","3.6","7","NBA"
"12:41:38 AM","End 1st","Q1","58","213.5","1.26","3.6","7","NBA"
"12:42:00 AM","End 1st","Q1","58","213.5","1.26","3.6","7","NBA"
"12:42:11 AM","12:00 2nd","Q1","58","213.5","1.26","3.6","7","NBA"
"12:42:36 AM","12:00 2nd","Q1","58","213.5","1.22","4","8","NBA"
"12:42:51 AM","11:38 2nd","Q2","60","213.5","1.22","4","8","NBA"
"12:43:14 AM","11:02 2nd","Q2","62","212.5","1.19","4.3","9","NBA"
"12:43:32 AM","11:02 2nd","Q2","63","212.5","1.19","4.3","9","NBA"
"12:43:50 AM","10:41 2nd","Q2","63","213.5","1.2","4.2","8","NBA"
"12:44:16 AM","10:41 2nd","Q2","64","213.5","1.2","4.2","8","NBA"
"12:44:31 AM","10:41 2nd","Q2","64","215.5","1.26","3.6","7","NBA"
"12:44:54 AM","10:41 2nd","Q2","66","215.5","1.26","3.6","7","NBA"
"12:45:11 AM","9:53 2nd","Q2","68","214.5","1.2","4.2","8","NBA"
"12:45:33 AM","9:53 2nd","Q2","68","214.5","1.2","4.2","8","NBA"
"12:45:58 AM","9:28 2nd","Q2","69","213.5","1.19","4.3","9","NBA"
"12:46:14 AM","9:28 2nd","Q2","69","213.5","1.19","4.3","9","NBA"
"12:46:38 AM","9:23 2nd","Q2","69","211.5","1.2","4.2","8","NBA"
"12:47:03 AM","9:02 2nd","Q2","69","211.5","1.2","4.2","8","NBA"
"12:47:12 AM","9:02 2nd","Q2","71","212.5","1.16","4.8","9","NBA"
"12:47:39 AM","8:49 2nd","Q2","71","212.5","1.16","4.8","9","NBA"
"12:48:25 AM","8:43 2nd","Q2","71","212.5","1.14","5.2","10","NBA"
"12:48:46 AM","8:43 2nd","Q2","71","212.5","1.14","5.2","10","NBA"
"12:48:56 AM","8:43 2nd","Q2","71","212.5","1.14","5.2","10","NBA"
"12:49:22 AM","8:43 2nd","Q2","71","212.5","1.14","5.2","10","NBA"
"12:49:39 AM","8:43 2nd","Q2","71","212.5","1.14","5.2","10","NBA"
"12:49:59 AM","8:43 2nd","Q2","71","212.5","1.14","5.2","10","NBA"
"12:50:05 AM","8:43 2nd","Q2","71","212.5","1.14","5.2","10","NBA"
"12:50:13 AM","8:43 2nd","Q2","71","210.5","1.15","5","9","NBA"
"12:50:33 AM","8:43 2nd","Q2","71","210.5","1.15","5","9","NBA"
"12:50:52 AM","8:15 2nd","Q2","71","209.5","1.15","5","10","NBA"
"12:51:22 AM","8:15 2nd","Q2","71","209.5","1.08","7","12","NBA"
"12:51:32 AM","7:24 2nd","Q2","76","209.5","1.08","7","12","NBA"
"12:51:51 AM","7:24 2nd","Q2","76","209.5","1.08","7","12","NBA"
"12:52:17 AM","7:10 2nd","Q2","77","211.5","1.05","9","13","NBA"
"12:52:32 AM","7:10 2nd","Q2","77","211.5","1.05","9","13","NBA"
"12:52:52 AM","7:10 2nd","Q2","77","211.5","1.05","9","13","NBA"
"12:53:11 AM","7:10 2nd","Q2","77","211.5","1.05","9","13","NBA"
"12:53:31 AM","7:10 2nd","Q2","77","211.5","1.05","9","13","NBA"
"12:53:52 AM","7:10 2nd","Q2","77","211.5","1.05","9","13","NBA"
"12:54:12 AM","7:10 2nd","Q2","77","211.5","1.05","9","13","NBA"
"12:54:36 AM","7:10 2nd","Q2","77","211.5","1.05","9","13","NBA"
"12:54:55 AM","7:10 2nd","Q2","77","211.5","1.05","9","13","NBA"
"12:55:24 AM","7:10 2nd","Q2","77","208.5","1.05","9","13","NBA"
"12:55:43 AM","6:47 2nd","Q2","77","208.5","1.05","9","13","NBA"
"12:55:55 AM","6:47 2nd","Q2","77","209.5","1.05","9","13","NBA"
"12:56:17 AM","6:19 2nd","Q2","78","209.5","1.05","9","13","NBA"
"12:56:33 AM","6:09 2nd","Q2","78","210.5","1.06","8","13","NBA"
"12:56:54 AM","6:09 2nd","Q2","79","210.5","1.06","8","13","NBA"
"12:57:12 AM","6:09 2nd","Q2","79","209.5","1.07","7.5","12","NBA"
"12:57:35 AM","6:09 2nd","Q2","80","209.5","1.07","7.5","12","NBA"
"12:57:51 AM","5:47 2nd","Q2","80","210.5","1.09","6.5","11","NBA"
"12:58:16 AM","5:47 2nd","Q2","81","210.5","1.09","6.5","11","NBA"
"12:58:36 AM","5:47 2nd","Q2","80","208.5","1.09","6.75","11","NBA"
"12:58:56 AM","5:47 2nd","Q2","80","208.5","1.09","6.75","11","NBA"
"12:59:17 AM","5:09 2nd","Q2","80","206.5","1.07","7.5","12","NBA"
"12:59:44 AM","5:09 2nd","Q2","81","206.5","1.07","7.5","12","NBA"
"12:59:55 AM","5:47 2nd","Q2","81","206.5","1.07","7.5","12","NBA"
"01:00:22 AM","5:47 2nd","Q2","82","206.5","1.07","7.5","12","NBA"
"01:00:34 AM","4:58 2nd","Q2","82","207.5","1.05","9","13","NBA"
"01:00:57 AM","4:58 2nd","Q2","82","207.5","1.05","9","13","NBA"
"01:01:18 AM","4:47 2nd","Q2","84","205.5","1.05","9","13","NBA"
"01:01:32 AM","4:47 2nd","Q2","84","205.5","1.05","9","13","NBA"
"01:02:14 AM","4:09 2nd","Q2","87","206.5","1.04","9.5","14","NBA"
"01:02:38 AM","3:37 2nd","Q2","87","206.5","1.04","9.5","14","NBA"
"01:02:53 AM","3:16 2nd","Q2","87","205.5","1.04","9.5","14","NBA"
"01:03:16 AM","3:16 2nd","Q2","87","205.5","1.04","9.5","14","NBA"
"01:03:35 AM","2:56 2nd","Q2","87","203.5","1.04","9.5","14","NBA"
"01:03:56 AM","2:56 2nd","Q2","87","203.5","1.04","9.5","14","NBA"
"01:04:15 AM","2:24 2nd","Q2","87","201.5","1.03","10","14","NBA"
"01:04:38 AM","2:24 2nd","Q2","87","201.5","1.03","10","14","NBA"
"01:04:52 AM","2:24 2nd","Q2","87","201.5","1.03","10","14","NBA"
"01:05:15 AM","2:24 2nd","Q2","87","201.5","1.03","10","14","NBA"
"01:05:38 AM","2:24 2nd","Q2","87","201.5","1.03","10","14","NBA"
"01:05:51 AM","2:24 2nd","Q2","87","201.5","1.03","10","14","NBA"
"01:06:18 AM","2:24 2nd","Q2","87","201.5","1.03","10","14","NBA"
"01:06:34 AM","2:24 2nd","Q2","87","200.5","1.03","10","14","NBA"
"01:06:56 AM","2:24 2nd","Q2","87","200.5","1.03","10","14","NBA"
"01:07:16 AM","1:53 2nd","Q2","92","202.5","1.02","12","16","NBA"
"01:07:33 AM","1:53 2nd","Q2","92","202.5","1.02","12","16","NBA"
"01:07:55 AM","1:07 2nd","Q2","92","203.5","1.04","9.5","13","NBA"
"01:08:16 AM","1:07 2nd","Q2","97","203.5","1.04","9.5","13","NBA"
"01:08:38 AM",":33.2 2nd","Q2","97","203.5","1.04","9.5","14","NBA"
"01:08:53 AM",":33.2 2nd","Q2","97","203.5","1.04","9.5","14","NBA"
"01:09:12 AM",":33.2 2nd","Q2","97","204.5","1.05","9","12","NBA"
"01:09:40 AM","Half","Q2","100","204.5","1.05","9","12","NBA"
"01:10:00 AM","Half","Q2","100","204.5","1.05","9","12","NBA"
"01:10:13 AM","Half","Q2","100","204.5","1.05","9","12","NBA"
"01:10:38 AM","Half","Q2","100","201.5","1.05","9","12","NBA"
"01:10:52 AM","Half","Q2","100","201.5","1.05","9","12","NBA"
"01:11:25 AM","Half","Q2","100","200.5","1.05","9","12","NBA"
"01:11:35 AM","Half","Q2","100","200.5","1.05","9","12","NBA"
"01:12:05 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:12:12 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:12:42 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:12:51 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:13:24 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:13:43 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:13:53 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:14:21 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:14:32 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:14:55 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:15:16 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:15:50 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:15:57 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:16:18 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:16:46 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:17:00 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:17:22 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:17:33 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:17:58 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:18:13 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:18:33 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:18:55 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:19:17 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:19:37 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:19:56 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:20:19 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:20:32 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:20:58 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:21:14 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:21:32 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:22:01 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:22:13 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:22:39 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:22:59 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:23:25 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:23:34 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:23:56 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:24:12 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:24:36 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:25:01 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
"01:25:15 AM","Half","Q2","100","200.5","1.06","8","11","NBA"
