"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:40:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:56:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:56:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:56:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:57:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:57:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:58:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:58:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:58:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:58:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:59:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:59:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:59:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:00:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:00:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:00:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:01:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:01:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:02:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:02:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:02:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:02:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:03:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:03:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:03:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:04:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:04:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:04:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:05:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:05:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:05:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:06:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:06:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:06:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:07:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:07:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:07:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:08:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:08:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:08:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:09:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:09:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
