"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:41:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
