"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"06:41:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:57:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:57:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:58:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:58:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:58:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:58:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:59:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:59:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:00:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:00:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:00:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:01:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:01:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:01:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:02:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:02:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:02:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:03:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:03:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:03:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:04:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:04:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:04:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:05:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:05:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:05:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:06:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:06:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:06:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:07:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:07:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:07:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:08:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:08:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:08:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:09:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:09:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:09:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:10:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:10:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:10:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:10:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:13:03 AM","11:22 1st",NA,NA,"207","3.5","1.28","7","NBA"
"07:13:24 AM","11:22 1st",NA,NA,"207","3.5","1.28","7","NBA"
"07:13:47 AM","10:38 1st",NA,NA,"206.5","3.5","1.28","7","NBA"
"07:14:02 AM","10:18 1st","Q1","7","208.5","4","1.22","8","NBA"
"07:14:25 AM","10:18 1st","Q1","7","208.5","4","1.22","8","NBA"
"07:14:42 AM","10:04 1st","Q1","7","206.5","4","1.22","8","NBA"
"07:15:02 AM","10:04 1st","Q1","8","206.5","4","1.22","8","NBA"
"07:15:22 AM","10:04 1st","Q1","8","206.5","4","1.22","8","NBA"
"07:15:51 AM","10:04 1st","Q1","9","206.5","4.3","1.19","9","NBA"
"07:16:05 AM","10:04 1st","Q1","9","206.5","4.3","1.19","9","NBA"
"07:16:24 AM","9:46 1st","Q1","9","204.5","4.3","1.19","9","NBA"
"07:16:48 AM","9:46 1st","Q1","12","204.5","4.3","1.19","9","NBA"
"07:17:10 AM","9:23 1st","Q1","12","206.5","5","1.15","10","NBA"
"07:17:33 AM","9:23 1st","Q1","12","206.5","5","1.15","10","NBA"
"07:17:50 AM","9:13 1st","Q1","14","208.5","4.3","1.19","9","NBA"
"07:18:04 AM","8:38 1st","Q1","14","208.5","4.3","1.19","9","NBA"
