"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"06:30:26 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:30:41 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:31:10 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:31:25 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:31:41 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:32:02 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:32:23 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:32:45 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:33:05 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:33:21 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:33:44 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:34:01 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:34:23 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:34:44 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:35:01 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:35:21 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:35:48 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:36:07 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:36:24 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:36:41 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:37:01 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:37:19 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:37:40 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:37:59 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:38:24 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:38:41 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:39:01 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:39:21 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:39:47 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:40:06 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:40:26 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:40:41 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:41:03 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:41:22 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:41:41 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:42:02 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:42:23 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:42:44 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:43:06 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:43:26 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:43:44 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:44:01 AM","Mar 3-5:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
