"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"11:10:52","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:11:01","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:11:13","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:11:22","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:11:32","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:11:42","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:11:51","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:12:00","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:12:08","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:12:16","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:12:26","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:12:34","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:12:43","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:12:50","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:13:00","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:13:08","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:13:20","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:13:28","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:13:37","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:13:45","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:13:55","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:14:04","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:14:12","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:14:23","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:14:32","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:14:42","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
"11:14:50","Trail Blazers",NA,NA,NA,NA,NA,NA,"NBA"
