"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:41:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:41:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:42:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:43:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:44:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:45:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:46:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:47:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:48:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:49:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:50:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:51:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:52:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:53:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:54:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:55:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:56:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:57:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:58:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:59:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:00:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:01:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:02:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:03:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:04:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:05:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:06:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:07:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:08:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:08:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:08:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:09:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:09:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:09:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:10:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:10:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:10:54 AM",NA,NA,NA,"223.5","2.55","1.5","4","NBA"
"09:11:19 AM","Celtics",NA,NA,"223.5","2.55","1.5","4","NBA"
"09:11:36 AM","Pelicans",NA,NA,"223.5","2.55","1.5","4","NBA"
"09:11:55 AM","Pelicans",NA,NA,"223.5","2.55","1.5","4","NBA"
"09:12:15 AM","Pelicans",NA,NA,"223.5","2.6","1.46","5","NBA"
"09:12:35 AM","Pelicans",NA,NA,"223.5","2.6","1.46","5","NBA"
"09:12:57 AM","11:39 1st",NA,NA,"223.5","2.5","1.5","4","NBA"
"09:13:16 AM","12:00 1st","Q1","2","223.5","2.5","1.5","4","NBA"
"09:13:44 AM","10:41 1st","Q1","2","221.5","2.45","1.52","4","NBA"
"09:14:02 AM","10:41 1st","Q1","2","221.5","2.45","1.52","4","NBA"
"09:14:20 AM","10:02 1st","Q1","9","224.5","2.35","1.56","3","NBA"
"09:14:38 AM","11:23 1st","Q1","9","224.5","2.35","1.56","3","NBA"
"09:14:58 AM","9:40 1st","Q1","9","226.5","2.25","1.62","3","NBA"
"09:15:18 AM","9:26 1st","Q1","14","226.5","2.25","1.62","3","NBA"
"09:15:44 AM","9:40 1st","Q1","16","227.5","1.9","1.84","1","NBA"
"09:15:59 AM","8:19 1st","Q1","16","227.5","1.9","1.84","1","NBA"
"09:16:19 AM","8:13 1st","Q1","19","225.5","1.9","1.84","1","NBA"
"09:16:38 AM","8:13 1st","Q1","19","225.5","1.9","1.84","1","NBA"
"09:17:02 AM","8:13 1st","Q1","19","225.5","1.9","1.84","1","NBA"
"09:17:19 AM","8:13 1st","Q1","19","225.5","1.9","1.84","1","NBA"
"09:17:42 AM","8:13 1st","Q1","19","225.5","1.9","1.84","1","NBA"
"09:18:05 AM","8:13 1st","Q1","19","225.5","1.9","1.84","1","NBA"
"09:18:25 AM","8:13 1st","Q1","19","225.5","1.9","1.84","1","NBA"
"09:18:46 AM","8:13 1st","Q1","19","225.5","1.9","1.84","1","NBA"
"09:19:01 AM","8:13 1st","Q1","19","223.5","1.9","1.84","1","NBA"
"09:19:23 AM","7:49 1st","Q1","19","223.5","1.9","1.84","1","NBA"
"09:19:41 AM","7:43 1st","Q1","19","223.5","1.72","2.05","2","NBA"
"09:20:00 AM","7:25 1st","Q1","19","223.5","1.72","2.05","2","NBA"
