"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:40:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:41:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:42:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:43:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:44:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:45:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:46:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:47:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:48:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:49:59 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:50:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:51:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:52:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:53:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:54:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:55:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:56:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:56:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:56:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:57:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:57:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:57:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:58:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:58:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:58:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:59:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:59:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:59:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:00:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:00:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:00:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:01:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:01:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:01:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:02:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:02:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:02:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:03:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:03:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:03:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:04:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:04:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:04:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:05:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:05:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:05:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:06:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:06:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:06:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:07:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:07:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:07:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:08:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"10:08:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
