"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:41:06 AM","11:19 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:41:41 AM","11:09 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:41:51 AM","11:09 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:42:09 AM","10:31 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:42:27 AM","10:16 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:42:50 AM","10:16 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:43:12 AM","10:00 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:43:38 AM","9:41 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:43:57 AM","9:27 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:44:16 AM","9:27 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:44:32 AM","9:20 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:45:00 AM","9:05 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:45:15 AM","9:05 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:45:31 AM","8:55 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:45:49 AM","8:55 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:46:17 AM","8:55 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:46:32 AM","8:55 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:46:54 AM","8:55 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:47:12 AM","8:55 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:47:31 AM","8:55 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:47:49 AM","8:55 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:48:13 AM","8:55 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:48:39 AM","8:55 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:48:53 AM","8:55 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:49:12 AM","8:34 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:49:40 AM","8:34 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:49:53 AM","8:09 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:50:13 AM","7:40 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:50:36 AM","7:40 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:50:55 AM","7:31 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:51:15 AM","7:01 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:51:39 AM","6:48 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:51:50 AM","6:42 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:52:10 AM","6:42 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:52:35 AM","6:42 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:52:56 AM","6:42 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:53:17 AM","6:42 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:53:38 AM","6:42 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:54:00 AM","6:42 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:54:15 AM","6:42 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:54:30 AM","6:42 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:54:52 AM","6:28 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:55:17 AM","6:28 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:55:36 AM","5:44 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:55:50 AM","6:12 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:56:14 AM","5:14 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:56:35 AM","5:14 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:56:56 AM","5:13 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:57:13 AM","5:44 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:57:34 AM","5:13 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:57:53 AM","5:13 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:58:14 AM","5:13 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:58:36 AM","5:13 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:58:51 AM","5:13 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:59:08 AM","5:13 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:59:34 AM","5:13 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"08:59:53 AM","4:23 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:00:14 AM","4:23 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:00:39 AM","3:58 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:00:51 AM","3:58 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:01:12 AM","3:56 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:01:30 AM","3:56 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:01:51 AM","4:23 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:02:15 AM","3:36 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:02:35 AM","3:36 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:02:51 AM","3:06 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:03:10 AM","3:06 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:03:36 AM","3:09 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:03:52 AM","2:37 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:04:12 AM","2:37 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:04:34 AM","2:37 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:04:53 AM","2:37 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:05:17 AM","1:48 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:05:31 AM","2:05 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:05:51 AM","1:48 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:06:14 AM","1:22 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:06:32 AM","1:11 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:06:53 AM","1:11 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:07:19 AM","1:11 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:07:42 AM","1:02 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:07:53 AM","1:02 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:08:15 AM","1:02 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:08:32 AM","1:02 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:08:56 AM",":32.9 2nd",NA,NA,NA,NA,NA,NA,"NBA"
"09:09:17 AM",":32.9 2nd",NA,NA,NA,NA,NA,NA,"NBA"
