"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"06:41:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:41:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:42:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:43:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:44:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:45:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:46:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:47:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:48:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:49:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:50:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:51:51 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:52:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:53:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:54:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:55:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:56:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:57:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:57:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:57:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:58:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:58:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:58:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:59:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:59:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"06:59:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:00:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:00:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:00:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:01:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:01:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:01:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:02:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:02:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:02:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:03:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:03:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:03:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:04:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:04:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
