"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"03:05:14 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"03:05:36 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"03:05:48 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"03:06:15 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"03:06:32 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"03:06:49 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"03:07:15 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"03:07:36 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"03:07:51 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"03:08:12 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"03:08:37 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"03:08:53 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"03:09:12 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"03:09:36 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"03:09:52 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"03:10:09 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"03:10:29 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"03:10:57 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"03:11:13 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"03:11:29 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"03:11:52 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"03:12:10 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"03:12:24 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"03:12:42 AM","Delayed",NA,NA,NA,NA,NA,NA,"NCAA"
"03:29:13 AM","1st 20:00",NA,NA,NA,"2.04","1.72","2","NCAA"
"03:29:36 AM","1st 20:00","First Half","0",NA,"2.04","1.72","2","NCAA"
"03:29:52 AM","1st 20:00","First Half","0",NA,"2.04","1.72","2","NCAA"
"03:30:13 AM","1st 20:00","First Half","0",NA,"2.04","1.72","2","NCAA"
"03:30:32 AM","1st 20:00","First Half","0",NA,"2.04","1.72","2","NCAA"
"03:30:56 AM","1st 20:00","First Half","0",NA,"2.04","1.72","2","NCAA"
"03:31:10 AM","1st 20:00","First Half","0",NA,"2.04","1.72","2","NCAA"
"03:31:37 AM","1st 20:00","First Half","0",NA,"2.04","1.72","2","NCAA"
"03:31:55 AM","1st 20:00","First Half","0",NA,"2.03","1.73","2","NCAA"
"03:32:11 AM","1st 20:00","First Half","0",NA,"2.03","1.73","2","NCAA"
"03:32:32 AM","1st 20:00","First Half","0",NA,"2","1.74","2","NCAA"
"03:32:51 AM","1st 20:00","First Half","0",NA,"2","1.74","2","NCAA"
"03:33:14 AM","1st 20:00","First Half","0",NA,"2.03","1.73","2","NCAA"
"03:33:35 AM","1st 19:39","First Half","0",NA,"2.03","1.73","2","NCAA"
"03:33:52 AM","1st 19:05","First Half","0",NA,"2.03","1.73","1.5","NCAA"
"03:34:13 AM","1st 19:39","First Half","0",NA,"2.03","1.73","1.5","NCAA"
"03:34:36 AM","1st 19:05","First Half","0",NA,"2.03","1.73","2","NCAA"
"03:34:59 AM","1st 19:05","First Half","0",NA,"2.03","1.73","2","NCAA"
"03:35:17 AM","1st 19:05","First Half","0",NA,"2.03","1.73","2","NCAA"
"03:35:33 AM","1st 19:05","First Half","0",NA,"2.03","1.73","2","NCAA"
"03:36:09 AM","1st 18:30","First Half","0",NA,"2.03","1.73","2","NCAA"
"03:36:26 AM","1st 18:30","First Half","0",NA,"2.03","1.73","2","NCAA"
"03:36:41 AM","1st 18:30","First Half","0",NA,"2.02","1.64","1.5","NCAA"
"03:37:01 AM","1st 18:30","First Half","0",NA,"2.02","1.64","1.5","NCAA"
"03:37:17 AM","1st 17:38","First Half","0",NA,"2.07","1.79","2","NCAA"
"03:37:44 AM","1st 17:38","First Half","0",NA,"2.07","1.79","2","NCAA"
"03:37:55 AM","1st 17:02","First Half","0",NA,"2.07","1.65","0.5","NCAA"
"03:38:20 AM","1st 16:31","First Half","0",NA,"2.07","1.65","0.5","NCAA"
