"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:31:10 AM","Mar 11-8:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:31:27 AM","Mar 11-8:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:31:50 AM","Mar 11-8:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:32:13 AM","Mar 11-8:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:32:34 AM","Mar 11-8:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:32:53 AM","Mar 11-8:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:33:11 AM","Mar 11-8:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:33:32 AM","Mar 11-8:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:33:48 AM","Mar 11-8:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:34:05 AM","Mar 11-8:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:34:24 AM","Mar 11-8:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:34:46 AM","Mar 11-8:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:35:00 AM","Mar 11-8:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:35:18 AM","Mar 11-8:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:35:38 AM","Mar 11-8:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:36:01 AM","Mar 11-8:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:36:19 AM","Mar 11-8:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:36:43 AM","Mar 11-8:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:37:08 AM","Mar 11-8:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:37:34 AM","Mar 11-8:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:37:58 AM","Mar 11-8:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:38:14 AM","Mar 11-8:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"09:38:24 AM","Mar 11-8:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
