"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:45:26 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:45:47 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:46:08 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:46:30 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:46:47 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:47:08 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:47:29 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:47:48 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:48:08 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:48:29 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:48:46 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:49:07 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:49:30 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:49:47 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:50:07 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:50:26 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:50:47 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:51:08 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:51:26 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:51:46 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:52:08 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:52:27 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:52:46 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:53:07 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:53:29 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:53:46 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:54:08 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:54:27 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:54:47 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:55:07 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
