"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:48:58",NA,"First Half","50","122.5","8","1.06","11.5","NBA"
"09:49:17",NA,"First Half","50","122.5","8","1.06","11.5","NBA"
"09:49:29",NA,"First Half","50","122.5","8","1.06","11.5","NBA"
"09:49:47",NA,"First Half","50","122.5","8","1.06","11.5","NBA"
"09:50:20",NA,"First Half","50","122.5","8","1.06","11.5","NBA"
"09:56:18",NA,"First Half","50","122.5","8","1.06","11.5","NBA"
"09:56:58",NA,"First Half","50","122.5","8","1.06","11.5","NBA"
"09:58:55",NA,"First Half","50","122.5","8","1.06","11.5","NBA"
"09:59:24",NA,"First Half","50","122.5","8","1.06","11.5","NBA"
"09:59:36",NA,"First Half","50","122.5","8","1.06","11.5","NBA"
"09:59:51",NA,"First Half","50","122.5","8","1.06","11.5","NBA"
"10:00:06",NA,"First Half","50","122.5","8","1.06","11.5","NBA"
"10:00:25",NA,"First Half","50","122.5","8","1.06","11.5","NBA"
"10:00:50",NA,"First Half","50","122.5","8","1.06","11.5","NBA"
"10:01:22",NA,"First Half","50","122.5","8","1.06","11.5","NBA"
"10:01:44",NA,"First Half","50","122.5","8","1.06","11.5","NBA"
"10:02:08",NA,"First Half","50","122.5","8","1.06","11.5","NBA"
"10:03:59",NA,"Second Half","55","125.5","7.5","1.06","12.5","NBA"
"10:06:37",NA,"Second Half","66","131.5","5.4","1.13","9.5","NBA"
"10:06:45",NA,"Second Half","66","131.5","5.4","1.13","9.5","NBA"
"10:06:58",NA,"Second Half","67","131.5","5.4","1.13","9.5","NBA"
"10:07:30",NA,"Second Half","71","133.5","6","1.1","11.5","NBA"
"10:08:09",NA,"Second Half","72","134.5","10","1.03","12.5","NBA"
"10:08:28",NA,"Second Half","72","134.5","10","1.03","12.5","NBA"
"10:09:59","Spurs","First Half","53","136.5","1.36","2.97","5.5","NBA"
"10:34:14",NA,"Second Half","107","139.5","2.92","1.37","3.5","NBA"
"10:43:53",NA,"Second Half","116",NA,"4","1.22","3.5","NBA"
"10:47:59",NA,"Second Half","116",NA,"4.6","1.17",NA,"NCAA"
"10:49:04",NA,"Second Half","118",NA,"2.29","1.58",NA,"NCAA"
"10:50:22",NA,"Second Half","120",NA,"5.4","1.13",NA,"NBA"
"10:57:23",NA,"Second Half","130",NA,"1.52","2.42","1.5","NCAA"
"10:58:40","NA","Second Half","130","NA","1.39","2.86","1.5","NCAA"
