"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:51:01 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:51:18 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:51:42 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:52:00 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:52:25 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:52:46 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:53:03 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:53:24 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:53:51 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:54:02 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:54:20 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:54:42 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:54:58 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:55:22 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:55:40 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:56:04 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:56:19 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:56:42 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:57:04 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:57:20 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:57:40 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:58:03 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:58:17 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:58:41 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:59:01 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:59:20 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"08:59:40 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"09:00:16 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"09:00:20 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"09:00:39 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"09:00:59 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"09:01:22 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"09:01:38 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"09:02:02 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
