"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:30:50 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:31:11 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:31:34 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:31:50 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:32:09 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:32:31 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:32:50 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:33:10 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:33:33 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:33:51 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:34:10 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:34:32 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:34:51 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:35:16 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:35:35 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:35:50 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:36:10 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:36:29 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:36:51 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:37:18 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:37:31 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:37:50 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:38:12 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:38:31 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:38:54 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:39:11 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:39:31 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:39:50 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:40:12 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:40:33 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:40:52 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:41:11 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:41:35 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:41:51 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:42:12 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:42:33 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:42:51 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:43:18 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:43:34 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:43:51 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:44:15 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:44:32 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:44:51 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:45:24 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:45:33 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:45:55 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:46:12 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:46:32 AM","Feb 28-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:46:51 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:47:16 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:47:35 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:47:52 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:48:11 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:48:33 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:48:55 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:49:11 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:49:31 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:49:51 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:50:16 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:50:32 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:50:52 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:51:13 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:51:34 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:51:57 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:52:12 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:52:34 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:52:51 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:53:12 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:53:34 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:53:52 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:54:12 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:54:34 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:54:52 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:55:13 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:55:35 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:55:54 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:56:12 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:56:32 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:56:55 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:57:12 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:57:32 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:57:51 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:58:13 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:58:36 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:58:50 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:59:15 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:59:34 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:59:53 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"08:00:19 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"08:00:32 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"08:05:36 AM","1st 20:00","First Half","0","155","3.45","1.28","7","NCAA"
"08:05:54 AM","1st 20:00","First Half","0","155","3.45","1.28","7","NCAA"
"08:06:15 AM","1st 20:00","First Half","0","150.5","3.32","1.3","7.5","NCAA"
"08:06:36 AM","1st 20:00","First Half","0","150.5","3.32","1.3","7.5","NCAA"
"08:06:52 AM","1st 20:00","First Half","0","153.5","3.32","1.3","7","NCAA"
"08:07:14 AM","1st 19:13","First Half","0","153.5","3.32","1.3","7","NCAA"
"08:07:33 AM","1st 19:03","First Half","0","154","3.14","1.33","6","NCAA"
"08:07:56 AM","1st 19:03","First Half","5","154","3.14","1.33","6","NCAA"
"08:08:12 AM","1st 18:30","First Half","5","155","3.45","1.28","7","NCAA"
"08:08:38 AM","1st 18:30","First Half","5","155","3.45","1.28","7","NCAA"
"08:08:51 AM","1st 18:30","First Half","5","154.5","3.32","1.3","7","NCAA"
"08:09:14 AM","1st 18:10","First Half","5","154.5","3.32","1.3","7","NCAA"
"08:09:33 AM","1st 17:45","First Half","9","154.5","3.01","1.35","5.5","NCAA"
"08:09:51 AM","1st 17:45","First Half","9","154.5","3.01","1.35","5.5","NCAA"
"08:10:12 AM","1st 17:13","First Half","9","156.5","2.64","1.45","5","NCAA"
"08:10:32 AM","1st 17:13","First Half","9","156.5","2.64","1.45","5","NCAA"
"08:10:56 AM",NA,"First Half","14","155","2.46","1.5","4.5","NCAA"
"08:11:15 AM","1st 16:39","First Half","14","155","2.46","1.5","4.5","NCAA"
"08:11:36 AM","1st 16:39","First Half","14","154.5","2.83","1.39","5","NCAA"
"08:11:58 AM","1st 16:07","First Half","14","154.5","2.83","1.39","5","NCAA"
"08:12:13 AM","1st 16:07","First Half","14","154.5","2.83","1.39","5","NCAA"
"08:12:34 AM","1st 15:42","First Half","14","154.5","2.83","1.39","5","NCAA"
"08:12:56 AM","1st 15:42","First Half","14","154.5","2.83","1.39","5","NCAA"
"08:13:13 AM","1st 15:42","First Half","14","154.5","2.83","1.39","5","NCAA"
"08:13:36 AM","1st 15:42","First Half","14","154.5","2.83","1.39","5","NCAA"
