"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:10:08 AM","1st 20:00","First Half","0","154.5","1.84","1.89","1","NCAA"
"07:10:32 AM","1st 20:00","First Half","0","154.5","1.84","1.89","1","NCAA"
"07:10:47 AM","1st 20:00","First Half","0","156.5","1.71","2.06","2","NCAA"
"07:11:06 AM","1st 20:00","First Half","4","156.5","1.71","2.06","2","NCAA"
"07:11:28 AM","1st 20:00","First Half","4","149.5","1.78","1.95","1.5","NCAA"
"07:11:52 AM","1st 20:00","First Half","4","149.5","1.78","1.95","1.5","NCAA"
"07:12:12 AM","1st 20:00","First Half","13","149.5","1.78","1.95","1.5","NCAA"
"07:12:29 AM","1st 20:00","First Half","13","149.5","1.78","1.95","1.5","NCAA"
"07:12:47 AM","1st 20:00","First Half","13","150.5","1.72","2.04","1.5","NCAA"
"07:13:14 AM","1st 20:00","First Half","13","150.5","1.72","2.04","1.5","NCAA"
"07:13:26 AM","1st 20:00","First Half","13","150.5","2.15","1.65","2","NCAA"
"07:13:50 AM","1st 20:00","First Half","13","150.5","2.15","1.65","2","NCAA"
"07:14:10 AM","1st 20:00","First Half","13","152.5","1.96","1.78","0.5","NCAA"
"07:14:28 AM","1st 20:00","First Half","13","152.5","1.96","1.78","0.5","NCAA"
"07:14:51 AM","1st 20:00","First Half","13","152.5","1.96","1.78","0.5","NCAA"
"07:15:10 AM","1st 15:39","First Half","13","152.5","1.96","1.78","0.5","NCAA"
"07:15:27 AM","1st 15:39","First Half","13","151.5","1.91","1.82","2.5","NCAA"
"07:15:46 AM","1st 15:39","First Half","13","151.5","1.91","1.82","2.5","NCAA"
"07:16:06 AM","1st 15:39","First Half","13","151.5","1.97","1.77","1.5","NCAA"
"07:16:26 AM","1st 15:11","First Half","13","151.5","1.97","1.77","1.5","NCAA"
"07:16:47 AM","1st 15:11","First Half","13","151.5","2.37","1.54","3.5","NCAA"
"07:17:10 AM","1st 15:08","First Half","16","151.5","2.37","1.54","3.5","NCAA"
"07:17:26 AM","1st 15:08","First Half","16","150.5","2.18","1.63","2.5","NCAA"
"07:17:47 AM","1st 15:05","First Half","16","150.5","2.18","1.63","2.5","NCAA"
"07:18:07 AM","1st 15:05","First Half","16","149.5","1.88","1.85","0.5","NCAA"
"07:18:28 AM","1st 15:01","First Half","18","149.5","1.88","1.85","0.5","NCAA"
"07:18:46 AM","1st 15:01","First Half","18","150.5","1.87","1.87","1","NCAA"
"07:19:08 AM","1st 15:00","First Half","18","150.5","1.87","1.87","1","NCAA"
"07:19:29 AM","1st 15:00","First Half","18","151.5","1.87","1.86","0.5","NCAA"
"07:19:48 AM","1st 15:00","First Half","18","151.5","1.87","1.86","0.5","NCAA"
"07:20:07 AM","1st 15:00","First Half","22","152.5","2","1.75","1.5","NCAA"
"07:20:26 AM","1st 15:00","First Half","22","152.5","2","1.75","1.5","NCAA"
"07:20:47 AM","1st 15:00","First Half","22","149.5","2.37","1.54","3.5","NCAA"
"07:21:10 AM","1st 14:59","First Half","27","149.5","2.37","1.54","3.5","NCAA"
"07:21:27 AM","1st 14:59","First Half","27","149.5","2.03","1.73","1.5","NCAA"
"07:21:52 AM","1st 14:59","First Half","27","149.5","2.03","1.73","1.5","NCAA"
"07:22:09 AM","1st 14:59","First Half","27","149.5","2.03","1.73","1.5","NCAA"
