"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:10:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:11:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:12:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:23 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:13:47 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:04 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:14:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:15:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:16:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:17:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:06 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:26 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:18:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:19:44 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
