"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:41:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:41:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:42:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:43:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:44:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:45:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:46:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:47:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:48:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:49:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:50:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:51:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:52:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:53:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:54:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:55:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:21 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:56:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:57:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:57:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:57:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:58:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:58:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:58:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:59:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:59:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"07:59:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:35 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:00:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:01:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"08:02:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
