"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"11:10:50",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:11:24",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:11:53",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:12:36",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:16:16",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:30:23",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:30:54",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:31:13",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:32:05",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:33:27",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:34:52",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:35:40",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:36:03",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:36:23",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:37:23",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:37:46",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:38:47",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:39:10",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:39:38",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:39:55",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:40:31",NA,NA,NA,NA,NA,NA,NA,"NBA"
"11:41:35","11:33 1st",NA,NA,"229.5","1.22","4","8","NBA"
"11:41:49","12:00 1st",NA,NA,"229.5","1.22","4","8","NBA"
"11:42:08","11:11 1st",NA,NA,"229.5","1.22","4","8","NBA"
"11:44:11","10:38 1st","Q1","3","230.5","1.19","4.3","9","NBA"
"11:44:27","10:08 1st","Q1","3","230.5","1.19","4.3","9","NBA"
"11:44:41","9:45 1st","Q1","3","227.5","1.19","4.3","9","NBA"
"11:44:48","9:45 1st","Q1","3","227.5","1.19","4.3","9","NBA"
"11:44:56","9:45 1st","Q1","3","227.5","1.19","4.3","9","NBA"
"11:45:34","9:45 1st","Q1","10","231.5","1.15","5","10","NBA"
"11:45:48","9:27 1st","Q1","10","231.5","1.16","4.8","10","NBA"
"11:45:56","9:27 1st","Q1","10","231.5","1.16","4.8","10","NBA"
"11:46:02","9:08 1st","Q1","10","231.5","1.16","4.8","10","NBA"
"11:46:12","9:08 1st","Q1","12","231.5","1.16","4.8","10","NBA"
"11:46:26","9:08 1st","Q1","12","231.5","1.14","5.2","10","NBA"
"11:46:34","8:57 1st","Q1","15","231.5","1.14","5.2","10","NBA"
"11:47:32","8:57 1st","Q1","17","230.5","1.19","4.3","9","NBA"
"11:47:41","8:14 1st","Q1","19","230.5","1.19","4.3","9","NBA"
"11:48:25","7:41 1st","Q1","25","231.5","1.19","4.3","9","NBA"
"11:48:36","7:53 1st","Q1","25","231.5","1.19","4.3","9","NBA"
"11:48:48","7:19 1st","Q1","27","231.5","1.19","4.3","9","NBA"
"11:48:58","7:19 1st","Q1","27","231.5","1.18","4.5","9","NBA"
"11:49:12","7:05 1st","Q1","27","231.5","1.18","4.5","9","NBA"
