"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"04:11:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:11:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:11:55 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:12:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:12:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:12:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:13:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:13:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:13:49 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:14:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:14:40 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:14:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:15:13 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:15:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:15:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:16:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:16:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:16:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:17:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:17:29 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:17:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:18:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"04:18:28 AM","Hawks",NA,NA,NA,NA,NA,NA,"NBA"
"04:18:48 AM","Hawks",NA,NA,NA,NA,NA,NA,"NBA"
"04:19:07 AM","Hawks",NA,NA,NA,NA,NA,NA,"NBA"
"04:19:29 AM","Hawks",NA,NA,NA,NA,NA,NA,"NBA"
"04:19:50 AM","Hawks",NA,NA,NA,NA,NA,NA,"NBA"
"04:20:12 AM","Hawks",NA,NA,NA,NA,NA,NA,"NBA"
"04:20:34 AM","Hawks",NA,NA,NA,NA,NA,NA,"NBA"
"04:20:47 AM","Hawks",NA,NA,NA,NA,NA,NA,"NBA"
"04:21:06 AM","Hawks",NA,NA,NA,NA,NA,NA,"NBA"
"04:21:28 AM","Hawks",NA,NA,NA,NA,NA,NA,"NBA"
"04:21:49 AM","Hawks",NA,NA,NA,NA,NA,NA,"NBA"
"04:22:05 AM","Hawks",NA,NA,NA,NA,NA,NA,"NBA"
"04:22:30 AM","Hawks",NA,NA,NA,NA,NA,NA,"NBA"
"04:22:50 AM","Hawks",NA,NA,NA,NA,NA,NA,"NBA"
"04:23:06 AM","Hawks",NA,NA,NA,NA,NA,NA,"NBA"
"04:23:33 AM","Hawks",NA,NA,NA,NA,NA,NA,"NBA"
"04:23:51 AM","Hawks",NA,NA,NA,NA,NA,NA,"NBA"
