"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"09:11:18 AM","Bucks",NA,NA,NA,NA,NA,NA,"NBA"
"09:11:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:12:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:02 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:13:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:14 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:14:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:08 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:15:56 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:16:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:20 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:17:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:22 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:31 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:39 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:18:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:19:28 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:45 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:20:57 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:21:43 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:03 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:41 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:22:58 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:23:15 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:23:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:23:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:24:17 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:24:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:24:54 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:25:07 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:25:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:25:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:26:09 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:26:36 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:26:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:27:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:27:30 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:27:52 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:28:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:28:38 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:29:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:29:16 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:29:33 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:30:01 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:30:25 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:30:42 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:31:10 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:31:27 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:31:50 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:32:12 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:32:34 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:32:53 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:33:11 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:33:32 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:33:48 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:34:05 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:34:24 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:34:46 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:35:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:35:18 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:35:37 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:36:00 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:36:19 AM",NA,NA,NA,NA,NA,NA,NA,"NBA"
"09:36:43 AM",NA,NA,NA,"197.5","5","1.15","10","NBA"
"09:37:08 AM","12:00 1st",NA,NA,"197.5","5.2","1.14","10","NBA"
"09:37:33 AM","12:00 1st",NA,NA,"197.5","5.2","1.14","10","NBA"
"09:37:58 AM","11:35 1st","Q1","4","200.5","5.7","1.12","11","NBA"
"09:38:14 AM","11:10 1st","Q1","6","200.5","5.7","1.12","11","NBA"
"09:38:24 AM","10:43 1st","Q1","6","203.5","5.2","1.14","10","NBA"
"09:38:45 AM","10:19 1st","Q1","11","203.5","5.2","1.14","10","NBA"
"09:38:59 AM","10:19 1st","Q1","11","204.5","6.25","1.1","11","NBA"
"09:39:18 AM","10:01 1st","Q1","16","204.5","6.25","1.1","11","NBA"
"09:39:45 AM","10:01 1st","Q1","16","204.5","5.7","1.12","11","NBA"
"09:40:02 AM","9:13 1st","Q1","16","204.5","5.7","1.12","11","NBA"
"09:40:26 AM","8:46 1st","Q1","16","202.5","6.25","1.1","11","NBA"
"09:40:42 AM","8:27 1st","Q1","20","202.5","6.25","1.1","11","NBA"
"09:41:07 AM","8:03 1st","Q1","20","201.5","5.7","1.12","11","NBA"
"09:41:17 AM","8:03 1st","Q1","20","201.5","5.7","1.12","11","NBA"
"09:41:48 AM","8:03 1st","Q1","20","200.5","5.7","1.12","10","NBA"
"09:42:10 AM","7:52 1st","Q1","20","200.5","5.7","1.12","10","NBA"
"09:42:35 AM","7:44 1st","Q1","20","203.5","5.5","1.13","10","NBA"
"09:42:56 AM","7:44 1st","Q1","24","203.5","5.5","1.13","10","NBA"
"09:43:19 AM","7:28 1st","Q1","26","202.5","6","1.11","11","NBA"
"09:43:35 AM","7:07 1st","Q1","26","202.5","6","1.11","11","NBA"
"09:43:58 AM","7:07 1st","Q1","26","199.5","6","1.11","11","NBA"
"09:44:14 AM","6:38 1st","Q1","28","199.5","6","1.11","11","NBA"
"09:44:34 AM","6:38 1st","Q1","30","201.5","8","1.06","13","NBA"
"09:44:52 AM","6:07 1st","Q1","30","201.5","8","1.06","13","NBA"
"09:45:14 AM","6:07 1st","Q1","30","201.5","8","1.06","13","NBA"
"09:45:37 AM","5:59 1st","Q1","30","201.5","8","1.06","13","NBA"
"09:46:12 AM","5:59 1st","Q1","30","201.5","8","1.06","13","NBA"
"09:46:24 AM","5:59 1st","Q1","30","201.5","8","1.06","13","NBA"
"09:46:50 AM","5:59 1st","Q1","30","201.5","8","1.06","13","NBA"
