"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"05:30:42 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:30:58 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:33:01 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:33:18 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:44:17 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:44:38 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:44:57 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:45:40 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:45:58 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:46:20 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:46:40 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:46:59 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:47:19 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:47:38 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:48:02 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:48:19 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:48:37 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:49:00 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:49:18 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:49:37 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:49:56 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:50:21 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:50:41 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:50:57 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:51:19 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:51:37 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:51:59 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:52:16 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:52:38 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:52:57 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:53:19 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:53:39 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:53:56 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:54:23 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:54:38 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:54:57 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:55:26 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:55:40 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:56:05 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:56:19 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:56:37 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:57:05 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:57:19 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:57:37 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:57:56 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:58:18 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:58:39 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:58:58 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:59:24 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:00:38 AM","Mar 3-4:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:03:19 AM","1st 20:00","First Half","0",NA,"3.45","1.28","7","NCAA"
"06:03:39 AM","1st 20:00","First Half","0",NA,"3.45","1.28","7","NCAA"
"06:04:19 AM","1st 20:00","First Half","0",NA,"2.89","1.38","7.5","NCAA"
"06:04:40 AM","1st 20:00","First Half","0",NA,"2.89","1.38","7.5","NCAA"
"06:04:58 AM","1st 20:00","First Half","0",NA,"2.89","1.38","7.5","NCAA"
"06:05:18 AM",NA,"First Half","0",NA,"2.89","1.38","7.5","NCAA"
"06:05:38 AM","1st 20:00","First Half","0",NA,"2.89","1.38","7.5","NCAA"
"06:06:01 AM","1st 20:00","First Half","0",NA,"2.89","1.38","7.5","NCAA"
"06:06:20 AM","1st 20:00","First Half","0",NA,"2.89","1.38","7.5","NCAA"
"06:06:39 AM","1st 20:00","First Half","0",NA,"2.89","1.38","7.5","NCAA"
"06:07:01 AM","1st 20:00","First Half","0",NA,"2.89","1.38","7.5","NCAA"
"06:07:20 AM","1st 20:00","First Half","0",NA,"2.89","1.38","7.5","NCAA"
"06:07:38 AM","1st 20:00","First Half","0",NA,"2.78","1.41","7","NCAA"
"06:07:58 AM","1st 20:00","First Half","0",NA,"2.78","1.41","7","NCAA"
"06:08:17 AM","1st 19:11","First Half","5",NA,"2.96","1.36","5.5","NCAA"
"06:08:37 AM","1st 19:11","First Half","5",NA,"2.96","1.36","5.5","NCAA"
"06:08:59 AM","1st 18:33","First Half","5",NA,"2.67","1.44","4.5","NCAA"
"06:09:19 AM","1st 18:17","First Half","10",NA,"2.67","1.44","4.5","NCAA"
"06:09:41 AM","1st 17:45","First Half","10",NA,"2.75","1.41","6","NCAA"
"06:09:57 AM","1st 17:45","First Half","10",NA,"2.75","1.41","6","NCAA"
"06:10:19 AM","1st 17:29","First Half","10",NA,"2.78","1.41","6","NCAA"
"06:10:40 AM","1st 17:29","First Half","15",NA,"2.78","1.41","6","NCAA"
"06:10:58 AM","1st 17:29","First Half","15",NA,"2.64","1.45","5","NCAA"
"06:11:22 AM","1st 17:09","First Half","15",NA,"2.64","1.45","5","NCAA"
"06:11:41 AM","1st 17:09","First Half","18",NA,"2.23","1.61","3","NCAA"
"06:12:03 AM","1st 16:03","First Half","18",NA,"2.23","1.61","3","NCAA"
"06:12:19 AM","1st 16:03","First Half","18",NA,"2.27","1.58","4","NCAA"
"06:12:38 AM","1st 15:41","First Half","18",NA,"2.27","1.58","4","NCAA"
"06:13:01 AM","1st 15:41","First Half","18",NA,"2.27","1.58","4","NCAA"
"06:13:25 AM","1st 15:41","First Half","18",NA,"2.27","1.58","4","NCAA"
"06:13:38 AM","1st 15:41","First Half","18",NA,"2.27","1.58","4","NCAA"
"06:13:59 AM","1st 15:41","First Half","18",NA,"2.27","1.58","4","NCAA"
"06:14:18 AM","1st 15:41","First Half","18",NA,"2.27","1.58","4","NCAA"
"06:14:39 AM","1st 15:41","First Half","18",NA,"2.27","1.58","4","NCAA"
"06:14:59 AM","1st 15:41","First Half","18",NA,"2.27","1.58","4","NCAA"
"06:15:20 AM","1st 15:41","First Half","18",NA,"2.27","1.58","4","NCAA"
"06:15:40 AM","1st 15:41","First Half","18",NA,"2.27","1.58","3.5","NCAA"
"06:15:59 AM","1st 15:41","First Half","20",NA,"2.27","1.58","3.5","NCAA"
"06:16:19 AM","1st 15:41","First Half","20",NA,"2.94","1.37","5.5","NCAA"
"06:16:36 AM","1st 15:41","First Half","23",NA,"2.94","1.37","5.5","NCAA"
"06:16:58 AM","1st 15:09","First Half","23",NA,"2.92","1.37","5.5","NCAA"
"06:17:17 AM","1st 14:54","First Half","23",NA,"2.92","1.37","5.5","NCAA"
"06:17:40 AM","1st 14:26","First Half","26",NA,"2.55","1.47","4.5","NCAA"
"06:17:56 AM","1st 14:09","First Half","26",NA,"2.55","1.47","4.5","NCAA"
"06:18:17 AM","1st 14:09","First Half","29",NA,"2.92","1.37","5.5","NCAA"
"06:18:40 AM","1st 13:43","First Half","29",NA,"2.92","1.37","5.5","NCAA"
"06:18:58 AM","1st 13:43","First Half","29",NA,"2.72","1.42","5.5","NCAA"
"06:19:24 AM","1st 12:58","First Half","29",NA,"2.72","1.42","5.5","NCAA"
"06:19:38 AM","1st 13:05","First Half","29",NA,"3.01","1.35","5.5","NCAA"
"06:20:00 AM","1st 12:43","First Half","29",NA,"3.01","1.35","5.5","NCAA"
"06:20:18 AM","1st 12:43","First Half","32",NA,"2.56","1.55","5.5","NCAA"
"06:20:37 AM","1st 11:55","First Half","32",NA,"2.56","1.55","5.5","NCAA"
"06:20:58 AM","1st 11:55","First Half","32",NA,"2.34","1.55","3.5","NCAA"
"06:21:28 AM","1st 11:55","First Half","32",NA,"2.34","1.55","3.5","NCAA"
"06:21:40 AM","1st 11:55","First Half","32",NA,"2.34","1.55","3.5","NCAA"
"06:21:57 AM","1st 11:55","First Half","32",NA,"2.34","1.55","3.5","NCAA"
"06:22:18 AM","1st 11:55","First Half","32",NA,"2.34","1.55","3.5","NCAA"
"06:22:39 AM","1st 11:55","First Half","32",NA,"2.34","1.55","3.5","NCAA"
"06:23:03 AM","1st 11:55","First Half","32",NA,"2.34","1.55","3.5","NCAA"
"06:23:18 AM","1st 11:55","First Half","32",NA,"2.34","1.55","3.5","NCAA"
"06:23:40 AM","1st 11:55","First Half","32",NA,"2.34","1.55","3.5","NCAA"
"06:24:00 AM","1st 11:55","First Half","32",NA,"2.41","1.52","3.5","NCAA"
"06:24:17 AM","1st 11:55","First Half","32",NA,"2.41","1.52","3.5","NCAA"
"06:24:43 AM","1st 11:33","First Half","32",NA,"2.45","1.51","3.5","NCAA"
"06:24:58 AM","1st 11:29","First Half","32",NA,"2.45","1.51","3.5","NCAA"
"06:25:20 AM","1st 11:08","First Half","34",NA,"3.07","1.34","6.5","NCAA"
"06:25:40 AM","1st 11:08","First Half","34",NA,"3.07","1.34","6.5","NCAA"
"06:25:59 AM","1st 11:06","First Half","34",NA,"3.07","1.34","6.5","NCAA"
"06:26:19 AM","1st 11:05","First Half","34",NA,"3.07","1.34","6.5","NCAA"
"06:26:43 AM","1st 11:05","First Half","34",NA,"2.69","1.43","4.5","NCAA"
"06:26:58 AM","1st 10:48","First Half","34",NA,"2.69","1.43","4.5","NCAA"
"06:27:18 AM","1st 10:04","First Half","34",NA,"2.69","1.43","4.5","NCAA"
"06:27:39 AM","1st 9:40","First Half","38",NA,"2.69","1.43","4.5","NCAA"
"06:28:00 AM","1st 9:40","First Half","41",NA,"3.2","1.33","6.5","NCAA"
"06:28:22 AM","1st 9:26","First Half","41",NA,"3.2","1.33","6.5","NCAA"
"06:28:42 AM","1st 9:26","First Half","41",NA,"3.22","1.31","6.5","NCAA"
"06:28:58 AM","1st 8:43","First Half","41",NA,"3.22","1.31","6.5","NCAA"
"06:29:18 AM","1st 8:43","First Half","41",NA,"3.32","1.3","7.5","NCAA"
"06:29:37 AM","1st 8:15","First Half","41",NA,"3.32","1.3","7.5","NCAA"
"06:29:59 AM","1st 8:15","First Half","41",NA,"3.32","1.3","7.5","NCAA"
"06:30:26 AM","1st 7:56","First Half","41",NA,"3.32","1.3","7.5","NCAA"
"06:30:40 AM","1st 7:56","First Half","41",NA,"3.32","1.3","7.5","NCAA"
"06:31:09 AM","1st 7:56","First Half","41",NA,"3.32","1.3","7.5","NCAA"
"06:31:24 AM","1st 7:56","First Half","41",NA,"3.32","1.3","7.5","NCAA"
"06:31:41 AM","1st 7:56","First Half","41",NA,"3.32","1.3","7.5","NCAA"
"06:32:01 AM","1st 7:56","First Half","41",NA,"3.32","1.3","7.5","NCAA"
"06:32:22 AM","1st 7:56","First Half","41",NA,"3.32","1.3","7.5","NCAA"
"06:32:45 AM","1st 7:56","First Half","41",NA,"3.32","1.3","7.5","NCAA"
"06:33:05 AM","1st 7:56","First Half","41",NA,"3.32","1.3","7.5","NCAA"
"06:33:21 AM","1st 7:56","First Half","42",NA,"2.93","1.37","5.5","NCAA"
"06:33:44 AM","1st 7:56","First Half","42",NA,"2.93","1.37","5.5","NCAA"
"06:34:01 AM","1st 7:56","First Half","42",NA,"2.91","1.38","5.5","NCAA"
"06:34:23 AM","1st 7:32","First Half","42",NA,"2.91","1.38","5.5","NCAA"
"06:34:44 AM","1st 7:27","First Half","42",NA,"2.85","1.39","5.5","NCAA"
"06:35:01 AM","1st 7:27","First Half","45",NA,"2.85","1.39","5.5","NCAA"
"06:35:20 AM","1st 7:27","First Half","45",NA,"3.02","1.35","5.5","NCAA"
"06:35:48 AM","1st 6:27","First Half","47",NA,"3.02","1.35","5.5","NCAA"
"06:36:07 AM","1st 6:27","First Half","51",NA,"4.3","1.2","8.5","NCAA"
"06:36:24 AM","1st 5:56","First Half","51",NA,"4.3","1.2","8.5","NCAA"
"06:36:41 AM","1st 5:56","First Half","51",NA,"4.3","1.2","8.5","NCAA"
"06:37:01 AM","1st 5:56","First Half","51",NA,"4.3","1.2","8.5","NCAA"
"06:37:19 AM","1st 5:56","First Half","51",NA,"3.45","1.28","7.5","NCAA"
"06:37:40 AM","1st 5:56","First Half","53",NA,"3.45","1.28","7.5","NCAA"
"06:37:59 AM","1st 5:56","First Half","53",NA,"3.45","1.28","7.5","NCAA"
"06:38:24 AM","1st 5:19","First Half","55",NA,"3.45","1.28","7.5","NCAA"
"06:38:41 AM","1st 5:13","First Half","55",NA,"4","1.22","7.5","NCAA"
