"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:30:37 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:30:56 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:31:20 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:31:36 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:31:59 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:32:21 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:32:36 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:32:55 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:33:17 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:33:36 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:33:54 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:34:21 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:34:35 AM",NA,NA,NA,NA,NA,NA,NA,"NCAA"
"07:34:55 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:35:18 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:35:35 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:35:56 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:36:19 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:36:37 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:36:59 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:37:17 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:37:36 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:37:57 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:38:18 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:38:38 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:38:55 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:39:16 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:39:40 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:39:54 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:40:19 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:40:37 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:40:56 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:41:23 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:41:38 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:41:57 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:42:15 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:42:35 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:42:56 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:43:17 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:43:36 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:43:55 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:44:24 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:44:37 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:44:58 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:45:21 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:45:39 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:45:59 AM","Mar 2-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:46:15 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:46:40 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:46:56 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:47:17 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:47:35 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:47:55 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:48:25 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:48:39 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:48:58 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:49:17 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:49:40 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:49:56 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:50:21 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:50:36 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:51:00 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:51:17 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:51:34 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:51:55 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:52:20 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:52:38 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:52:58 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:53:16 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:53:36 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:53:56 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:54:23 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:54:43 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:54:59 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:55:17 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:55:36 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:55:54 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:56:15 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:56:37 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:56:58 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:57:24 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:57:36 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:57:59 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:58:16 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:58:35 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:58:57 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:59:16 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:59:36 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:59:58 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"08:00:17 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"08:02:59 AM","1st 20:00",NA,NA,"134","2.99","1.36","6.5","NCAA"
"08:03:20 AM","1st 20:00",NA,NA,"134","2.99","1.36","6.5","NCAA"
"08:03:41 AM","1st 20:00","First Half","2","134","2.99","1.36","6.5","NCAA"
"08:04:01 AM","1st 20:00","First Half","2","134","2.99","1.36","6.5","NCAA"
"08:04:18 AM","1st 20:00","First Half","2","132","2.97","1.36","6","NCAA"
"08:04:40 AM","1st 19:05","First Half","2","132","2.97","1.36","6","NCAA"
"08:04:57 AM","1st 19:05","First Half","2","135.5","2.5","1.49","4","NCAA"
"08:05:31 AM","1st 17:05","First Half","2","135.5","2.5","1.49","4","NCAA"
"08:05:40 AM","1st 17:05","First Half","2","133.5","2.62","1.45","4.5","NCAA"
"08:06:03 AM",NA,"First Half","2","133.5","2.62","1.45","4.5","NCAA"
"08:06:36 AM","1st 17:05","First Half","8","133","2.94","1.37","5.5","NCAA"
"08:06:44 AM","1st 17:05","First Half","8","133","2.94","1.37","5.5","NCAA"
"08:06:58 AM","1st 17:05","First Half","8","133","2.94","1.37","5.5","NCAA"
"08:07:18 AM","1st 16:05","First Half","8","133","3.22","1.31","7.5","NCAA"
"08:07:40 AM","1st 16:05","First Half","10","133","3.22","1.31","7.5","NCAA"
"08:07:59 AM","1st 16:00","First Half","10","133","3.11","1.34","6.5","NCAA"
"08:08:18 AM","1st 16:00","First Half","10","133","3.11","1.34","6.5","NCAA"
"08:08:42 AM","1st 16:00","First Half","10","133.5","3.08","1.34","6.5","NCAA"
"08:08:58 AM","1st 16:00","First Half","10","133.5","3.08","1.34","6.5","NCAA"
"08:09:21 AM","1st 15:15","First Half","13","136","3.45","1.28","7.5","NCAA"
"08:09:40 AM","1st 15:15","First Half","13","136","3.45","1.28","7.5","NCAA"
"08:10:02 AM","1st 15:15","First Half","13","136","3.45","1.28","7.5","NCAA"
"08:10:23 AM","1st 15:15","First Half","13","136","3.45","1.28","7.5","NCAA"
"08:10:39 AM","1st 15:15","First Half","13","136","3.45","1.28","7.5","NCAA"
"08:10:58 AM","1st 15:15","First Half","13","136","3.45","1.28","7.5","NCAA"
"08:11:20 AM","1st 15:15","First Half","13","135","3.35","1.28","7.5","NCAA"
"08:11:43 AM","1st 15:15","First Half","13","135","3.35","1.28","7.5","NCAA"
"08:12:02 AM","1st 15:15","First Half","15","131.5","4.25","1.2","8.5","NCAA"
"08:12:23 AM","1st 15:15","First Half","15","131.5","4.25","1.2","8.5","NCAA"
"08:12:38 AM","1st 15:15","First Half","15","134","3.45","1.28","7.5","NCAA"
"08:12:57 AM","1st 14:15","First Half","15","134","3.45","1.28","7.5","NCAA"
"08:13:20 AM","1st 14:15","First Half","15","133","3.45","1.28","8.5","NCAA"
"08:13:38 AM","1st 14:15","First Half","15","133","3.45","1.28","8.5","NCAA"
"08:13:59 AM","1st 14:07","First Half","15","135","4.25","1.2","9.5","NCAA"
"08:14:17 AM","1st 14:07","First Half","15","135","4.25","1.2","9.5","NCAA"
"08:14:38 AM","1st 14:07","First Half","20","136","3.5","1.28","7.5","NCAA"
"08:15:00 AM","1st 14:07","First Half","20","136","3.5","1.28","7.5","NCAA"
"08:15:20 AM","1st 14:07","First Half","20","138.5","3.45","1.28","7.5","NCAA"
"08:15:38 AM","1st 13:07","First Half","24","138.5","3.45","1.28","7.5","NCAA"
"08:16:04 AM","1st 13:07","First Half","24","137","3.4","1.28","7.5","NCAA"
"08:16:19 AM","1st 13:01","First Half","24","138.5","3.32","1.3","6.5","NCAA"
"08:16:38 AM","1st 13:01","First Half","24","138.5","3.32","1.3","6.5","NCAA"
"08:16:57 AM","1st 12:24","First Half","24","139","3.27","1.31","6.5","NCAA"
"08:17:28 AM","1st 12:09","First Half","29","140.5","3.07","1.34","6.5","NCAA"
"08:17:38 AM","1st 12:09","First Half","29","140.5","3.07","1.34","6.5","NCAA"
"08:18:00 AM","1st 12:09","First Half","29","140.5","3.07","1.34","6.5","NCAA"
"08:18:21 AM","1st 11:09","First Half","29","140.5","3.07","1.34","6.5","NCAA"
"08:18:37 AM","1st 11:09","First Half","29","140.5","3.07","1.34","6.5","NCAA"
"08:18:59 AM","1st 11:09","First Half","29","140.5","3.07","1.34","6.5","NCAA"
"08:19:23 AM","1st 11:09","First Half","29","140.5","3.07","1.34","6.5","NCAA"
"08:19:39 AM","1st 11:09","First Half","29","140.5","3.07","1.34","6.5","NCAA"
"08:20:03 AM","1st 11:09","First Half","29","139.5","3.26","1.31","6.5","NCAA"
"08:20:30 AM","1st 11:09","First Half","29","139.5","3.26","1.31","6.5","NCAA"
"08:20:42 AM",NA,"First Half","29","140","3.45","1.28","7.5","NCAA"
"08:21:01 AM",NA,"First Half","29","140","3.45","1.28","7.5","NCAA"
"08:21:24 AM","1st 11:09","First Half","33","139.5","3.25","1.31","6.5","NCAA"
"08:21:40 AM","1st 11:09","First Half","33","139.5","3.25","1.31","6.5","NCAA"
"08:22:01 AM","1st 11:09","First Half","33","140.5","4","1.22","8.5","NCAA"
"08:22:21 AM","1st 11:09","First Half","36","140.5","4","1.22","8.5","NCAA"
"08:22:38 AM","1st 11:09","First Half","36","139","3.7","1.25","7.5","NCAA"
"08:23:07 AM","1st 10:09","First Half","36","139","3.7","1.25","7.5","NCAA"
"08:23:21 AM","1st 9:09","First Half","36","138.5","3.96","1.22","8.5","NCAA"
"08:23:42 AM","1st 9:09","First Half","36","138.5","3.96","1.22","8.5","NCAA"
"08:24:01 AM","1st 9:09","First Half","38","136.5","4.3","1.2","8.5","NCAA"
"08:24:20 AM","1st 8:09","First Half","38","136.5","4.3","1.2","8.5","NCAA"
"08:24:40 AM","1st 8:09","First Half","38","137","4.6","1.17","9.5","NCAA"
"08:24:57 AM","1st 8:09","First Half","38","137","4.6","1.17","9.5","NCAA"
"08:25:18 AM","1st 8:09","First Half","38","135.5","4.65","1.17","9.5","NCAA"
"08:25:37 AM","1st 8:09","First Half","38","135.5","4.65","1.17","9.5","NCAA"
"08:26:00 AM","1st 7:09","First Half","38","135","4.65","1.17","9.5","NCAA"
"08:26:17 AM","1st 7:09","First Half","38","135","4.65","1.17","9.5","NCAA"
"08:26:36 AM","1st 7:09","First Half","38","135","4.65","1.17","9.5","NCAA"
"08:26:56 AM","1st 7:09","First Half","38","135","4.65","1.17","9.5","NCAA"
"08:27:18 AM","1st 7:09","First Half","38","135","4.65","1.17","9.5","NCAA"
"08:27:40 AM","1st 7:09","First Half","38","135","4.65","1.17","9.5","NCAA"
"08:28:01 AM","1st 7:09","First Half","38","135","4.65","1.17","9.5","NCAA"
"08:28:21 AM","1st 7:09","First Half","38","135","4.65","1.17","9.5","NCAA"
"08:28:40 AM","1st 7:09","First Half","38","135","4.6","1.17","8.5","NCAA"
"08:28:58 AM","1st 7:09","First Half","38","135","4.6","1.17","8.5","NCAA"
"08:29:22 AM","1st 7:09","First Half","40","134","3.7","1.25","8.5","NCAA"
"08:29:38 AM","1st 7:09","First Half","40","134","3.7","1.25","8.5","NCAA"
"08:29:57 AM","1st 7:09","First Half","40","134.5","4.25","1.2","9.5","NCAA"
"08:30:21 AM","1st 6:05","First Half","40","134.5","4.25","1.2","9.5","NCAA"
"08:30:43 AM","1st 6:05","First Half","40","132","4.25","1.2","8.5","NCAA"
"08:30:59 AM","1st 6:05","First Half","42","132","4.25","1.2","8.5","NCAA"
"08:31:25 AM",NA,"First Half","42","133.5","5.2","1.14","9.5","NCAA"
"08:31:41 AM","1st 5:05","First Half","42","133.5","5.2","1.14","9.5","NCAA"
"08:32:04 AM","1st 5:05","First Half","44","133.5","6","1.11","11.5","NCAA"
"08:32:20 AM","1st 5:05","First Half","44","133.5","6","1.11","11.5","NCAA"
"08:32:37 AM","1st 5:05","First Half","44","133.5","6","1.11","11.5","NCAA"
"08:33:01 AM","1st 4:05","First Half","44","133.5","6","1.11","11.5","NCAA"
"08:33:22 AM","1st 4:05","First Half","44","133.5","6","1.11","11.5","NCAA"
"08:33:41 AM","1st 4:05","First Half","47","133.5","6","1.11","11.5","NCAA"
"08:34:00 AM","1st 4:05","First Half","47","133.5","6","1.11","11.5","NCAA"
"08:34:21 AM","1st 4:05","First Half","47","133.5","6","1.11","11.5","NCAA"
"08:34:38 AM","1st 4:05","First Half","47","133.5","6","1.11","11.5","NCAA"
"08:34:59 AM","1st 4:05","First Half","47","133.5","6","1.11","11.5","NCAA"
"08:35:29 AM","1st 4:05","First Half","47","133.5","6","1.11","11.5","NCAA"
"08:35:43 AM","1st 4:05","First Half","47","133.5","6","1.11","11.5","NCAA"
"08:36:09 AM","1st 4:05","First Half","47","132","5.2","1.14","11.5","NCAA"
"08:36:20 AM","1st 4:05","First Half","47","132","5.2","1.14","11.5","NCAA"
"08:36:38 AM","1st 4:05","First Half","47","132","5.2","1.14","11.5","NCAA"
"08:36:58 AM","1st 4:05","First Half","47","132","5.2","1.14","11.5","NCAA"
"08:37:25 AM","1st 4:05","First Half","47","131","6","1.11","11.5","NCAA"
"08:37:40 AM","1st 3:43","First Half","47","131","6","1.11","11.5","NCAA"
"08:37:57 AM","1st 3:57","First Half","47","130.5","6.5","1.08","11.5","NCAA"
"08:38:26 AM","1st 3:26","First Half","47","130.5","6.5","1.08","11.5","NCAA"
"08:38:44 AM","1st 3:26","First Half","47","130.5","6.5","1.08","11.5","NCAA"
"08:38:58 AM","1st 3:26","First Half","47","130.5","6.5","1.08","11.5","NCAA"
"08:39:22 AM","1st 3:26","First Half","47","130.5","6.5","1.08","11.5","NCAA"
"08:39:40 AM","1st 3:26","First Half","47","130.5","6.5","1.08","11.5","NCAA"
"08:40:00 AM","1st 3:26","First Half","47","130.5","6.5","1.08","11.5","NCAA"
"08:40:25 AM","1st 3:26","First Half","47","130.5","6.5","1.08","11.5","NCAA"
"08:40:38 AM","1st 3:26","First Half","47","128.5","6","1.1","11.5","NCAA"
"08:41:01 AM","1st 3:26","First Half","47","128.5","6","1.1","11.5","NCAA"
"08:41:26 AM","1st 3:26","First Half","47","127.5","7.75","1.06","11.5","NCAA"
"08:42:33 AM","1st 3:19","First Half","47","129","8.5","1.05","12.5","NCAA"
"08:42:38 AM","1st 3:01","First Half","49","129","8.5","1.05","12.5","NCAA"
"08:42:51 AM","1st 3:01","First Half","49","129","8.5","1.05","12.5","NCAA"
"08:42:58 AM","1st 3:19","First Half","49","128.5","11","1.02","12.5","NCAA"
"08:43:07 AM","1st 3:01","First Half","49","128.5","11","1.02","12.5","NCAA"
"08:43:25 AM","1st 2:24","First Half","49","129","10","1.03","14.5","NCAA"
"08:43:48 AM","1st 2:16","First Half","49","129","10","1.03","14.5","NCAA"
"08:44:06 AM","1st 2:16","First Half","55","129.5","14","1.01","14.5","NCAA"
"08:44:25 AM","1st 1:16","First Half","55","129.5","14","1.01","14.5","NCAA"
"08:44:42 AM","1st 1:16","First Half","55","129.5","12","1.02","15.5","NCAA"
"08:45:06 AM","1st 1:16","First Half","55","129.5","12","1.02","15.5","NCAA"
"08:45:23 AM","1st 1:16","First Half","55","128","12","1.02","15.5","NCAA"
"08:45:44 AM","1st 0:16","First Half","57","128","12","1.02","15.5","NCAA"
"08:46:04 AM","1st 0:16","First Half","57","129","11","1.02","15.5","NCAA"
"08:46:21 AM","1st 0:16","First Half","57","129","11","1.02","15.5","NCAA"
"08:46:42 AM","1st 0:16","First Half","57","129","11","1.02","15.5","NCAA"
"08:47:04 AM","1st 0:16","First Half","57","129","11","1.02","15.5","NCAA"
"08:47:24 AM","1st 0:16","First Half","57","128","13","1.01","15.5","NCAA"
"08:47:41 AM","1st 0:16","First Half","57","128","13","1.01","15.5","NCAA"
"08:48:11 AM","1st 0:16","First Half","57","128","13","1.01","15.5","NCAA"
"08:48:23 AM","1st 0:16","First Half","57","128","13","1.01","15.5","NCAA"
"08:48:44 AM","Halftime","First Half","57","127","12","1.02","14.5","NCAA"
"08:49:05 AM","Halftime","First Half","57","127","12","1.02","14.5","NCAA"
"08:49:32 AM","Halftime","First Half","57","127","12","1.02","14.5","NCAA"
"08:49:51 AM","Halftime","First Half","57","127","12","1.02","14.5","NCAA"
"08:50:06 AM","Halftime","First Half","57","127","12","1.02","14.5","NCAA"
"08:50:29 AM","Halftime","First Half","57","127","12","1.02","14.5","NCAA"
"08:50:41 AM","Halftime","First Half","57","127","12","1.02","14.5","NCAA"
"08:51:00 AM","Halftime","First Half","57","127","12","1.02","14.5","NCAA"
"08:51:27 AM","Halftime","First Half","57","127","12","1.02","14.5","NCAA"
"08:51:41 AM","Halftime","First Half","57","127","12","1.02","14.5","NCAA"
"08:51:59 AM","Halftime","First Half","57","127","12","1.02","14.5","NCAA"
"08:52:21 AM","Halftime","First Half","57","127","12","1.02","14.5","NCAA"
"08:52:49 AM","Halftime","First Half","57","127","12","1.02","14.5","NCAA"
"08:53:07 AM","Halftime","First Half","57","127","12","1.02","14.5","NCAA"
"08:53:26 AM","Halftime","First Half","57","127","12","1.02","14.5","NCAA"
"08:53:42 AM","Halftime","First Half","57","127","12","1.02","14.5","NCAA"
"08:54:01 AM","Halftime","First Half","57","127","12","1.02","14.5","NCAA"
"08:54:27 AM","Halftime","First Half","57","127","12","1.02","14.5","NCAA"
"08:54:44 AM","Halftime","First Half","57","127","12","1.02","14.5","NCAA"
"08:55:03 AM","Halftime","First Half","57","127","12","1.02","14.5","NCAA"
"08:55:28 AM","Halftime","First Half","57","127","12","1.02","14.5","NCAA"
"08:55:43 AM",NA,"First Half","57","127","12","1.02","14.5","NCAA"
"08:56:02 AM","Halftime","First Half","57","127","12","1.02","14.5","NCAA"
"08:56:31 AM","Halftime","First Half","57","127","12","1.02","14.5","NCAA"
"08:56:43 AM","Halftime","First Half","57","127","12","1.02","14.5","NCAA"
"08:57:03 AM","Halftime","First Half","57","127","12","1.02","14.5","NCAA"
"08:57:31 AM","Halftime","First Half","57","127","12","1.02","14.5","NCAA"
